# Архангельск / Температура / 5-10 дней / UKMO (Британия)
# n=136, MAE=3.584, RMSE=3.859, bias=+3.359
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (3.859/4.933)^2 = 0.3883  (RMSE_персистентности по 136 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,22.3,24.1,16.3,-1.8,1.8
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,22.3,19.2,16.3,3.1,3.1
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,20.6,16.8,16.3,3.8,3.8
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,19.2,16.3,16.3,2.9,2.9
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,17.8,15.2,16.3,2.6,2.6
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,18.1,14.5,16.3,3.6,3.6
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,18.5,14.7,16.3,3.8,3.8
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,17.8,15.2,16.3,2.6,2.6
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,16.8,11.9,16.3,4.9,4.9
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,16.1,10.7,16.3,5.4,5.4
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,15.4,9.3,16.3,6.1,6.1
2026-08-06T09:50:07Z,2026-08-12T21:00:00Z,155.2,14.3,8.4,16.3,5.9,5.9
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,13.4,8.4,16.3,5.0,5.0
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,22.3,24.1,16.3,-1.8,1.8
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,22.3,19.2,16.3,3.1,3.1
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,20.6,16.8,16.3,3.8,3.8
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,19.2,16.3,16.3,2.9,2.9
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,17.8,15.2,16.3,2.6,2.6
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,18.1,14.5,16.3,3.6,3.6
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,18.5,14.7,16.3,3.8,3.8
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,17.8,15.2,16.3,2.6,2.6
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,16.8,11.9,16.3,4.9,4.9
2026-08-06T09:59:18Z,2026-08-12T15:00:00Z,149.0,16.1,10.7,16.3,5.4,5.4
2026-08-06T09:59:18Z,2026-08-12T18:00:00Z,152.0,15.4,9.3,16.3,6.1,6.1
2026-08-06T09:59:18Z,2026-08-12T21:00:00Z,155.0,14.3,8.4,16.3,5.9,5.9
2026-08-06T09:59:18Z,2026-08-13T00:00:00Z,158.0,13.4,8.4,16.3,5.0,5.0
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,22.3,24.1,16.3,-1.8,1.8
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,22.3,19.2,16.3,3.1,3.1
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,20.6,16.8,16.3,3.8,3.8
2026-08-06T10:08:26Z,2026-08-11T21:00:00Z,130.9,19.2,16.3,16.3,2.9,2.9
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,17.8,15.2,16.3,2.6,2.6
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,18.1,14.5,16.3,3.6,3.6
2026-08-06T10:08:26Z,2026-08-12T06:00:00Z,139.9,18.5,14.7,16.3,3.8,3.8
2026-08-06T10:08:26Z,2026-08-12T09:00:00Z,142.9,17.8,15.2,16.3,2.6,2.6
2026-08-06T10:08:26Z,2026-08-12T12:00:00Z,145.9,16.8,11.9,16.3,4.9,4.9
2026-08-06T10:08:26Z,2026-08-12T15:00:00Z,148.9,16.1,10.7,16.3,5.4,5.4
2026-08-06T10:08:26Z,2026-08-12T18:00:00Z,151.9,15.4,9.3,16.3,6.1,6.1
2026-08-06T10:08:26Z,2026-08-12T21:00:00Z,154.9,14.3,8.4,16.3,5.9,5.9
2026-08-06T10:08:26Z,2026-08-13T00:00:00Z,157.9,13.4,8.4,16.3,5.0,5.0
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,22.3,24.1,16.3,-1.8,1.8
2026-08-06T10:47:54Z,2026-08-11T15:00:00Z,124.2,22.3,19.2,16.3,3.1,3.1
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,20.6,16.8,16.3,3.8,3.8
2026-08-06T10:47:54Z,2026-08-11T21:00:00Z,130.2,19.2,16.3,16.3,2.9,2.9
2026-08-06T10:47:54Z,2026-08-12T00:00:00Z,133.2,17.8,15.2,16.3,2.6,2.6
2026-08-06T10:47:54Z,2026-08-12T03:00:00Z,136.2,18.1,14.5,16.3,3.6,3.6
2026-08-06T10:47:54Z,2026-08-12T06:00:00Z,139.2,18.5,14.7,16.3,3.8,3.8
2026-08-06T10:47:54Z,2026-08-12T09:00:00Z,142.2,17.8,15.2,16.3,2.6,2.6
2026-08-06T10:47:54Z,2026-08-12T12:00:00Z,145.2,16.8,11.9,16.3,4.9,4.9
2026-08-06T10:47:54Z,2026-08-12T15:00:00Z,148.2,16.1,10.7,16.3,5.4,5.4
2026-08-06T10:47:54Z,2026-08-12T18:00:00Z,151.2,15.4,9.3,16.3,6.1,6.1
2026-08-06T10:47:54Z,2026-08-12T21:00:00Z,154.2,14.3,8.4,16.3,5.9,5.9
2026-08-06T10:47:54Z,2026-08-13T00:00:00Z,157.2,13.4,8.4,16.3,5.0,5.0
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,22.3,24.1,16.3,-1.8,1.8
2026-08-06T11:30:42Z,2026-08-11T15:00:00Z,123.5,22.3,19.2,16.3,3.1,3.1
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,20.6,16.8,16.3,3.8,3.8
2026-08-06T11:30:42Z,2026-08-11T21:00:00Z,129.5,19.2,16.3,16.3,2.9,2.9
2026-08-06T11:30:42Z,2026-08-12T00:00:00Z,132.5,17.8,15.2,16.3,2.6,2.6
2026-08-06T11:30:42Z,2026-08-12T03:00:00Z,135.5,18.1,14.5,16.3,3.6,3.6
2026-08-06T11:30:42Z,2026-08-12T06:00:00Z,138.5,18.5,14.7,16.3,3.8,3.8
2026-08-06T11:30:42Z,2026-08-12T09:00:00Z,141.5,17.8,15.2,16.3,2.6,2.6
2026-08-06T11:30:42Z,2026-08-12T12:00:00Z,144.5,16.8,11.9,16.3,4.9,4.9
2026-08-06T11:30:42Z,2026-08-12T15:00:00Z,147.5,16.1,10.7,16.3,5.4,5.4
2026-08-06T11:30:42Z,2026-08-12T18:00:00Z,150.5,15.4,9.3,16.3,6.1,6.1
2026-08-06T11:30:42Z,2026-08-12T21:00:00Z,153.5,14.3,8.4,16.3,5.9,5.9
2026-08-06T11:30:42Z,2026-08-13T00:00:00Z,156.5,13.4,8.4,16.3,5.0,5.0
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,22.3,24.1,16.3,-1.8,1.8
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,22.3,19.2,16.3,3.1,3.1
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,20.6,16.8,16.3,3.8,3.8
2026-08-06T11:36:01Z,2026-08-11T21:00:00Z,129.4,19.2,16.3,16.3,2.9,2.9
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,17.8,15.2,16.3,2.6,2.6
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,18.1,14.5,16.3,3.6,3.6
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,18.5,14.7,16.3,3.8,3.8
2026-08-06T11:36:01Z,2026-08-12T09:00:00Z,141.4,17.8,15.2,16.3,2.6,2.6
2026-08-06T11:36:01Z,2026-08-12T12:00:00Z,144.4,16.8,11.9,16.3,4.9,4.9
2026-08-06T11:36:01Z,2026-08-12T15:00:00Z,147.4,16.1,10.7,16.3,5.4,5.4
2026-08-06T11:36:01Z,2026-08-12T18:00:00Z,150.4,15.4,9.3,16.3,6.1,6.1
2026-08-06T11:36:01Z,2026-08-12T21:00:00Z,153.4,14.3,8.4,16.3,5.9,5.9
2026-08-06T11:36:01Z,2026-08-13T00:00:00Z,156.4,13.4,8.4,16.3,5.0,5.0
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,22.3,24.1,16.3,-1.8,1.8
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,22.3,19.2,16.3,3.1,3.1
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,20.6,16.8,16.3,3.8,3.8
2026-08-06T11:44:08Z,2026-08-11T21:00:00Z,129.3,19.2,16.3,16.3,2.9,2.9
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,17.8,15.2,16.3,2.6,2.6
