# Архангельск / Облачность / 2-3 дня / Apple Погода
# n=480, MAE=15.616, RMSE=23.370, bias=-7.582
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (23.370/31.828)^2 = 0.4608  (RMSE_персистентности по 480 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,90.0,100.0,87.5,-10.0,10.0
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,82.0,87.5,87.5,-5.5,5.5
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,76.0,100.0,87.5,-24.0,24.0
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,99.0,87.5,87.5,11.5,11.5
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,97.0,87.5,100.0,9.5,9.5
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,93.0,100.0,100.0,-7.0,7.0
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,95.0,100.0,100.0,-5.0,5.0
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,82.0,75.0,100.0,7.0,7.0
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,90.0,100.0,87.5,-10.0,10.0
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,82.0,87.5,87.5,-5.5,5.5
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,76.0,100.0,87.5,-24.0,24.0
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,99.0,87.5,87.5,11.5,11.5
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,97.0,87.5,100.0,9.5,9.5
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,93.0,100.0,100.0,-7.0,7.0
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,95.0,100.0,100.0,-5.0,5.0
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,82.0,75.0,100.0,7.0,7.0
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,94.0,100.0,100.0,-6.0,6.0
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,85.0,100.0,100.0,-15.0,15.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,100.0,75.0,100.0,25.0,25.0
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,75.0,75.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,43.0,87.5,87.5,-44.5,44.5
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,36.0,75.0,100.0,-39.0,39.0
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,52.0,37.5,87.5,14.5,14.5
2026-08-07T01:31:32Z,2026-08-10T00:00:00Z,70.5,91.0,37.5,87.5,53.5,53.5
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,95.0,100.0,100.0,-5.0,5.0
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,94.0,75.0,100.0,19.0,19.0
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,65.0,75.0,100.0,-10.0,10.0
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,28.0,87.5,87.5,-59.5,59.5
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,25.0,75.0,100.0,-50.0,50.0
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,55.0,37.5,87.5,17.5,17.5
2026-08-07T05:36:00Z,2026-08-10T00:00:00Z,66.4,88.0,37.5,87.5,50.5,50.5
2026-08-07T05:36:00Z,2026-08-10T03:00:00Z,69.4,89.0,87.5,100.0,1.5,1.5
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,94.0,75.0,100.0,19.0,19.0
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,70.0,75.0,100.0,-5.0,5.0
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,27.0,87.5,87.5,-60.5,60.5
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,26.0,75.0,100.0,-49.0,49.0
2026-08-07T06:18:59Z,2026-08-09T21:00:00Z,62.7,38.0,37.5,87.5,0.5,0.5
2026-08-07T06:18:59Z,2026-08-10T00:00:00Z,65.7,81.0,37.5,87.5,43.5,43.5
2026-08-07T06:18:59Z,2026-08-10T03:00:00Z,68.7,74.0,87.5,100.0,-13.5,13.5
2026-08-07T06:18:59Z,2026-08-10T06:00:00Z,71.7,94.0,87.5,100.0,6.5,6.5
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,85.0,75.0,100.0,10.0,10.0
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,76.0,75.0,100.0,1.0,1.0
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,35.0,87.5,87.5,-52.5,52.5
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,26.0,75.0,100.0,-49.0,49.0
2026-08-07T07:13:52Z,2026-08-09T21:00:00Z,61.8,39.0,37.5,87.5,1.5,1.5
2026-08-07T07:13:52Z,2026-08-10T00:00:00Z,64.8,64.0,37.5,87.5,26.5,26.5
2026-08-07T07:13:52Z,2026-08-10T03:00:00Z,67.8,70.0,87.5,100.0,-17.5,17.5
2026-08-07T07:13:52Z,2026-08-10T06:00:00Z,70.8,94.0,87.5,100.0,6.5,6.5
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,82.0,75.0,100.0,7.0,7.0
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,36.0,87.5,87.5,-51.5,51.5
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,16.0,75.0,100.0,-59.0,59.0
2026-08-07T10:39:14Z,2026-08-09T21:00:00Z,58.3,38.0,37.5,87.5,0.5,0.5
2026-08-07T10:39:14Z,2026-08-10T00:00:00Z,61.3,55.0,37.5,87.5,17.5,17.5
2026-08-07T10:39:14Z,2026-08-10T03:00:00Z,64.3,67.0,87.5,100.0,-20.5,20.5
2026-08-07T10:39:14Z,2026-08-10T06:00:00Z,67.3,94.0,87.5,100.0,6.5,6.5
2026-08-07T10:39:14Z,2026-08-10T09:00:00Z,70.3,92.0,87.5,75.0,4.5,4.5
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,31.0,75.0,100.0,-44.0,44.0
