# Архангельск / Температура / 3-5 дней / Яндекс.Погода
# n=33, MAE=1.839, RMSE=2.058, bias=+0.082
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.058/3.054)^2 = 0.5459  (RMSE_персистентности по 33 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-16T18:00:00Z,73.4,14.0,11.2,12.2,2.8,2.8
2026-08-13T16:36:10Z,2026-08-17T00:00:00Z,79.4,11.0,9.3,10.8,1.7,1.7
2026-08-13T16:36:10Z,2026-08-17T06:00:00Z,85.4,12.0,15.0,12.3,-3.0,3.0
2026-08-13T16:36:10Z,2026-08-17T12:00:00Z,91.4,17.0,19.5,16.0,-2.5,2.5
2026-08-13T16:36:10Z,2026-08-17T18:00:00Z,97.4,16.0,14.5,11.2,1.5,1.5
2026-08-13T16:36:10Z,2026-08-18T00:00:00Z,103.4,11.0,13.0,9.3,-2.0,2.0
2026-08-13T16:42:24Z,2026-08-16T18:00:00Z,73.3,14.0,11.2,12.2,2.8,2.8
2026-08-13T16:42:24Z,2026-08-17T00:00:00Z,79.3,11.0,9.3,10.8,1.7,1.7
2026-08-13T16:42:24Z,2026-08-17T06:00:00Z,85.3,12.0,15.0,12.3,-3.0,3.0
2026-08-13T16:42:24Z,2026-08-17T12:00:00Z,91.3,17.0,19.5,16.0,-2.5,2.5
2026-08-13T16:42:24Z,2026-08-17T18:00:00Z,97.3,16.0,14.5,11.2,1.5,1.5
2026-08-13T16:42:24Z,2026-08-18T00:00:00Z,103.3,11.0,13.0,9.3,-2.0,2.0
2026-08-13T16:54:22Z,2026-08-16T18:00:00Z,73.1,14.0,11.2,12.2,2.8,2.8
2026-08-13T16:54:22Z,2026-08-17T00:00:00Z,79.1,11.0,9.3,10.8,1.7,1.7
2026-08-13T16:54:22Z,2026-08-17T06:00:00Z,85.1,12.0,15.0,12.3,-3.0,3.0
2026-08-13T16:54:22Z,2026-08-17T12:00:00Z,91.1,17.0,19.5,16.0,-2.5,2.5
2026-08-13T16:54:22Z,2026-08-17T18:00:00Z,97.1,16.0,14.5,11.2,1.5,1.5
2026-08-13T16:54:22Z,2026-08-18T00:00:00Z,103.1,11.0,13.0,9.3,-2.0,2.0
2026-08-13T22:52:17Z,2026-08-17T00:00:00Z,73.1,12.0,9.3,10.8,2.7,2.7
2026-08-13T22:52:17Z,2026-08-17T06:00:00Z,79.1,13.0,15.0,12.3,-2.0,2.0
2026-08-13T22:52:17Z,2026-08-17T12:00:00Z,85.1,19.0,19.5,16.0,-0.5,0.5
2026-08-13T22:52:17Z,2026-08-17T18:00:00Z,91.1,17.0,14.5,11.2,2.5,2.5
2026-08-13T22:52:17Z,2026-08-18T00:00:00Z,97.1,13.0,13.0,9.3,0.0,0.0
2026-08-14T05:28:14Z,2026-08-17T06:00:00Z,72.5,13.0,15.0,12.3,-2.0,2.0
2026-08-14T05:28:14Z,2026-08-17T12:00:00Z,78.5,19.0,19.5,16.0,-0.5,0.5
2026-08-14T05:28:14Z,2026-08-17T18:00:00Z,84.5,17.0,14.5,11.2,2.5,2.5
2026-08-14T05:28:14Z,2026-08-18T00:00:00Z,90.5,13.0,13.0,9.3,0.0,0.0
2026-08-14T10:44:54Z,2026-08-17T12:00:00Z,73.3,19.0,19.5,16.0,-0.5,0.5
2026-08-14T10:44:54Z,2026-08-17T18:00:00Z,79.3,17.0,14.5,11.2,2.5,2.5
2026-08-14T10:44:54Z,2026-08-18T00:00:00Z,85.3,13.0,13.0,9.3,0.0,0.0
2026-08-14T16:48:33Z,2026-08-17T18:00:00Z,73.2,17.0,14.5,11.2,2.5,2.5
2026-08-14T16:48:33Z,2026-08-18T00:00:00Z,79.2,12.0,13.0,9.3,-1.0,1.0
2026-08-14T22:30:55Z,2026-08-18T00:00:00Z,73.5,14.0,13.0,9.3,1.0,1.0
