# Архангельск / Температура / 3-5 дней / OpenWeatherMap
# n=425, MAE=2.332, RMSE=3.213, bias=-1.262
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (3.213/4.374)^2 = 0.4605  (RMSE_персистентности по 425 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,16.92,16.7,15.4,0.22,0.22
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,15.52,17.0,15.5,-1.48,1.48
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,10.08,13.7,14.4,-3.62,3.62
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,9.06,10.4,13.6,-1.34,1.34
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,8.09,10.8,13.1,-2.71,2.71
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,10.52,12.6,11.9,-2.08,2.08
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,16.78,16.9,15.2,-0.12,0.12
2026-08-06T11:30:42Z,2026-08-10T09:00:00Z,93.5,19.38,20.6,16.5,-1.22,1.22
2026-08-06T11:30:42Z,2026-08-10T12:00:00Z,96.5,22.23,22.3,16.7,-0.07,0.07
2026-08-06T11:30:42Z,2026-08-10T15:00:00Z,99.5,20.8,21.8,17.0,-1.0,1.0
2026-08-06T11:30:42Z,2026-08-10T18:00:00Z,102.5,14.68,18.4,13.7,-3.72,3.72
2026-08-06T11:30:42Z,2026-08-10T21:00:00Z,105.5,14.62,15.0,10.4,-0.38,0.38
2026-08-06T11:30:42Z,2026-08-11T00:00:00Z,108.5,13.75,15.3,10.8,-1.55,1.55
2026-08-06T11:30:42Z,2026-08-11T03:00:00Z,111.5,13.19,15.0,12.6,-1.81,1.81
2026-08-06T11:30:42Z,2026-08-11T06:00:00Z,114.5,12.11,19.4,16.9,-7.29,7.29
2026-08-06T11:30:42Z,2026-08-11T09:00:00Z,117.5,13.55,23.5,20.6,-9.95,9.95
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,16.92,16.7,15.4,0.22,0.22
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,15.52,17.0,15.5,-1.48,1.48
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,10.08,13.7,14.4,-3.62,3.62
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,9.06,10.4,13.6,-1.34,1.34
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,8.09,10.8,13.1,-2.71,2.71
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,10.52,12.6,11.9,-2.08,2.08
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,16.78,16.9,15.2,-0.12,0.12
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,19.38,20.6,16.5,-1.22,1.22
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,22.23,22.3,16.7,-0.07,0.07
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,20.8,21.8,17.0,-1.0,1.0
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,14.68,18.4,13.7,-3.72,3.72
2026-08-06T11:36:01Z,2026-08-10T21:00:00Z,105.4,14.62,15.0,10.4,-0.38,0.38
2026-08-06T11:36:01Z,2026-08-11T00:00:00Z,108.4,13.75,15.3,10.8,-1.55,1.55
2026-08-06T11:36:01Z,2026-08-11T03:00:00Z,111.4,13.19,15.0,12.6,-1.81,1.81
2026-08-06T11:36:01Z,2026-08-11T06:00:00Z,114.4,12.11,19.4,16.9,-7.29,7.29
2026-08-06T11:36:01Z,2026-08-11T09:00:00Z,117.4,13.55,23.5,20.6,-9.95,9.95
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,16.92,16.7,15.4,0.22,0.22
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,15.52,17.0,15.5,-1.48,1.48
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,10.08,13.7,14.4,-3.62,3.62
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,9.06,10.4,13.6,-1.34,1.34
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,8.09,10.8,13.1,-2.71,2.71
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,10.52,12.6,11.9,-2.08,2.08
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,16.78,16.9,15.2,-0.12,0.12
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,19.38,20.6,16.5,-1.22,1.22
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,22.23,22.3,16.7,-0.07,0.07
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,20.8,21.8,17.0,-1.0,1.0
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,14.68,18.4,13.7,-3.72,3.72
2026-08-06T11:44:08Z,2026-08-10T21:00:00Z,105.3,14.62,15.0,10.4,-0.38,0.38
2026-08-06T11:44:08Z,2026-08-11T00:00:00Z,108.3,13.75,15.3,10.8,-1.55,1.55
2026-08-06T11:44:08Z,2026-08-11T03:00:00Z,111.3,13.19,15.0,12.6,-1.81,1.81
2026-08-06T11:44:08Z,2026-08-11T06:00:00Z,114.3,12.11,19.4,16.9,-7.29,7.29
2026-08-06T11:44:08Z,2026-08-11T09:00:00Z,117.3,13.55,23.5,20.6,-9.95,9.95
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,11.54,12.6,11.9,-1.06,1.06
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,13.91,16.9,15.2,-2.99,2.99
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,21.14,20.6,16.5,0.54,0.54
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,19.17,22.3,16.7,-3.13,3.13
2026-08-07T01:31:32Z,2026-08-10T15:00:00Z,85.5,20.04,21.8,17.0,-1.76,1.76
2026-08-07T01:31:32Z,2026-08-10T18:00:00Z,88.5,16.63,18.4,13.7,-1.77,1.77
2026-08-07T01:31:32Z,2026-08-10T21:00:00Z,91.5,15.4,15.0,10.4,0.4,0.4
2026-08-07T01:31:32Z,2026-08-11T00:00:00Z,94.5,15.09,15.3,10.8,-0.21,0.21
2026-08-07T01:31:32Z,2026-08-11T03:00:00Z,97.5,14.51,15.0,12.6,-0.49,0.49
2026-08-07T01:31:32Z,2026-08-11T06:00:00Z,100.5,13.96,19.4,16.9,-5.44,5.44
2026-08-07T01:31:32Z,2026-08-11T09:00:00Z,103.5,16.97,23.5,20.6,-6.53,6.53
