# Архангельск / Ветер / 3-5 дней / Яндекс.Погода
# n=130, MAE=0.546, RMSE=0.709, bias=+0.105
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.709/1.218)^2 = 0.6616  (RMSE_персистентности по 130 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-16T18:00:00Z,73.4,1.2,1.0,2.0,0.2,0.2
2026-08-13T16:36:10Z,2026-08-17T00:00:00Z,79.4,1.2,1.0,3.0,0.2,0.2
2026-08-13T16:36:10Z,2026-08-17T06:00:00Z,85.4,1.8,2.0,2.0,-0.2,0.2
2026-08-13T16:36:10Z,2026-08-17T12:00:00Z,91.4,2.5,3.0,1.0,-0.5,0.5
2026-08-13T16:36:10Z,2026-08-17T18:00:00Z,97.4,1.7,1.0,1.0,0.7,0.7
2026-08-13T16:36:10Z,2026-08-18T00:00:00Z,103.4,1.0,1.0,1.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-18T06:00:00Z,109.4,1.5,1.0,2.0,0.5,0.5
2026-08-13T16:36:10Z,2026-08-18T12:00:00Z,115.4,2.2,2.0,3.0,0.2,0.2
2026-08-13T16:42:24Z,2026-08-16T18:00:00Z,73.3,1.2,1.0,2.0,0.2,0.2
2026-08-13T16:42:24Z,2026-08-17T00:00:00Z,79.3,1.2,1.0,3.0,0.2,0.2
2026-08-13T16:42:24Z,2026-08-17T06:00:00Z,85.3,1.8,2.0,2.0,-0.2,0.2
2026-08-13T16:42:24Z,2026-08-17T12:00:00Z,91.3,2.5,3.0,1.0,-0.5,0.5
2026-08-13T16:42:24Z,2026-08-17T18:00:00Z,97.3,1.7,1.0,1.0,0.7,0.7
2026-08-13T16:42:24Z,2026-08-18T00:00:00Z,103.3,1.0,1.0,1.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-18T06:00:00Z,109.3,1.5,1.0,2.0,0.5,0.5
2026-08-13T16:42:24Z,2026-08-18T12:00:00Z,115.3,2.2,2.0,3.0,0.2,0.2
2026-08-13T16:54:22Z,2026-08-16T18:00:00Z,73.1,1.5,1.0,2.0,0.5,0.5
2026-08-13T16:54:22Z,2026-08-17T00:00:00Z,79.1,1.2,1.0,3.0,0.2,0.2
2026-08-13T16:54:22Z,2026-08-17T06:00:00Z,85.1,1.8,2.0,2.0,-0.2,0.2
2026-08-13T16:54:22Z,2026-08-17T12:00:00Z,91.1,2.5,3.0,1.0,-0.5,0.5
2026-08-13T16:54:22Z,2026-08-17T18:00:00Z,97.1,1.7,1.0,1.0,0.7,0.7
2026-08-13T16:54:22Z,2026-08-18T00:00:00Z,103.1,1.0,1.0,1.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-18T06:00:00Z,109.1,1.5,1.0,2.0,0.5,0.5
2026-08-13T16:54:22Z,2026-08-18T12:00:00Z,115.1,2.2,2.0,3.0,0.2,0.2
