# Архангельск / Ветер / 6-24ч / OpenWeatherMap
# n=271, MAE=1.443, RMSE=1.756, bias=+1.323
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.756/1.281)^2 = -0.8780  (RMSE_персистентности по 271 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,0.91,1.0,1.0,-0.09,0.09
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,1.82,1.0,1.0,0.82,0.82
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,3.56,1.0,1.0,2.56,2.56
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,3.45,3.0,1.0,0.45,0.45
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,2.42,3.0,1.0,-0.58,0.58
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,3.75,1.0,1.0,2.75,2.75
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,0.91,1.0,1.0,-0.09,0.09
2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,1.82,1.0,1.0,0.82,0.82
2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,3.56,1.0,1.0,2.56,2.56
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,3.45,3.0,1.0,0.45,0.45
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,2.42,3.0,1.0,-0.58,0.58
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,3.75,1.0,1.0,2.75,2.75
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,0.91,1.0,1.0,-0.09,0.09
2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,1.82,1.0,1.0,0.82,0.82
2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,3.56,1.0,1.0,2.56,2.56
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,3.45,3.0,1.0,0.45,0.45
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,2.42,3.0,1.0,-0.58,0.58
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,3.75,1.0,1.0,2.75,2.75
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,4.12,1.0,1.0,3.12,3.12
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,3.45,1.0,1.0,2.45,2.45
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,1.53,1.0,1.0,0.53,0.53
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,1.9,1.0,1.0,0.9,0.9
2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,1.98,1.0,1.0,0.98,0.98
2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,1.35,1.0,1.0,0.35,0.35
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,3.45,1.0,3.0,2.45,2.45
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,1.53,1.0,3.0,0.53,0.53
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,1.9,1.0,3.0,0.9,0.9
2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,1.98,1.0,3.0,0.98,0.98
2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,1.35,1.0,3.0,0.35,0.35
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,0.55,1.0,3.0,-0.45,0.45
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,1.53,1.0,3.0,0.53,0.53
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,1.9,1.0,3.0,0.9,0.9
2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,1.98,1.0,3.0,0.98,0.98
2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,1.35,1.0,3.0,0.35,0.35
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,0.55,1.0,3.0,-0.45,0.45
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,0.94,1.0,3.0,-0.06,0.06
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,0.97,1.0,3.0,-0.03,0.03
2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,1.91,1.0,3.0,0.91,0.91
2026-08-07T07:13:52Z,2026-08-07T21:00:00Z,13.8,1.79,1.0,3.0,0.79,0.79
