# Архангельск / Облачность / 2-3 дня / JMA (Япония)
# n=254, MAE=28.612, RMSE=38.452, bias=-27.455
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (38.452/25.620)^2 = -1.2526  (RMSE_персистентности по 254 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,26.0,100.0,87.5,-74.0,74.0
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,45.0,87.5,87.5,-42.5,42.5
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,71.0,100.0,87.5,-29.0,29.0
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,80.0,87.5,87.5,-7.5,7.5
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,85.0,87.5,100.0,-2.5,2.5
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,99.0,100.0,100.0,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,99.0,100.0,100.0,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,48.0,75.0,100.0,-27.0,27.0
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,26.0,100.0,87.5,-74.0,74.0
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,45.0,87.5,87.5,-42.5,42.5
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,71.0,100.0,87.5,-29.0,29.0
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,80.0,87.5,87.5,-7.5,7.5
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,85.0,87.5,100.0,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,99.0,100.0,100.0,-1.0,1.0
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,99.0,100.0,100.0,-1.0,1.0
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,48.0,75.0,100.0,-27.0,27.0
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,26.0,100.0,87.5,-74.0,74.0
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,45.0,87.5,87.5,-42.5,42.5
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,71.0,100.0,87.5,-29.0,29.0
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,80.0,87.5,87.5,-7.5,7.5
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,85.0,87.5,100.0,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,99.0,100.0,100.0,-1.0,1.0
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,99.0,100.0,100.0,-1.0,1.0
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,48.0,75.0,100.0,-27.0,27.0
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,26.0,100.0,87.5,-74.0,74.0
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,45.0,87.5,87.5,-42.5,42.5
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,71.0,100.0,87.5,-29.0,29.0
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,80.0,87.5,87.5,-7.5,7.5
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,85.0,87.5,100.0,-2.5,2.5
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,99.0,100.0,100.0,-1.0,1.0
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,99.0,100.0,100.0,-1.0,1.0
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,48.0,75.0,100.0,-27.0,27.0
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,26.0,100.0,87.5,-74.0,74.0
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,45.0,87.5,87.5,-42.5,42.5
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,71.0,100.0,87.5,-29.0,29.0
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,80.0,87.5,87.5,-7.5,7.5
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,85.0,87.5,100.0,-2.5,2.5
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,99.0,100.0,100.0,-1.0,1.0
