# Архангельск / Ветер / 1-2 дня / JMA (Япония)
# n=112, MAE=0.751, RMSE=0.867, bias=+0.281
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.867/0.911)^2 = 0.0955  (RMSE_персистентности по 112 пар(ам))
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,2.19,1.0,1.0,1.19,1.19
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,1.8,1.0,1.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,1.58,1.0,1.0,0.58,0.58
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,1.64,1.0,1.0,0.64,0.64
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,1.64,1.0,1.0,0.64,0.64
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,1.7,1.0,1.0,0.7,0.7
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,2.28,1.0,1.0,1.28,1.28
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,2.47,1.0,1.0,1.47,1.47
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,2.19,1.0,1.0,1.19,1.19
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,1.8,1.0,1.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,1.58,1.0,1.0,0.58,0.58
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,1.64,1.0,1.0,0.64,0.64
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,1.64,1.0,1.0,0.64,0.64
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,1.7,1.0,1.0,0.7,0.7
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,2.28,1.0,1.0,1.28,1.28
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,2.47,1.0,1.0,1.47,1.47
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,2.19,1.0,1.0,1.19,1.19
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,1.8,1.0,1.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,1.58,1.0,1.0,0.58,0.58
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,1.64,1.0,1.0,0.64,0.64
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,1.64,1.0,1.0,0.64,0.64
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,1.7,1.0,1.0,0.7,0.7
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,2.28,1.0,1.0,1.28,1.28
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,2.47,1.0,1.0,1.47,1.47
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,2.19,1.0,1.0,1.19,1.19
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,1.8,1.0,1.0,0.8,0.8
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,1.58,1.0,1.0,0.58,0.58
2026-08-06T10:47:54Z,2026-08-07T21:00:00Z,34.2,1.64,1.0,1.0,0.64,0.64
2026-08-06T10:47:54Z,2026-08-08T00:00:00Z,37.2,1.64,1.0,1.0,0.64,0.64
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,1.7,1.0,1.0,0.7,0.7
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,2.28,1.0,1.0,1.28,1.28
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,2.47,1.0,1.0,1.47,1.47
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,2.19,1.0,1.0,1.19,1.19
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,1.8,1.0,1.0,0.8,0.8
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,1.58,1.0,1.0,0.58,0.58
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,1.64,1.0,1.0,0.64,0.64
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,1.64,1.0,1.0,0.64,0.64
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,1.7,1.0,1.0,0.7,0.7
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,2.28,1.0,1.0,1.28,1.28
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,2.47,1.0,1.0,1.47,1.47
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,2.19,1.0,1.0,1.19,1.19
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,1.8,1.0,1.0,0.8,0.8
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,1.58,1.0,1.0,0.58,0.58
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,1.64,1.0,1.0,0.64,0.64
