# Архангельск / Осадки / 6-24ч / ECMWF AIFS
# n=59, порог дождя = 0.2 мм
# POD=1.0, FAR=0.19607843137254902, CSI=0.803921568627451, MAE=2.958 мм, bias=-0.554 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,6.9,3.0,3.9
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,6.9,3.0,3.9
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,6.9,3.0,3.9
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,6.9,3.0,3.9
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,6.9,3.0,3.9
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,6.9,3.0,3.9
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,7.5,3.0,4.5
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,6.6,3.0,3.6
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,6.6,3.0,3.6
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,5.4,3.0,2.4
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,5.4,3.0,2.4
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,3.0,0.4,2.6
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,2.7,0.4,2.3
2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,2.7,0.4,2.3
2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,2.7,0.4,2.3
2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,2.1,0.4,1.7
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,3.9,7.0,-3.1
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,6.3,7.0,-0.7
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,6.3,7.0,-0.7
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,5.1,7.0,-1.9
2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,3.0,4.0,-1.0
2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,4.2,4.0,0.2
2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,1.8,0.6,1.2
2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,1.8,0.6,1.2
2026-08-09T04:59:03Z,2026-08-10T03:00:00Z,22.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T03:00:00Z,16.7,0.3,0.0,0.3
2026-08-09T12:41:38Z,2026-08-10T03:00:00Z,14.3,0.0,0.0,0.0
