# Архангельск / Облачность / 5-10 дней / ECMWF IFS
# n=279, MAE=25.088, RMSE=42.536, bias=-24.461
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (42.536/10.068)^2 = -16.8490  (RMSE_персистентности по 279 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,73.0,100.0,87.5,-27.0,27.0
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,45.0,100.0,87.5,-55.0,55.0
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,31.0,100.0,87.5,-69.0,69.0
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,32.0,100.0,87.5,-68.0,68.0
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,65.0,100.0,87.5,-35.0,35.0
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T21:00:00Z,155.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-13T03:00:00Z,161.2,99.0,100.0,87.5,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,98.0,100.0,87.5,-2.0,2.0
2026-08-06T09:50:07Z,2026-08-13T09:00:00Z,167.2,99.0,100.0,87.5,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,93.0,100.0,87.5,-7.0,7.0
2026-08-06T09:50:07Z,2026-08-13T15:00:00Z,173.2,64.0,100.0,87.5,-36.0,36.0
2026-08-06T09:50:07Z,2026-08-13T18:00:00Z,176.2,31.0,100.0,87.5,-69.0,69.0
2026-08-06T09:50:07Z,2026-08-13T21:00:00Z,179.2,12.0,100.0,87.5,-88.0,88.0
2026-08-06T09:50:07Z,2026-08-14T00:00:00Z,182.2,1.0,100.0,87.5,-99.0,99.0
2026-08-06T09:50:07Z,2026-08-14T03:00:00Z,185.2,0.0,100.0,87.5,-100.0,100.0
