# Архангельск / Облачность / 3-5 дней / GFS (США)
# n=63, MAE=24.040, RMSE=32.543, bias=-8.008
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (32.543/24.650)^2 = -0.7429  (RMSE_персистентности по 63 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,64.0,75.0,87.5,-11.0,11.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,24.0,87.5,87.5,-63.5,63.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,10.0,75.0,87.5,-65.0,65.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,42.0,37.5,87.5,4.5,4.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,9.0,37.5,87.5,-28.5,28.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,99.0,87.5,87.5,11.5,11.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,64.0,75.0,87.5,-11.0,11.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,24.0,87.5,87.5,-63.5,63.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,10.0,75.0,87.5,-65.0,65.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,42.0,37.5,87.5,4.5,4.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,9.0,37.5,87.5,-28.5,28.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,99.0,87.5,87.5,11.5,11.5
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,64.0,75.0,87.5,-11.0,11.0
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,24.0,87.5,87.5,-63.5,63.5
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,10.0,75.0,87.5,-65.0,65.0
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,42.0,37.5,87.5,4.5,4.5
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,9.0,37.5,87.5,-28.5,28.5
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,99.0,87.5,87.5,11.5,11.5
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,64.0,75.0,87.5,-11.0,11.0
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,24.0,87.5,87.5,-63.5,63.5
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,10.0,75.0,87.5,-65.0,65.0
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,42.0,37.5,87.5,4.5,4.5
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,9.0,37.5,87.5,-28.5,28.5
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,99.0,87.5,87.5,11.5,11.5
2026-08-06T10:47:54Z,2026-08-10T09:00:00Z,94.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,64.0,75.0,87.5,-11.0,11.0
