# Архангельск / Ветер / 3-5 дней / ICON (Германия)
# n=63, MAE=1.317, RMSE=1.432, bias=+1.317
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.432/0.766)^2 = -2.4940  (RMSE_персистентности по 63 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,3.91,2.0,2.0,1.91,1.91
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,2.4,2.0,1.0,0.4,0.4
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,1.49,0.0,1.0,1.49,1.49
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,2.61,1.0,2.0,1.61,1.61
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,2.75,1.0,2.0,1.75,1.75
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,3.05,2.0,2.0,1.05,1.05
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,3.61,3.0,2.0,0.61,0.61
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,5.04,3.0,3.0,2.04,2.04
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,3.91,2.0,2.0,1.91,1.91
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,2.4,2.0,1.0,0.4,0.4
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,1.49,0.0,1.0,1.49,1.49
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,2.61,1.0,2.0,1.61,1.61
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,2.75,1.0,2.0,1.75,1.75
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,3.05,2.0,2.0,1.05,1.05
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,3.61,3.0,2.0,0.61,0.61
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,5.04,3.0,3.0,2.04,2.04
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,3.91,2.0,2.0,1.91,1.91
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,2.4,2.0,1.0,0.4,0.4
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,1.49,0.0,1.0,1.49,1.49
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,2.61,1.0,2.0,1.61,1.61
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,2.75,1.0,2.0,1.75,1.75
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,3.05,2.0,2.0,1.05,1.05
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,3.61,3.0,2.0,0.61,0.61
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,5.04,3.0,3.0,2.04,2.04
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,3.91,2.0,2.0,1.91,1.91
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,2.4,2.0,1.0,0.4,0.4
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,1.49,0.0,1.0,1.49,1.49
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,2.61,1.0,2.0,1.61,1.61
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,2.75,1.0,2.0,1.75,1.75
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,3.05,2.0,2.0,1.05,1.05
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,3.61,3.0,2.0,0.61,0.61
2026-08-06T10:47:54Z,2026-08-10T09:00:00Z,94.2,5.04,3.0,3.0,2.04,2.04
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,3.91,2.0,2.0,1.91,1.91
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,2.4,2.0,1.0,0.4,0.4
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,1.49,0.0,1.0,1.49,1.49
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,2.61,1.0,2.0,1.61,1.61
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,2.75,1.0,2.0,1.75,1.75
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,3.05,2.0,2.0,1.05,1.05
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,3.61,3.0,2.0,0.61,0.61
2026-08-06T11:30:42Z,2026-08-10T09:00:00Z,93.5,5.04,3.0,3.0,2.04,2.04
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,3.91,2.0,2.0,1.91,1.91
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,2.4,2.0,1.0,0.4,0.4
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,1.49,0.0,1.0,1.49,1.49
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,2.61,1.0,2.0,1.61,1.61
