# Архангельск / Осадки / 1-2 дня / Tomorrow.io
# n=82, порог дождя = 0.2 мм
# POD=0.9722222222222222, FAR=0.16666666666666666, CSI=0.813953488372093, MAE=1.533 мм, bias=+0.740 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-09T12:48:15Z,2026-08-10T15:00:00Z,26.2,0.11,0.0,0.11
2026-08-09T12:48:15Z,2026-08-11T03:00:00Z,38.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-11T03:00:00Z,34.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-11T03:00:00Z,28.3,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-11T15:00:00Z,46.5,0.06,0.1,-0.04
2026-08-09T22:39:09Z,2026-08-11T15:00:00Z,40.3,0.28,0.1,0.18
2026-08-10T05:20:42Z,2026-08-11T15:00:00Z,33.7,0.54,0.1,0.44
2026-08-10T10:53:28Z,2026-08-11T15:00:00Z,28.1,0.51,0.1,0.41
2026-08-10T05:20:42Z,2026-08-12T03:00:00Z,45.7,12.88,5.0,7.88
2026-08-10T10:53:28Z,2026-08-12T03:00:00Z,40.1,16.5,5.0,11.5
2026-08-10T16:52:05Z,2026-08-12T03:00:00Z,34.1,12.13,5.0,7.13
2026-08-10T22:47:13Z,2026-08-12T03:00:00Z,28.2,17.7,5.0,12.7
2026-08-10T16:52:05Z,2026-08-12T15:00:00Z,46.1,3.57,4.0,-0.43
2026-08-10T22:47:13Z,2026-08-12T15:00:00Z,40.2,2.69,4.0,-1.31
2026-08-11T05:01:49Z,2026-08-12T15:00:00Z,34.0,2.73,4.0,-1.27
2026-08-11T10:38:45Z,2026-08-12T15:00:00Z,28.4,3.08,4.0,-0.92
2026-08-11T05:01:49Z,2026-08-13T03:00:00Z,46.0,11.09,5.0,6.09
2026-08-11T10:38:45Z,2026-08-13T03:00:00Z,40.4,6.64,5.0,1.64
2026-08-12T06:05:22Z,2026-08-13T15:00:00Z,32.9,28.75,31.0,-2.25
2026-08-12T10:47:03Z,2026-08-13T15:00:00Z,28.2,40.91,31.0,9.91
2026-08-12T06:05:22Z,2026-08-14T03:00:00Z,44.9,21.33,24.0,-2.67
2026-08-12T10:47:03Z,2026-08-14T03:00:00Z,40.2,19.94,24.0,-4.06
2026-08-12T16:54:57Z,2026-08-14T03:00:00Z,34.1,19.15,24.0,-4.85
2026-08-12T22:50:47Z,2026-08-14T03:00:00Z,28.2,27.6,24.0,3.6
2026-08-12T16:54:57Z,2026-08-14T15:00:00Z,46.1,5.81,7.0,-1.19
2026-08-12T22:50:47Z,2026-08-14T15:00:00Z,40.2,6.8,7.0,-0.2
2026-08-13T05:30:08Z,2026-08-14T15:00:00Z,33.5,7.6,7.0,0.6
2026-08-13T10:49:01Z,2026-08-14T15:00:00Z,28.2,8.24,7.0,1.24
2026-08-13T05:30:08Z,2026-08-15T03:00:00Z,45.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-15T03:00:00Z,40.2,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-15T03:00:00Z,34.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-15T03:00:00Z,34.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-15T03:00:00Z,34.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-15T03:00:00Z,28.1,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-15T15:00:00Z,46.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-15T15:00:00Z,46.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-15T15:00:00Z,46.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-15T15:00:00Z,40.1,0.02,0.0,0.02
2026-08-14T05:28:14Z,2026-08-15T15:00:00Z,33.5,0.39,0.0,0.39
2026-08-14T10:44:54Z,2026-08-15T15:00:00Z,28.3,0.04,0.0,0.04
2026-08-14T05:28:14Z,2026-08-16T03:00:00Z,45.5,0.01,4.0,-3.99
2026-08-14T10:44:54Z,2026-08-16T03:00:00Z,40.3,0.28,4.0,-3.72
2026-08-14T16:48:33Z,2026-08-16T03:00:00Z,34.2,2.54,4.0,-1.46
2026-08-14T22:30:55Z,2026-08-16T03:00:00Z,28.5,1.4,4.0,-2.6
2026-08-14T16:48:33Z,2026-08-16T15:00:00Z,46.2,0.83,0.4,0.43
2026-08-14T22:30:55Z,2026-08-16T15:00:00Z,40.5,0.43,0.4,0.03
2026-08-15T04:24:15Z,2026-08-16T15:00:00Z,34.6,0.47,0.4,0.07
2026-08-15T10:09:15Z,2026-08-16T15:00:00Z,28.8,2.53,0.4,2.13
2026-08-15T04:24:15Z,2026-08-17T03:00:00Z,46.6,0.0,0.0,0.0
2026-08-15T10:09:15Z,2026-08-17T03:00:00Z,40.8,0.0,0.0,0.0
2026-08-15T16:20:39Z,2026-08-17T03:00:00Z,34.7,0.0,0.0,0.0
2026-08-15T22:29:33Z,2026-08-17T03:00:00Z,28.5,0.1,0.0,0.1
2026-08-15T16:20:39Z,2026-08-17T15:00:00Z,46.7,0.0,0.0,0.0
2026-08-15T22:29:33Z,2026-08-17T15:00:00Z,40.5,0.0,0.0,0.0
2026-08-16T04:29:41Z,2026-08-17T15:00:00Z,34.5,0.0,0.0,0.0
2026-08-16T07:21:44Z,2026-08-17T15:00:00Z,31.6,0.0,0.0,0.0
2026-08-16T10:09:47Z,2026-08-17T15:00:00Z,28.8,0.0,0.0,0.0
2026-08-16T04:29:41Z,2026-08-18T03:00:00Z,46.5,0.0,0.0,0.0
2026-08-16T07:21:44Z,2026-08-18T03:00:00Z,43.6,0.0,0.0,0.0
2026-08-16T10:09:47Z,2026-08-18T03:00:00Z,40.8,0.0,0.0,0.0
2026-08-16T16:21:00Z,2026-08-18T03:00:00Z,34.6,1.39,0.0,1.39
2026-08-16T22:29:34Z,2026-08-18T03:00:00Z,28.5,0.1,0.0,0.1
2026-08-16T16:21:00Z,2026-08-18T15:00:00Z,46.6,3.18,0.0,3.18
2026-08-16T22:29:34Z,2026-08-18T15:00:00Z,40.5,0.04,0.0,0.04
2026-08-17T04:35:30Z,2026-08-18T15:00:00Z,34.4,0.0,0.0,0.0
2026-08-17T10:18:11Z,2026-08-18T15:00:00Z,28.7,0.09,0.0,0.09
2026-08-17T04:35:30Z,2026-08-19T03:00:00Z,46.4,0.0,0.0,0.0
2026-08-17T10:18:11Z,2026-08-19T03:00:00Z,40.7,0.0,0.0,0.0
2026-08-17T16:23:45Z,2026-08-19T03:00:00Z,34.6,0.0,0.0,0.0
2026-08-17T22:31:28Z,2026-08-19T03:00:00Z,28.5,0.0,0.0,0.0
2026-08-17T16:23:45Z,2026-08-19T15:00:00Z,46.6,0.06,0.0,0.06
2026-08-17T22:31:28Z,2026-08-19T15:00:00Z,40.5,0.01,0.0,0.01
2026-08-18T04:30:05Z,2026-08-19T15:00:00Z,34.5,0.23,0.0,0.23
2026-08-18T10:14:55Z,2026-08-19T15:00:00Z,28.8,0.0,0.0,0.0
2026-08-18T04:30:05Z,2026-08-20T03:00:00Z,46.5,4.56,4.0,0.56
2026-08-18T10:14:55Z,2026-08-20T03:00:00Z,40.8,8.97,4.0,4.97
2026-08-18T16:27:50Z,2026-08-20T03:00:00Z,34.5,4.85,4.0,0.85
2026-08-18T22:31:39Z,2026-08-20T03:00:00Z,28.5,2.64,4.0,-1.36
2026-08-18T16:27:50Z,2026-08-20T15:00:00Z,46.5,0.89,1.0,-0.11
2026-08-18T22:31:39Z,2026-08-20T15:00:00Z,40.5,5.6,1.0,4.6
2026-08-19T04:31:14Z,2026-08-20T15:00:00Z,34.5,11.49,1.0,10.49
2026-08-19T10:14:48Z,2026-08-20T15:00:00Z,28.8,0.92,1.0,-0.08
