# Архангельск / Температура / 5-10 дней / JMA (Япония)
# n=87, MAE=3.747, RMSE=4.231, bias=+3.747
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (4.231/3.451)^2 = -0.5032  (RMSE_персистентности по 87 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,24.6,24.1,16.3,0.5,0.5
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,22.7,19.2,16.3,3.5,3.5
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,19.8,16.8,16.3,3.0,3.0
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,17.9,16.3,16.3,1.6,1.6
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,16.9,15.2,16.3,1.7,1.7
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,17.6,14.5,16.3,3.1,3.1
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,18.6,14.7,16.3,3.9,3.9
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,18.8,15.2,16.3,3.6,3.6
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,18.4,11.9,16.3,6.5,6.5
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,17.0,10.7,16.3,6.3,6.3
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,24.6,24.1,16.3,0.5,0.5
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,22.7,19.2,16.3,3.5,3.5
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,19.8,16.8,16.3,3.0,3.0
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,17.9,16.3,16.3,1.6,1.6
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,16.9,15.2,16.3,1.7,1.7
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,17.6,14.5,16.3,3.1,3.1
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,18.6,14.7,16.3,3.9,3.9
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,18.8,15.2,16.3,3.6,3.6
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,18.4,11.9,16.3,6.5,6.5
2026-08-06T09:59:18Z,2026-08-12T15:00:00Z,149.0,17.0,10.7,16.3,6.3,6.3
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,24.6,24.1,16.3,0.5,0.5
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,22.7,19.2,16.3,3.5,3.5
