# Архангельск / Осадки / 1-2 дня / Apple Погода
# n=86, порог дождя = 0.2 мм
# POD=0.98, FAR=0.07547169811320754, CSI=0.9074074074074074, MAE=2.337 мм, bias=-0.048 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,7.78,3.0,4.78
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,7.78,3.0,4.78
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,5.39,0.4,4.99
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,5.39,0.4,4.99
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,6.5,0.4,6.1
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,1.01,7.0,-5.99
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,2.22,7.0,-4.78
2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,2.3,7.0,-4.7
2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,4.07,7.0,-2.93
2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,4.07,7.0,-2.93
2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,7.14,4.0,3.14
2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,6.77,4.0,2.77
2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,7.51,4.0,3.51
2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,7.51,4.0,3.51
2026-08-07T16:51:54Z,2026-08-09T03:00:00Z,34.1,6.08,4.0,2.08
2026-08-07T22:45:57Z,2026-08-09T03:00:00Z,28.2,4.97,4.0,0.97
2026-08-07T23:19:23Z,2026-08-09T03:00:00Z,27.7,5.04,4.0,1.04
2026-08-07T16:51:54Z,2026-08-09T15:00:00Z,46.1,1.84,0.6,1.24
2026-08-07T22:45:57Z,2026-08-09T15:00:00Z,40.2,1.43,0.6,0.83
2026-08-07T23:19:23Z,2026-08-09T15:00:00Z,39.7,1.57,0.6,0.97
2026-08-08T04:50:53Z,2026-08-09T15:00:00Z,34.2,1.9,0.6,1.3
2026-08-08T10:18:13Z,2026-08-09T15:00:00Z,28.7,3.36,0.6,2.76
2026-08-08T04:50:53Z,2026-08-10T03:00:00Z,46.2,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-10T03:00:00Z,40.7,0.03,0.0,0.03
2026-08-08T22:37:20Z,2026-08-10T03:00:00Z,28.4,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-10T15:00:00Z,40.4,0.05,0.0,0.05
2026-08-09T04:59:03Z,2026-08-10T15:00:00Z,34.0,0.04,0.0,0.04
2026-08-09T10:19:29Z,2026-08-10T15:00:00Z,28.7,0.01,0.0,0.01
2026-08-09T12:41:38Z,2026-08-10T15:00:00Z,26.3,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T15:00:00Z,26.2,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T15:00:00Z,26.2,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-11T03:00:00Z,46.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-11T03:00:00Z,40.7,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-11T03:00:00Z,38.3,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-11T03:00:00Z,38.2,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-11T03:00:00Z,38.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-11T03:00:00Z,34.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-11T03:00:00Z,28.3,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-11T15:00:00Z,46.5,0.25,0.1,0.15
2026-08-09T22:39:09Z,2026-08-11T15:00:00Z,40.3,0.51,0.1,0.41
2026-08-10T05:20:42Z,2026-08-11T15:00:00Z,33.7,1.75,0.1,1.65
