# Архангельск / Осадки / 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней / Tomorrow.io
# n=97, порог дождя = 0.2 мм
# POD=0.8987341772151899, FAR=0.06578947368421052, CSI=0.8452380952380952, MAE=5.847 мм, bias=-3.332 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
# «Общий» = объединённый пул пар из периодов: 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,error
6-24ч,2026-08-09T12:48:15Z,2026-08-10T03:00:00Z,14.2,0.0,0.0,0.0
6-24ч,2026-08-09T16:31:44Z,2026-08-10T03:00:00Z,10.5,0.0,0.0,0.0
6-24ч,2026-08-09T16:31:44Z,2026-08-10T15:00:00Z,22.5,0.11,0.0,0.11
6-24ч,2026-08-09T22:39:09Z,2026-08-10T15:00:00Z,16.3,0.02,0.0,0.02
6-24ч,2026-08-10T05:20:42Z,2026-08-11T03:00:00Z,21.7,0.0,0.0,0.0
6-24ч,2026-08-10T10:53:28Z,2026-08-11T03:00:00Z,16.1,0.0,0.0,0.0
6-24ч,2026-08-10T16:52:05Z,2026-08-11T03:00:00Z,10.1,0.0,0.0,0.0
6-24ч,2026-08-10T16:52:05Z,2026-08-11T15:00:00Z,22.1,0.46,0.1,0.36
6-24ч,2026-08-10T22:47:13Z,2026-08-11T15:00:00Z,16.2,1.43,0.1,1.33
6-24ч,2026-08-11T05:01:49Z,2026-08-12T03:00:00Z,22.0,9.19,5.0,4.19
6-24ч,2026-08-11T10:38:45Z,2026-08-12T03:00:00Z,16.4,8.03,5.0,3.03
6-24ч,2026-08-12T06:05:22Z,2026-08-13T03:00:00Z,20.9,12.18,5.0,7.18
6-24ч,2026-08-12T10:47:03Z,2026-08-13T03:00:00Z,16.2,9.27,5.0,4.27
6-24ч,2026-08-12T16:54:57Z,2026-08-13T03:00:00Z,10.1,5.46,5.0,0.46
6-24ч,2026-08-12T16:54:57Z,2026-08-13T15:00:00Z,22.1,45.08,31.0,14.08
6-24ч,2026-08-12T22:50:47Z,2026-08-13T15:00:00Z,16.2,28.0,31.0,-3.0
6-24ч,2026-08-13T05:30:08Z,2026-08-14T03:00:00Z,21.5,25.33,24.0,1.33
6-24ч,2026-08-13T10:49:01Z,2026-08-14T03:00:00Z,16.2,30.22,24.0,6.22
6-24ч,2026-08-13T16:36:10Z,2026-08-14T03:00:00Z,10.4,18.34,24.0,-5.66
6-24ч,2026-08-13T16:42:24Z,2026-08-14T03:00:00Z,10.3,17.96,24.0,-6.04
6-24ч,2026-08-13T16:54:22Z,2026-08-14T03:00:00Z,10.1,17.96,24.0,-6.04
6-24ч,2026-08-13T16:36:10Z,2026-08-14T15:00:00Z,22.4,8.09,7.0,1.09
6-24ч,2026-08-13T16:42:24Z,2026-08-14T15:00:00Z,22.3,8.09,7.0,1.09
6-24ч,2026-08-13T16:54:22Z,2026-08-14T15:00:00Z,22.1,8.09,7.0,1.09
6-24ч,2026-08-13T22:52:17Z,2026-08-14T15:00:00Z,16.1,4.92,7.0,-2.08
1-2 дня,2026-08-09T12:48:15Z,2026-08-10T15:00:00Z,26.2,0.11,0.0,0.11
1-2 дня,2026-08-09T12:48:15Z,2026-08-11T03:00:00Z,38.2,0.0,0.0,0.0
1-2 дня,2026-08-09T16:31:44Z,2026-08-11T03:00:00Z,34.5,0.0,0.0,0.0
1-2 дня,2026-08-09T22:39:09Z,2026-08-11T03:00:00Z,28.3,0.0,0.0,0.0
1-2 дня,2026-08-09T16:31:44Z,2026-08-11T15:00:00Z,46.5,0.06,0.1,-0.04
1-2 дня,2026-08-09T22:39:09Z,2026-08-11T15:00:00Z,40.3,0.28,0.1,0.18
1-2 дня,2026-08-10T05:20:42Z,2026-08-11T15:00:00Z,33.7,0.54,0.1,0.44
1-2 дня,2026-08-10T10:53:28Z,2026-08-11T15:00:00Z,28.1,0.51,0.1,0.41
1-2 дня,2026-08-10T05:20:42Z,2026-08-12T03:00:00Z,45.7,12.88,5.0,7.88
1-2 дня,2026-08-10T10:53:28Z,2026-08-12T03:00:00Z,40.1,16.5,5.0,11.5
1-2 дня,2026-08-10T16:52:05Z,2026-08-12T03:00:00Z,34.1,12.13,5.0,7.13
1-2 дня,2026-08-10T22:47:13Z,2026-08-12T03:00:00Z,28.2,17.7,5.0,12.7
1-2 дня,2026-08-10T16:52:05Z,2026-08-12T15:00:00Z,46.1,3.57,4.0,-0.43
1-2 дня,2026-08-10T22:47:13Z,2026-08-12T15:00:00Z,40.2,2.69,4.0,-1.31
1-2 дня,2026-08-11T05:01:49Z,2026-08-12T15:00:00Z,34.0,2.73,4.0,-1.27
1-2 дня,2026-08-11T10:38:45Z,2026-08-12T15:00:00Z,28.4,3.08,4.0,-0.92
1-2 дня,2026-08-11T05:01:49Z,2026-08-13T03:00:00Z,46.0,11.09,5.0,6.09
1-2 дня,2026-08-11T10:38:45Z,2026-08-13T03:00:00Z,40.4,6.64,5.0,1.64
1-2 дня,2026-08-12T06:05:22Z,2026-08-13T15:00:00Z,32.9,28.75,31.0,-2.25
1-2 дня,2026-08-12T10:47:03Z,2026-08-13T15:00:00Z,28.2,40.91,31.0,9.91
1-2 дня,2026-08-12T06:05:22Z,2026-08-14T03:00:00Z,44.9,21.33,24.0,-2.67
1-2 дня,2026-08-12T10:47:03Z,2026-08-14T03:00:00Z,40.2,19.94,24.0,-4.06
1-2 дня,2026-08-12T16:54:57Z,2026-08-14T03:00:00Z,34.1,19.15,24.0,-4.85
1-2 дня,2026-08-12T22:50:47Z,2026-08-14T03:00:00Z,28.2,27.6,24.0,3.6
1-2 дня,2026-08-12T16:54:57Z,2026-08-14T15:00:00Z,46.1,5.81,7.0,-1.19
1-2 дня,2026-08-12T22:50:47Z,2026-08-14T15:00:00Z,40.2,6.8,7.0,-0.2
1-2 дня,2026-08-13T05:30:08Z,2026-08-14T15:00:00Z,33.5,7.6,7.0,0.6
1-2 дня,2026-08-13T10:49:01Z,2026-08-14T15:00:00Z,28.2,8.24,7.0,1.24
2-3 дня,2026-08-09T12:48:15Z,2026-08-11T15:00:00Z,50.2,0.06,0.1,-0.04
2-3 дня,2026-08-09T12:48:15Z,2026-08-12T03:00:00Z,62.2,1.4,5.0,-3.6
2-3 дня,2026-08-09T16:31:44Z,2026-08-12T03:00:00Z,58.5,1.4,5.0,-3.6
2-3 дня,2026-08-09T22:39:09Z,2026-08-12T03:00:00Z,52.3,9.65,5.0,4.65
2-3 дня,2026-08-09T16:31:44Z,2026-08-12T15:00:00Z,70.5,0.75,4.0,-3.25
2-3 дня,2026-08-09T22:39:09Z,2026-08-12T15:00:00Z,64.3,1.91,4.0,-2.09
2-3 дня,2026-08-10T05:20:42Z,2026-08-12T15:00:00Z,57.7,2.97,4.0,-1.03
2-3 дня,2026-08-10T10:53:28Z,2026-08-12T15:00:00Z,52.1,1.42,4.0,-2.58
2-3 дня,2026-08-10T05:20:42Z,2026-08-13T03:00:00Z,69.7,8.92,5.0,3.92
2-3 дня,2026-08-10T10:53:28Z,2026-08-13T03:00:00Z,64.1,7.41,5.0,2.41
2-3 дня,2026-08-10T16:52:05Z,2026-08-13T03:00:00Z,58.1,1.14,5.0,-3.86
2-3 дня,2026-08-10T22:47:13Z,2026-08-13T03:00:00Z,52.2,6.06,5.0,1.06
2-3 дня,2026-08-10T16:52:05Z,2026-08-13T15:00:00Z,70.1,22.91,31.0,-8.09
2-3 дня,2026-08-10T22:47:13Z,2026-08-13T15:00:00Z,64.2,21.35,31.0,-9.65
2-3 дня,2026-08-11T05:01:49Z,2026-08-13T15:00:00Z,58.0,25.32,31.0,-5.68
2-3 дня,2026-08-11T10:38:45Z,2026-08-13T15:00:00Z,52.4,28.28,31.0,-2.72
2-3 дня,2026-08-11T05:01:49Z,2026-08-14T03:00:00Z,70.0,10.79,24.0,-13.21
2-3 дня,2026-08-11T10:38:45Z,2026-08-14T03:00:00Z,64.4,5.15,24.0,-18.85
2-3 дня,2026-08-12T06:05:22Z,2026-08-14T15:00:00Z,56.9,4.33,7.0,-2.67
2-3 дня,2026-08-12T10:47:03Z,2026-08-14T15:00:00Z,52.2,3.81,7.0,-3.19
3-5 дней,2026-08-09T12:48:15Z,2026-08-12T15:00:00Z,74.2,0.75,4.0,-3.25
3-5 дней,2026-08-09T12:48:15Z,2026-08-13T03:00:00Z,86.2,5.33,5.0,0.33
3-5 дней,2026-08-09T16:31:44Z,2026-08-13T03:00:00Z,82.5,5.33,5.0,0.33
3-5 дней,2026-08-09T22:39:09Z,2026-08-13T03:00:00Z,76.3,2.99,5.0,-2.01
3-5 дней,2026-08-09T12:48:15Z,2026-08-13T15:00:00Z,98.2,3.45,31.0,-27.55
3-5 дней,2026-08-09T16:31:44Z,2026-08-13T15:00:00Z,94.5,3.45,31.0,-27.55
3-5 дней,2026-08-09T22:39:09Z,2026-08-13T15:00:00Z,88.3,6.16,31.0,-24.84
