# Архангельск / Ветер / 5-10 дней / ICON (Германия)
# n=43, MAE=1.252, RMSE=1.629, bias=-0.861
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.629/1.347)^2 = -0.4622  (RMSE_персистентности по 43 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,2.22,4.0,2.0,-1.78,1.78
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,0.8,4.0,2.0,-3.2,3.2
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,0.58,2.0,2.0,-1.42,1.42
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,0.91,1.0,2.0,-0.09,0.09
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,1.3,1.0,2.0,0.3,0.3
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,1.7,1.0,2.0,0.7,0.7
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,2.22,4.0,2.0,-1.78,1.78
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,0.8,4.0,2.0,-3.2,3.2
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,0.58,2.0,2.0,-1.42,1.42
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,0.91,1.0,2.0,-0.09,0.09
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,1.3,1.0,2.0,0.3,0.3
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,1.7,1.0,2.0,0.7,0.7
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,2.22,4.0,2.0,-1.78,1.78
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,0.8,4.0,2.0,-3.2,3.2
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,0.58,2.0,2.0,-1.42,1.42
2026-08-06T10:08:26Z,2026-08-11T21:00:00Z,130.9,0.91,1.0,2.0,-0.09,0.09
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,1.3,1.0,2.0,0.3,0.3
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,1.7,1.0,2.0,0.7,0.7
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,2.22,4.0,2.0,-1.78,1.78
2026-08-06T10:47:54Z,2026-08-11T15:00:00Z,124.2,0.8,4.0,2.0,-3.2,3.2
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,0.58,2.0,2.0,-1.42,1.42
2026-08-06T10:47:54Z,2026-08-11T21:00:00Z,130.2,0.91,1.0,2.0,-0.09,0.09
2026-08-06T10:47:54Z,2026-08-12T00:00:00Z,133.2,1.3,1.0,2.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-12T03:00:00Z,136.2,1.7,1.0,2.0,0.7,0.7
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,2.22,4.0,2.0,-1.78,1.78
2026-08-06T11:30:42Z,2026-08-11T15:00:00Z,123.5,0.8,4.0,2.0,-3.2,3.2
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,0.58,2.0,2.0,-1.42,1.42
2026-08-06T11:30:42Z,2026-08-11T21:00:00Z,129.5,0.91,1.0,2.0,-0.09,0.09
2026-08-06T11:30:42Z,2026-08-12T00:00:00Z,132.5,1.3,1.0,2.0,0.3,0.3
2026-08-06T11:30:42Z,2026-08-12T03:00:00Z,135.5,1.7,1.0,2.0,0.7,0.7
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,2.22,4.0,2.0,-1.78,1.78
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,0.8,4.0,2.0,-3.2,3.2
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,0.58,2.0,2.0,-1.42,1.42
2026-08-06T11:36:01Z,2026-08-11T21:00:00Z,129.4,0.91,1.0,2.0,-0.09,0.09
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,1.3,1.0,2.0,0.3,0.3
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,1.7,1.0,2.0,0.7,0.7
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,2.22,4.0,2.0,-1.78,1.78
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,0.8,4.0,2.0,-3.2,3.2
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,0.58,2.0,2.0,-1.42,1.42
2026-08-06T11:44:08Z,2026-08-11T21:00:00Z,129.3,0.91,1.0,2.0,-0.09,0.09
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,1.3,1.0,2.0,0.3,0.3
2026-08-06T11:44:08Z,2026-08-12T03:00:00Z,135.3,1.7,1.0,2.0,0.7,0.7
2026-08-07T01:31:32Z,2026-08-12T03:00:00Z,121.5,2.4,1.0,2.0,1.4,1.4
