# Архангельск / Температура / 0-6ч / Tomorrow.io
# n=60, MAE=0.878, RMSE=1.159, bias=+0.042
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.159/3.059)^2 = 0.8564  (RMSE_персистентности по 60 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,18.49,19.1,16.3,-0.61,0.61
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,17.59,18.2,16.3,-0.61,0.61
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,13.65,14.2,13.6,-0.55,0.55
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,14.3,14.3,13.6,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,14.3,14.3,14.2,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,19.59,16.9,14.2,2.69,2.69
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,19.45,16.9,14.3,2.55,2.55
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,19.74,20.5,14.3,-0.76,0.76
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,19.45,16.9,14.3,2.55,2.55
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,19.74,20.5,14.3,-0.76,0.76
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,19.74,20.5,16.9,-0.76,0.76
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,18.62,15.6,16.9,3.02,3.02
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,15.43,14.6,15.6,0.83,0.83
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,13.37,13.5,15.6,-0.13,0.13
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,12.23,12.5,13.5,-0.27,0.27
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,13.37,13.6,13.5,-0.23,0.23
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,12.23,12.5,13.5,-0.27,0.27
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,13.37,13.6,13.5,-0.23,0.23
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,15.81,15.4,13.6,0.41,0.41
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,14.7,15.0,13.6,-0.3,0.3
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,15.73,15.4,15.0,0.33,0.33
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,16.23,15.5,15.0,0.73,0.73
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,12.13,13.1,13.6,-0.97,0.97
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,12.4,11.9,13.6,0.5,0.5
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,14.91,15.2,11.9,-0.29,0.29
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,16.75,16.5,11.9,0.25,0.25
2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,14.92,16.7,16.5,-1.78,1.78
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,16.25,17.0,16.5,-0.75,0.75
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,16.11,17.0,16.7,-0.89,0.89
