# Архангельск / Ветер / 6-24ч / Apple Погода
# n=510, MAE=1.327, RMSE=1.577, bias=+1.284
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.577/1.256)^2 = -0.5773  (RMSE_персистентности по 510 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,1.272,1.0,1.0,0.272,0.272
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,2.094,1.0,1.0,1.094,1.094
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,3.225,1.0,1.0,2.225,2.225
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,3.689,3.0,1.0,0.689,0.689
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,2.528,3.0,1.0,-0.472,0.472
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,3.883,1.0,1.0,2.883,2.883
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,1.272,1.0,1.0,0.272,0.272
2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,2.094,1.0,1.0,1.094,1.094
2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,3.225,1.0,1.0,2.225,2.225
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,3.689,3.0,1.0,0.689,0.689
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,2.528,3.0,1.0,-0.472,0.472
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,3.883,1.0,1.0,2.883,2.883
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,1.272,1.0,1.0,0.272,0.272
2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,2.094,1.0,1.0,1.094,1.094
2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,3.225,1.0,1.0,2.225,2.225
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,3.689,3.0,1.0,0.689,0.689
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,2.528,3.0,1.0,-0.472,0.472
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,3.883,1.0,1.0,2.883,2.883
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,4.308,1.0,1.0,3.308,3.308
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,3.811,1.0,1.0,2.811,2.811
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,1.917,1.0,1.0,0.917,0.917
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,1.178,1.0,1.0,0.178,0.178
2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,1.283,1.0,1.0,0.283,0.283
2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,1.722,1.0,1.0,0.722,0.722
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,3.686,1.0,3.0,2.686,2.686
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,1.808,1.0,3.0,0.808,0.808
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,1.061,1.0,3.0,0.061,0.061
