# Архангельск / Температура / Общий (среднее по: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня) / ARPEGE (Франция)
# среднее skill = 0.5558, всего пар = 317
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,18.8,19.1,18.2,-0.3,0.3
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,18.3,18.2,18.0,0.1,0.1
0-6ч,2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,18.8,19.1,18.2,-0.3,0.3
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,18.3,18.2,18.0,0.1,0.1
0-6ч,2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,18.8,19.1,18.2,-0.3,0.3
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,18.3,18.2,18.0,0.1,0.1
0-6ч,2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,19.1,19.1,18.2,0.0,0.0
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,18.6,18.2,18.0,0.4,0.4
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,19.1,19.1,18.2,0.0,0.0
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,18.6,18.2,18.0,0.4,0.4
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,19.1,19.1,18.2,0.0,0.0
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,18.6,18.2,18.0,0.4,0.4
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,19.1,19.1,18.2,0.0,0.0
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,18.6,18.2,18.0,0.4,0.4
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,13.4,14.2,13.4,-0.8,0.8
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,14.0,14.3,17.0,-0.3,0.3
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,14.1,14.3,17.0,-0.2,0.2
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,16.4,16.9,16.3,-0.5,0.5
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,16.4,16.9,16.3,-0.5,0.5
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,19.1,20.5,19.1,-1.4,1.4
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,16.4,16.9,16.3,-0.5,0.5
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,19.1,20.5,19.1,-1.4,1.4
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,19.2,20.5,19.1,-1.3,1.3
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,18.5,15.6,18.2,2.9,2.9
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,16.3,14.6,15.5,1.7,1.7
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,15.0,13.5,13.9,1.5,1.5
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,13.3,12.5,13.6,0.8,0.8
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,13.7,13.6,14.2,0.1,0.1
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,13.3,12.5,13.6,0.8,0.8
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,13.7,13.6,14.2,0.1,0.1
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,13.7,15.4,14.3,-1.7,1.7
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,14.6,15.0,16.9,-0.4,0.4
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,14.6,15.4,20.5,-0.8,0.8
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,13.9,15.5,15.6,-1.6,1.6
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,13.2,13.1,12.5,0.1,0.1
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,12.7,11.9,13.6,0.8,0.8
0-6ч,2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,14.2,15.2,15.4,-1.0,1.0
0-6ч,2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,15.8,16.5,15.0,-0.7,0.7
6-24ч,2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,16.3,15.5,13.2,0.8,0.8
6-24ч,2026-08-06T09:50:07Z,2026-08-06T21:00:00Z,11.2,14.8,13.9,13.3,0.9,0.9
6-24ч,2026-08-06T09:50:07Z,2026-08-07T00:00:00Z,14.2,14.0,13.6,10.5,0.4,0.4
6-24ч,2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,13.7,14.2,13.4,-0.5,0.5
6-24ч,2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,13.7,14.3,17.0,-0.6,0.6
6-24ч,2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,15.8,16.9,16.3,-1.1,1.1
6-24ч,2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,16.3,15.5,13.2,0.8,0.8
6-24ч,2026-08-06T09:59:18Z,2026-08-06T21:00:00Z,11.0,14.8,13.9,13.3,0.9,0.9
