# Архангельск / Ветер / 2-3 дня / GFS (США)
# n=63, MAE=1.043, RMSE=1.197, bias=-0.679
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.197/1.054)^2 = -0.2905  (RMSE_персистентности по 63 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,2.92,2.0,1.0,0.92,0.92
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,1.61,1.0,1.0,0.61,0.61
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,1.06,1.0,1.0,0.06,0.06
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,0.58,2.0,1.0,-1.42,1.42
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,1.08,2.0,1.0,-0.92,0.92
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,1.0,2.0,1.0,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,0.41,2.0,1.0,-1.59,1.59
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,1.0,3.0,1.0,-2.0,2.0
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,2.92,2.0,1.0,0.92,0.92
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,1.61,1.0,1.0,0.61,0.61
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,1.06,1.0,1.0,0.06,0.06
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,0.58,2.0,1.0,-1.42,1.42
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,1.08,2.0,1.0,-0.92,0.92
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,1.0,2.0,1.0,-1.0,1.0
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,0.41,2.0,1.0,-1.59,1.59
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,1.0,3.0,1.0,-2.0,2.0
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,2.92,2.0,1.0,0.92,0.92
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,1.61,1.0,1.0,0.61,0.61
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,1.06,1.0,1.0,0.06,0.06
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,0.58,2.0,1.0,-1.42,1.42
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,1.08,2.0,1.0,-0.92,0.92
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,1.0,2.0,1.0,-1.0,1.0
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,0.41,2.0,1.0,-1.59,1.59
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,1.0,3.0,1.0,-2.0,2.0
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,2.92,2.0,1.0,0.92,0.92
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,1.61,1.0,1.0,0.61,0.61
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,1.06,1.0,1.0,0.06,0.06
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,0.58,2.0,1.0,-1.42,1.42
