# Архангельск / Температура / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней / OpenWeatherMap
# n=526, MAE=1.584, RMSE=1.914, bias=-1.290
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.914/2.906)^2 = 0.5663  (RMSE_персистентности по 526 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,17.43,19.1,18.2,-1.67,1.67
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,17.55,18.2,18.0,-0.65,0.65
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,17.43,19.1,18.2,-1.67,1.67
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,17.55,18.2,18.0,-0.65,0.65
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,17.43,19.1,18.2,-1.67,1.67
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,17.55,18.2,18.0,-0.65,0.65
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,13.15,14.2,13.4,-1.05,1.05
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,13.39,14.3,17.0,-0.91,0.91
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,13.55,14.3,17.0,-0.75,0.75
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,14.35,16.9,16.3,-2.55,2.55
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,14.35,16.9,16.3,-2.55,2.55
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,16.7,20.5,19.1,-3.8,3.8
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,14.35,16.9,16.3,-2.55,2.55
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,16.53,20.5,19.1,-3.97,3.97
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,18.02,20.5,19.1,-2.48,2.48
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,18.11,15.6,18.2,2.51,2.51
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,14.31,14.6,15.5,-0.29,0.29
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,13.59,13.5,13.9,0.09,0.09
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,10.76,12.5,13.6,-1.74,1.74
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,11.13,13.6,14.2,-2.47,2.47
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,10.76,12.5,13.6,-1.74,1.74
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,11.13,13.6,14.2,-2.47,2.47
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,11.68,15.4,14.3,-3.72,3.72
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,11.98,15.0,16.9,-3.02,3.02
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,13.45,15.4,20.5,-1.95,1.95
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,13.27,15.5,15.6,-2.23,2.23
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,11.6,13.1,12.5,-1.5,1.5
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,11.61,11.9,13.6,-0.29,0.29
0-6ч,2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,14.16,15.2,15.4,-1.04,1.04
0-6ч,2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,14.63,16.5,15.0,-1.87,1.87
0-6ч,2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,14.64,16.7,15.4,-2.06,2.06
0-6ч,2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,14.38,17.0,15.5,-2.62,2.62
0-6ч,2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,14.88,17.0,15.5,-2.12,2.12
0-6ч,2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,12.19,13.7,14.4,-1.51,1.51
0-6ч,2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,14.88,17.0,15.5,-2.12,2.12
0-6ч,2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,12.19,13.7,14.4,-1.51,1.51
0-6ч,2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,14.88,17.0,15.5,-2.12,2.12
0-6ч,2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,12.19,13.7,14.4,-1.51,1.51
0-6ч,2026-08-09T16:31:44Z,2026-08-09T18:00:00Z,1.5,11.31,13.7,14.4,-2.39,2.39
0-6ч,2026-08-09T16:31:44Z,2026-08-09T21:00:00Z,4.5,10.68,10.4,13.6,0.28,0.28
0-6ч,2026-08-09T22:39:09Z,2026-08-10T00:00:00Z,1.3,9.46,10.8,13.1,-1.34,1.34
0-6ч,2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,10.2,12.6,11.9,-2.4,2.4
0-6ч,2026-08-10T05:20:42Z,2026-08-10T06:00:00Z,0.7,16.3,16.9,15.2,-0.6,0.6
0-6ч,2026-08-10T05:20:42Z,2026-08-10T09:00:00Z,3.7,17.95,20.6,16.5,-2.65,2.65
0-6ч,2026-08-10T10:53:28Z,2026-08-10T12:00:00Z,1.1,22.69,22.3,16.7,0.39,0.39
0-6ч,2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,22.19,21.8,17.0,0.39,0.39
0-6ч,2026-08-10T16:52:05Z,2026-08-10T18:00:00Z,1.1,15.21,18.4,13.7,-3.19,3.19
0-6ч,2026-08-10T16:52:05Z,2026-08-10T21:00:00Z,4.1,14.97,15.0,10.4,-0.03,0.03
0-6ч,2026-08-10T22:47:13Z,2026-08-11T00:00:00Z,1.2,13.29,15.3,10.8,-2.01,2.01
0-6ч,2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,13.79,15.0,12.6,-1.21,1.21
6-24ч,2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,15.63,15.5,13.2,0.13,0.13
6-24ч,2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,13.07,13.9,13.3,-0.83,0.83
6-24ч,2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,12.89,13.6,10.5,-0.71,0.71
6-24ч,2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,13.41,14.2,13.4,-0.79,0.79
6-24ч,2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,14.71,14.3,17.0,0.41,0.41
6-24ч,2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,18.03,16.9,16.3,1.13,1.13
6-24ч,2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,15.63,15.5,13.2,0.13,0.13
6-24ч,2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,13.07,13.9,13.3,-0.83,0.83
6-24ч,2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,12.89,13.6,10.5,-0.71,0.71
6-24ч,2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,13.41,14.2,13.4,-0.79,0.79
6-24ч,2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,14.71,14.3,17.0,0.41,0.41
6-24ч,2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,18.03,16.9,16.3,1.13,1.13
6-24ч,2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,15.63,15.5,13.2,0.13,0.13
6-24ч,2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,13.07,13.9,13.3,-0.83,0.83
6-24ч,2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,12.89,13.6,10.5,-0.71,0.71
6-24ч,2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,13.41,14.2,13.4,-0.79,0.79
6-24ч,2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,14.71,14.3,17.0,0.41,0.41
6-24ч,2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,18.03,16.9,16.3,1.13,1.13
6-24ч,2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,15.02,16.9,16.3,-1.88,1.88
6-24ч,2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,18.28,20.5,19.1,-2.22,2.22
6-24ч,2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,17.62,15.6,18.2,2.02,2.02
6-24ч,2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,14.33,14.6,15.5,-0.27,0.27
6-24ч,2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,12.43,13.5,13.9,-1.07,1.07
6-24ч,2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,11.12,12.5,13.6,-1.38,1.38
6-24ч,2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,16.7,20.5,19.1,-3.8,3.8
6-24ч,2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,17.62,15.6,18.2,2.02,2.02
6-24ч,2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,14.33,14.6,15.5,-0.27,0.27
6-24ч,2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,12.43,13.5,13.9,-1.07,1.07
6-24ч,2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,11.12,12.5,13.6,-1.38,1.38
6-24ч,2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,12.36,13.6,14.2,-1.24,1.24
6-24ч,2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,17.62,15.6,18.2,2.02,2.02
6-24ч,2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,14.33,14.6,15.5,-0.27,0.27
6-24ч,2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,12.43,13.5,13.9,-1.07,1.07
6-24ч,2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,11.12,12.5,13.6,-1.38,1.38
6-24ч,2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,12.36,13.6,14.2,-1.24,1.24
6-24ч,2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,13.41,15.4,14.3,-1.99,1.99
6-24ч,2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,18.3,15.6,18.2,2.7,2.7
6-24ч,2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,14.22,14.6,15.5,-0.38,0.38
6-24ч,2026-08-07T07:13:52Z,2026-08-07T21:00:00Z,13.8,12.23,13.5,13.9,-1.27,1.27
6-24ч,2026-08-07T07:13:52Z,2026-08-08T00:00:00Z,16.8,10.9,12.5,13.6,-1.6,1.6
6-24ч,2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,12.33,13.6,14.2,-1.27,1.27
6-24ч,2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,13.44,15.4,14.3,-1.96,1.96
6-24ч,2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,15.49,14.6,15.5,0.89,0.89
6-24ч,2026-08-07T10:39:14Z,2026-08-07T21:00:00Z,10.3,12.23,13.5,13.9,-1.27,1.27
6-24ч,2026-08-07T10:39:14Z,2026-08-08T00:00:00Z,13.3,10.9,12.5,13.6,-1.6,1.6
6-24ч,2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,12.33,13.6,14.2,-1.27,1.27
6-24ч,2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,13.44,15.4,14.3,-1.96,1.96
6-24ч,2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,13.58,15.0,16.9,-1.42,1.42
6-24ч,2026-08-07T16:51:54Z,2026-08-08T00:00:00Z,7.1,12.13,12.5,13.6,-0.37,0.37
6-24ч,2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,12.12,13.6,14.2,-1.48,1.48
6-24ч,2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,13.75,15.4,14.3,-1.65,1.65
6-24ч,2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,14.13,15.0,16.9,-0.87,0.87
6-24ч,2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,14.62,15.4,20.5,-0.78,0.78
6-24ч,2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,13.37,15.5,15.6,-2.13,2.13
6-24ч,2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,11.2,15.4,14.3,-4.2,4.2
6-24ч,2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,12.71,15.0,16.9,-2.29,2.29
6-24ч,2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,14.74,15.4,20.5,-0.66,0.66
6-24ч,2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,13.93,15.5,15.6,-1.57,1.57
6-24ч,2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,12.44,14.4,14.6,-1.96,1.96
6-24ч,2026-08-07T22:45:57Z,2026-08-08T21:00:00Z,22.2,11.24,13.6,13.5,-2.36,2.36
6-24ч,2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,11.2,15.4,14.3,-4.2,4.2
6-24ч,2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,12.71,15.0,16.9,-2.29,2.29
6-24ч,2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,14.74,15.4,20.5,-0.66,0.66
6-24ч,2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,13.93,15.5,15.6,-1.57,1.57
6-24ч,2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,12.44,14.4,14.6,-1.96,1.96
6-24ч,2026-08-07T23:19:23Z,2026-08-08T21:00:00Z,21.7,11.24,13.6,13.5,-2.36,2.36
6-24ч,2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,12.95,15.4,20.5,-2.45,2.45
6-24ч,2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,13.22,15.5,15.6,-2.28,2.28
6-24ч,2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,12.28,14.4,14.6,-2.12,2.12
6-24ч,2026-08-08T04:50:53Z,2026-08-08T21:00:00Z,16.2,11.54,13.6,13.5,-2.06,2.06
6-24ч,2026-08-08T04:50:53Z,2026-08-09T00:00:00Z,19.2,10.92,13.1,12.5,-2.18,2.18
6-24ч,2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,10.93,11.9,13.6,-0.97,0.97
6-24ч,2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,12.88,14.4,14.6,-1.52,1.52
6-24ч,2026-08-08T10:18:13Z,2026-08-08T21:00:00Z,10.7,12.34,13.6,13.5,-1.26,1.26
6-24ч,2026-08-08T10:18:13Z,2026-08-09T00:00:00Z,13.7,11.46,13.1,12.5,-1.64,1.64
6-24ч,2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,11.46,11.9,13.6,-0.44,0.44
6-24ч,2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,13.06,15.2,15.4,-2.14,2.14
6-24ч,2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,14.45,16.5,15.0,-2.05,2.05
6-24ч,2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,12.6,15.2,15.4,-2.6,2.6
6-24ч,2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,14.33,16.5,15.0,-2.17,2.17
6-24ч,2026-08-08T22:37:20Z,2026-08-09T12:00:00Z,13.4,15.27,16.7,15.4,-1.43,1.43
