# Архангельск / Облачность / 1-2 дня / GEM (Канада)
# n=324, MAE=35.855, RMSE=48.694, bias=-34.213
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (48.694/22.695)^2 = -3.6037  (RMSE_персистентности по 324 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,20.0,87.5,87.5,-67.5,67.5
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,88.0,87.5,87.5,0.5,0.5
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,76.0,87.5,87.5,-11.5,11.5
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,92.0,100.0,87.5,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,76.0,100.0,87.5,-24.0,24.0
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,92.0,100.0,87.5,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,44.0,100.0,87.5,-56.0,56.0
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,20.0,87.5,87.5,-67.5,67.5
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,88.0,87.5,87.5,0.5,0.5
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,76.0,87.5,87.5,-11.5,11.5
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,92.0,100.0,87.5,-8.0,8.0
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,76.0,100.0,87.5,-24.0,24.0
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,92.0,100.0,87.5,-8.0,8.0
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,44.0,100.0,87.5,-56.0,56.0
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,20.0,87.5,87.5,-67.5,67.5
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,88.0,87.5,87.5,0.5,0.5
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,76.0,87.5,87.5,-11.5,11.5
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,92.0,100.0,87.5,-8.0,8.0
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,76.0,100.0,87.5,-24.0,24.0
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,92.0,100.0,87.5,-8.0,8.0
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,44.0,100.0,87.5,-56.0,56.0
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,20.0,87.5,87.5,-67.5,67.5
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,88.0,87.5,87.5,0.5,0.5
2026-08-06T10:47:54Z,2026-08-07T21:00:00Z,34.2,76.0,87.5,87.5,-11.5,11.5
2026-08-06T10:47:54Z,2026-08-08T00:00:00Z,37.2,92.0,100.0,87.5,-8.0,8.0
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,76.0,100.0,87.5,-24.0,24.0
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,92.0,100.0,87.5,-8.0,8.0
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,44.0,100.0,87.5,-56.0,56.0
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,20.0,87.5,87.5,-67.5,67.5
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,88.0,87.5,87.5,0.5,0.5
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,92.0,100.0,87.5,-8.0,8.0
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,76.0,100.0,87.5,-24.0,24.0
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,92.0,100.0,87.5,-8.0,8.0
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,44.0,100.0,87.5,-56.0,56.0
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,20.0,87.5,87.5,-67.5,67.5
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,88.0,87.5,87.5,0.5,0.5
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,92.0,100.0,87.5,-8.0,8.0
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,76.0,100.0,87.5,-24.0,24.0
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,92.0,100.0,87.5,-8.0,8.0
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,44.0,100.0,87.5,-56.0,56.0
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,20.0,87.5,87.5,-67.5,67.5
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,88.0,87.5,87.5,0.5,0.5
2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,92.0,100.0,87.5,-8.0,8.0
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,76.0,100.0,87.5,-24.0,24.0
2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,92.0,100.0,87.5,-8.0,8.0
2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,44.0,100.0,87.5,-56.0,56.0
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,92.0,100.0,100.0,-8.0,8.0
2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,76.0,100.0,100.0,-24.0,24.0
2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,88.0,100.0,100.0,-12.0,12.0
2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,20.0,100.0,100.0,-80.0,80.0
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,20.0,87.5,100.0,-67.5,67.5
2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,48.0,100.0,100.0,-52.0,52.0
2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,88.0,87.5,100.0,0.5,0.5
2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,92.0,87.5,100.0,4.5,4.5
2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,76.0,100.0,100.0,-24.0,24.0
