# Архангельск / Облачность / 1-2 дня / GEM (Канада)
# n=142, MAE=27.380, RMSE=36.627, bias=-25.479
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (36.627/15.201)^2 = -4.8057  (RMSE_персистентности по 142 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,20.0,87.5,87.5,-67.5,67.5
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,88.0,87.5,100.0,0.5,0.5
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,76.0,87.5,100.0,-11.5,11.5
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,76.0,100.0,100.0,-24.0,24.0
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,44.0,100.0,100.0,-56.0,56.0
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,20.0,87.5,87.5,-67.5,67.5
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,88.0,87.5,100.0,0.5,0.5
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,76.0,87.5,100.0,-11.5,11.5
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,76.0,100.0,100.0,-24.0,24.0
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,44.0,100.0,100.0,-56.0,56.0
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,20.0,87.5,87.5,-67.5,67.5
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,88.0,87.5,100.0,0.5,0.5
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,76.0,87.5,100.0,-11.5,11.5
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,92.0,100.0,100.0,-8.0,8.0
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,76.0,100.0,100.0,-24.0,24.0
