# Архангельск / Ветер / 0-6ч / ARPEGE (Франция)
# n=84, MAE=2.352, RMSE=2.809, bias=+2.290
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.809/0.964)^2 = -7.4954  (RMSE_персистентности по 84 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,2.12,1.0,1.0,1.12,1.12
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,1.52,1.0,1.0,0.52,0.52
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,2.12,1.0,1.0,1.12,1.12
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,1.52,1.0,1.0,0.52,0.52
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,2.12,1.0,1.0,1.12,1.12
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,1.52,1.0,1.0,0.52,0.52
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,2.14,1.0,1.0,1.14,1.14
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.54,1.0,1.0,-0.46,0.46
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,2.14,1.0,1.0,1.14,1.14
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.54,1.0,1.0,-0.46,0.46
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,2.14,1.0,1.0,1.14,1.14
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.54,1.0,1.0,-0.46,0.46
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,2.14,1.0,1.0,1.14,1.14
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.54,1.0,1.0,-0.46,0.46
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,6.07,3.0,1.0,3.07,3.07
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,4.05,3.0,1.0,1.05,1.05
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,4.96,3.0,3.0,1.96,1.96
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,3.57,1.0,3.0,2.57,2.57
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,3.57,1.0,3.0,2.57,2.57
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,3.29,1.0,3.0,2.29,2.29
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,3.57,1.0,3.0,2.57,2.57
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,3.29,1.0,3.0,2.29,2.29
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,3.45,1.0,1.0,2.45,2.45
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,0.81,1.0,1.0,-0.19,0.19
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,2.73,1.0,1.0,1.73,1.73
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,1.53,1.0,1.0,0.53,0.53
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,2.14,1.0,1.0,1.14,1.14
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,0.72,1.0,1.0,-0.28,0.28
