# Архангельск / Ветер / 3-5 дней / Apple Погода
# n=255, MAE=1.604, RMSE=1.784, bias=+1.477
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.784/1.467)^2 = -0.4778  (RMSE_персистентности по 255 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,3.75,2.0,2.0,1.75,1.75
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,2.664,2.0,1.0,0.664,0.664
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,1.369,0.0,1.0,1.369,1.369
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,2.333,1.0,2.0,1.333,1.333
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,3.167,1.0,2.0,2.167,2.167
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,3.711,2.0,2.0,1.711,1.711
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,4.269,3.0,2.0,1.269,1.269
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,4.944,3.0,3.0,1.944,1.944
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,5.364,2.0,2.0,3.364,3.364
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,4.519,2.0,2.0,2.519,2.519
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,3.636,2.0,0.0,1.636,1.636
2026-08-06T11:36:01Z,2026-08-10T21:00:00Z,105.4,3.519,2.0,1.0,1.519,1.519
2026-08-06T11:36:01Z,2026-08-11T00:00:00Z,108.4,3.928,2.0,1.0,1.928,1.928
2026-08-06T11:36:01Z,2026-08-11T03:00:00Z,111.4,3.969,2.0,2.0,1.969,1.969
2026-08-06T11:36:01Z,2026-08-11T06:00:00Z,114.4,3.903,3.0,3.0,0.903,0.903
2026-08-06T11:36:01Z,2026-08-11T09:00:00Z,117.4,4.169,4.0,3.0,0.169,0.169
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,3.75,2.0,2.0,1.75,1.75
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,2.664,2.0,1.0,0.664,0.664
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,1.369,0.0,1.0,1.369,1.369
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,2.333,1.0,2.0,1.333,1.333
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,3.167,1.0,2.0,2.167,2.167
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,3.711,2.0,2.0,1.711,1.711
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,4.269,3.0,2.0,1.269,1.269
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,4.944,3.0,3.0,1.944,1.944
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,5.364,2.0,2.0,3.364,3.364
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,4.519,2.0,2.0,2.519,2.519
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,3.636,2.0,0.0,1.636,1.636
2026-08-06T11:44:08Z,2026-08-10T21:00:00Z,105.3,3.519,2.0,1.0,1.519,1.519
2026-08-06T11:44:08Z,2026-08-11T00:00:00Z,108.3,3.928,2.0,1.0,1.928,1.928
2026-08-06T11:44:08Z,2026-08-11T03:00:00Z,111.3,3.969,2.0,2.0,1.969,1.969
2026-08-06T11:44:08Z,2026-08-11T06:00:00Z,114.3,3.903,3.0,3.0,0.903,0.903
2026-08-06T11:44:08Z,2026-08-11T09:00:00Z,117.3,4.169,4.0,3.0,0.169,0.169
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,3.036,2.0,2.0,1.036,1.036
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,3.483,3.0,2.0,0.483,0.483
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,4.556,3.0,3.0,1.556,1.556
