# Архангельск / Облачность / 0-6ч / ICON (Германия)
# n=38, MAE=11.105, RMSE=12.961, bias=-3.211
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (12.961/38.044)^2 = 0.8839  (RMSE_персистентности по 38 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,76.0,87.5,37.5,-11.5,11.5
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,100.0,87.5,25.0,12.5,12.5
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,76.0,87.5,37.5,-11.5,11.5
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,100.0,87.5,25.0,12.5,12.5
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,76.0,87.5,37.5,-11.5,11.5
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,100.0,87.5,25.0,12.5,12.5
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,76.0,87.5,37.5,-11.5,11.5
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,100.0,87.5,25.0,12.5,12.5
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,76.0,87.5,37.5,-11.5,11.5
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,100.0,87.5,25.0,12.5,12.5
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,76.0,87.5,37.5,-11.5,11.5
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,100.0,87.5,25.0,12.5,12.5
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,76.0,87.5,37.5,-11.5,11.5
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,100.0,87.5,25.0,12.5,12.5
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,25.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,100.0,100.0,62.5,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,100.0,100.0,62.5,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,99.0,100.0,87.5,-1.0,1.0
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,89.0,100.0,87.5,-11.0,11.0
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,75.0,87.5,87.5,-12.5,12.5
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,89.0,100.0,87.5,-11.0,11.0
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,75.0,87.5,87.5,-12.5,12.5
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,57.0,87.5,87.5,-30.5,30.5
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,100.0,87.5,87.5,12.5,12.5
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,100.0,87.5,100.0,12.5,12.5
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,86.0,87.5,100.0,-1.5,1.5
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,88.0,100.0,100.0,-12.0,12.0
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,87.0,100.0,100.0,-13.0,13.0
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,88.0,100.0,100.0,-12.0,12.0
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,87.0,100.0,100.0,-13.0,13.0
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,74.0,100.0,100.0,-26.0,26.0
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,82.0,100.0,100.0,-18.0,18.0
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,88.0,100.0,87.5,-12.0,12.0
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,86.0,87.5,87.5,-1.5,1.5
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,100.0,87.5,100.0,12.5,12.5
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,99.0,100.0,100.0,-1.0,1.0
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,97.0,100.0,100.0,-3.0,3.0
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,100.0,75.0,100.0,25.0,25.0
