# Архангельск / Ветер / 0-6ч / Яндекс.Погода
# n=49, MAE=1.727, RMSE=1.992, bias=+1.673
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.992/1.059)^2 = -2.5349  (RMSE_персистентности по 49 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-13T18:00:00Z,1.4,8.6,4.0,5.0,4.6,4.6
2026-08-13T16:42:24Z,2026-08-13T18:00:00Z,1.3,8.6,4.0,5.0,4.6,4.6
2026-08-13T16:54:22Z,2026-08-13T18:00:00Z,1.1,8.6,4.0,5.0,4.6,4.6
2026-08-14T05:28:14Z,2026-08-14T06:00:00Z,0.5,5.1,3.0,3.0,2.1,2.1
2026-08-14T10:44:54Z,2026-08-14T12:00:00Z,1.3,4.9,3.0,3.0,1.9,1.9
2026-08-14T16:48:33Z,2026-08-14T18:00:00Z,1.2,4.0,3.0,3.0,1.0,1.0
2026-08-15T04:24:15Z,2026-08-15T06:00:00Z,1.6,3.7,2.0,1.0,1.7,1.7
2026-08-15T10:09:15Z,2026-08-15T12:00:00Z,1.8,3.5,2.0,2.0,1.5,1.5
2026-08-15T16:20:39Z,2026-08-15T18:00:00Z,1.7,2.5,2.0,1.0,0.5,0.5
2026-08-16T04:29:41Z,2026-08-16T06:00:00Z,1.5,3.0,2.0,1.0,1.0,1.0
2026-08-16T07:21:44Z,2026-08-16T12:00:00Z,4.6,3.0,1.0,2.0,2.0,2.0
2026-08-16T10:09:47Z,2026-08-16T12:00:00Z,1.8,3.2,1.0,2.0,2.2,2.2
2026-08-16T16:21:00Z,2026-08-16T18:00:00Z,1.6,2.0,1.0,1.0,1.0,1.0
2026-08-17T04:35:30Z,2026-08-17T06:00:00Z,1.4,3.7,2.0,1.0,1.7,1.7
2026-08-17T10:18:11Z,2026-08-17T12:00:00Z,1.7,3.9,3.0,3.0,0.9,0.9
2026-08-17T16:23:45Z,2026-08-17T18:00:00Z,1.6,2.0,1.0,1.0,1.0,1.0
2026-08-18T04:30:05Z,2026-08-18T06:00:00Z,1.5,2.4,1.0,1.0,1.4,1.4
2026-08-18T10:14:55Z,2026-08-18T12:00:00Z,1.8,2.7,2.0,1.0,0.7,0.7
2026-08-18T16:27:50Z,2026-08-18T18:00:00Z,1.5,2.5,1.0,2.0,1.5,1.5
2026-08-19T04:31:14Z,2026-08-19T06:00:00Z,1.5,4.0,3.0,2.0,1.0,1.0
2026-08-19T10:14:48Z,2026-08-19T12:00:00Z,1.8,4.5,3.0,3.0,1.5,1.5
2026-08-19T16:28:17Z,2026-08-19T18:00:00Z,1.5,4.0,3.0,3.0,1.0,1.0
2026-08-20T04:31:56Z,2026-08-20T06:00:00Z,1.5,3.5,2.0,2.0,1.5,1.5
2026-08-20T10:16:10Z,2026-08-20T12:00:00Z,1.7,3.7,5.0,3.0,-1.3,1.3
2026-08-20T16:31:45Z,2026-08-20T18:00:00Z,1.5,4.5,3.0,3.0,1.5,1.5
2026-08-21T04:32:20Z,2026-08-21T06:00:00Z,1.5,4.1,3.0,3.0,1.1,1.1
2026-08-21T10:16:50Z,2026-08-21T12:00:00Z,1.7,4.3,3.0,4.0,1.3,1.3
2026-08-21T16:30:34Z,2026-08-21T18:00:00Z,1.5,3.0,2.0,2.0,1.0,1.0
2026-08-22T04:26:43Z,2026-08-22T06:00:00Z,1.6,3.5,3.0,2.0,0.5,0.5
2026-08-22T10:09:41Z,2026-08-22T12:00:00Z,1.8,3.2,2.0,1.0,1.2,1.2
2026-08-22T16:20:08Z,2026-08-22T18:00:00Z,1.7,1.7,0.0,2.0,1.7,1.7
2026-08-23T04:31:06Z,2026-08-23T06:00:00Z,1.5,3.7,2.0,1.0,1.7,1.7
2026-08-23T10:10:14Z,2026-08-23T12:00:00Z,1.8,4.0,2.0,3.0,2.0,2.0
2026-08-23T16:21:17Z,2026-08-23T18:00:00Z,1.6,3.7,2.0,2.0,1.7,1.7
2026-08-24T04:38:48Z,2026-08-24T06:00:00Z,1.4,3.0,1.0,1.0,2.0,2.0
2026-08-24T10:24:38Z,2026-08-24T12:00:00Z,1.6,2.5,2.0,1.0,0.5,0.5
2026-08-24T16:34:00Z,2026-08-24T18:00:00Z,1.4,2.4,0.0,1.0,2.4,2.4
2026-08-25T04:33:15Z,2026-08-25T06:00:00Z,1.4,4.1,2.0,2.0,2.1,2.1
2026-08-25T10:18:20Z,2026-08-25T12:00:00Z,1.7,4.3,4.0,3.0,0.3,0.3
2026-08-25T16:33:53Z,2026-08-25T18:00:00Z,1.4,3.9,2.0,3.0,1.9,1.9
2026-08-26T04:34:15Z,2026-08-26T06:00:00Z,1.4,3.5,1.0,1.0,2.5,2.5
2026-08-26T10:21:58Z,2026-08-26T12:00:00Z,1.6,3.5,2.0,3.0,1.5,1.5
2026-08-26T16:46:17Z,2026-08-26T18:00:00Z,1.2,2.5,1.0,2.0,1.5,1.5
2026-08-27T03:02:51Z,2026-08-27T06:00:00Z,3.0,5.6,3.0,0.0,2.6,2.6
2026-08-27T14:55:44Z,2026-08-27T18:00:00Z,3.1,4.0,2.0,4.0,2.0,2.0
2026-08-27T20:01:22Z,2026-08-28T00:00:00Z,4.0,3.5,3.0,2.0,0.5,0.5
2026-08-28T00:44:37Z,2026-08-28T06:00:00Z,5.3,6.5,4.0,3.0,2.5,2.5
2026-08-28T06:03:31Z,2026-08-28T12:00:00Z,5.9,6.5,4.0,4.0,2.5,2.5
2026-08-28T15:51:06Z,2026-08-28T18:00:00Z,2.1,3.9,0.0,3.0,3.9,3.9
