# Архангельск / Осадки / 0-6ч / WeatherAPI.com
# n=19, порог дождя = 0.2 мм
# POD=0.7142857142857143, FAR=0.16666666666666666, CSI=0.625, MAE=2.451 мм, bias=-0.969 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.0,0.7,-0.7
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.0,0.7,-0.7
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.0,0.7,-0.7
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.0,0.7,-0.7
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,0.75,3.0,-2.25
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,1.73,7.0,-5.27
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,3.19,0.6,2.59
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,3.19,0.6,2.59
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,3.19,0.6,2.59
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,3.19,0.6,2.59
2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,0.05,0.0,0.05
2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,1.21,0.1,1.11
2026-08-12T10:47:03Z,2026-08-12T15:00:00Z,4.2,2.25,4.0,-1.75
2026-08-13T10:49:01Z,2026-08-13T15:00:00Z,4.2,14.49,31.0,-16.51
2026-08-14T10:44:54Z,2026-08-14T15:00:00Z,4.3,3.2,7.0,-3.8
2026-08-15T10:09:15Z,2026-08-15T15:00:00Z,4.8,0.14,0.0,0.14
2026-08-16T10:09:47Z,2026-08-16T15:00:00Z,4.8,0.29,0.4,-0.11
2026-08-17T10:18:11Z,2026-08-17T15:00:00Z,4.7,2.34,0.0,2.34
2026-08-18T10:14:55Z,2026-08-18T15:00:00Z,4.8,0.08,0.0,0.08
