# Архангельск / Осадки / 0-6ч / WeatherAPI.com
# n=12, порог дождя = 0.2 мм
# POD=0.6, FAR=0.14285714285714285, CSI=0.5454545454545454, MAE=1.820 мм, bias=+0.100 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.0,0.7,-0.7
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.0,0.7,-0.7
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.0,0.7,-0.7
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.0,0.7,-0.7
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,0.75,3.0,-2.25
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,1.73,7.0,-5.27
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,3.19,0.6,2.59
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,3.19,0.6,2.59
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,3.19,0.6,2.59
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,3.19,0.6,2.59
2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,0.05,0.0,0.05
2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,1.21,0.1,1.11
