# Архангельск / Осадки / 3-5 дней / UKMO (Британия)
# n=15, порог дождя = 0.2 мм
# POD=1.0, FAR=0.125, CSI=0.875, MAE=0.360 мм, bias=+0.360 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,1.2,0.6,0.6
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,1.2,0.6,0.6
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,1.2,0.6,0.6
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,1.2,0.6,0.6
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,1.2,0.6,0.6
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,1.2,0.6,0.6
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,1.2,0.6,0.6
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,0.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,0.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,0.0,0.0,0.0
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,1.2,0.0,1.2
