# Архангельск / Осадки / 2-3 дня / GEM (Канада)
# n=62, порог дождя = 0.2 мм
# POD=0.975609756097561, FAR=0.13043478260869565, CSI=0.851063829787234, MAE=3.977 мм, bias=-0.145 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,0.4,7.0,-6.6
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,0.4,7.0,-6.6
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,0.4,7.0,-6.6
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,0.4,7.0,-6.6
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,0.4,7.0,-6.6
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,0.4,7.0,-6.6
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,0.4,7.0,-6.6
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,0.4,4.0,-3.6
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,0.4,4.0,-3.6
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,0.4,4.0,-3.6
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,0.4,4.0,-3.6
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,0.4,4.0,-3.6
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,0.4,4.0,-3.6
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,0.4,4.0,-3.6
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,0.1,4.0,-3.9
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,4.6,0.6,4.0
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,4.6,0.6,4.0
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,3.7,0.6,3.1
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,3.7,0.6,3.1
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,3.7,0.6,3.1
2026-08-07T05:36:00Z,2026-08-10T03:00:00Z,69.4,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T03:00:00Z,68.7,0.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-10T03:00:00Z,67.8,0.0,0.0,0.0
2026-08-07T10:39:14Z,2026-08-10T03:00:00Z,64.3,0.0,0.0,0.0
2026-08-07T16:51:54Z,2026-08-10T03:00:00Z,58.1,0.0,0.0,0.0
2026-08-07T22:45:57Z,2026-08-10T03:00:00Z,52.2,0.0,0.0,0.0
2026-08-07T23:19:23Z,2026-08-10T03:00:00Z,51.7,0.0,0.0,0.0
2026-08-07T16:51:54Z,2026-08-10T15:00:00Z,70.1,0.0,0.0,0.0
2026-08-07T22:45:57Z,2026-08-10T15:00:00Z,64.2,0.0,0.0,0.0
2026-08-07T23:19:23Z,2026-08-10T15:00:00Z,63.7,0.0,0.0,0.0
2026-08-08T04:50:53Z,2026-08-10T15:00:00Z,58.2,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-10T15:00:00Z,52.7,0.0,0.0,0.0
2026-08-08T04:50:53Z,2026-08-11T03:00:00Z,70.2,0.0,0.0,0.0
