# Архангельск / Ветер / 2-3 дня / Apple Погода
# n=316, MAE=1.215, RMSE=1.445, bias=+1.152
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.445/1.230)^2 = -0.3811  (RMSE_персистентности по 316 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,1.703,2.0,1.0,-0.297,0.297
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,1.489,1.0,1.0,0.489,0.489
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,1.456,1.0,1.0,0.456,0.456
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,1.964,2.0,1.0,-0.036,0.036
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,1.814,2.0,1.0,-0.186,0.186
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,1.975,2.0,1.0,-0.025,0.025
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,2.256,2.0,1.0,0.256,0.256
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,2.586,3.0,1.0,-0.414,0.414
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,1.703,2.0,1.0,-0.297,0.297
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,1.489,1.0,1.0,0.489,0.489
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,1.456,1.0,1.0,0.456,0.456
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,1.964,2.0,1.0,-0.036,0.036
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,1.814,2.0,1.0,-0.186,0.186
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,1.975,2.0,1.0,-0.025,0.025
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,2.256,2.0,1.0,0.256,0.256
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,2.586,3.0,1.0,-0.414,0.414
