# Архангельск / Облачность / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней / Tomorrow.io
# n=3204, MAE=23.911, RMSE=37.547, bias=-12.760
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (37.547/32.299)^2 = -0.3514  (RMSE_персистентности по 3204 пар(ам))
# persistence baseline = смешанный (разный по периодам в пуле) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,24.22,100.0,100.0,-75.78,75.78
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,54.69,87.5,100.0,-32.81,32.81
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,24.22,100.0,100.0,-75.78,75.78
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,54.69,87.5,100.0,-32.81,32.81
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,54.69,87.5,100.0,-32.81,32.81
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,98.44,87.5,100.0,10.94,10.94
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,18.75,87.5,87.5,-68.75,68.75
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,37.5,87.5,87.5,-50.0,50.0
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,52.34,100.0,87.5,-47.66,47.66
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,59.38,100.0,87.5,-40.62,40.62
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,52.34,100.0,87.5,-47.66,47.66
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,59.38,100.0,87.5,-40.62,40.62
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,70.31,100.0,100.0,-29.69,29.69
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,88.28,100.0,100.0,-11.72,11.72
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,39.84,100.0,100.0,-60.16,60.16
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,96.09,87.5,100.0,8.59,8.59
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,93.75,87.5,87.5,6.25,6.25
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,38.28,100.0,87.5,-61.72,61.72
0-6ч,2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,85.94,100.0,100.0,-14.06,14.06
0-6ч,2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,100.0,75.0,100.0,25.0,25.0
0-6ч,2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,62.5,75.0,75.0,-12.5,12.5
0-6ч,2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,14.06,87.5,75.0,-73.44,73.44
0-6ч,2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,13.28,87.5,75.0,-74.22,74.22
0-6ч,2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,35.16,75.0,75.0,-39.84,39.84
0-6ч,2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,13.28,87.5,75.0,-74.22,74.22
0-6ч,2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,35.16,75.0,75.0,-39.84,39.84
0-6ч,2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,13.28,87.5,75.0,-74.22,74.22
0-6ч,2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,35.16,75.0,75.0,-39.84,39.84
0-6ч,2026-08-09T16:31:44Z,2026-08-09T18:00:00Z,1.5,35.16,75.0,87.5,-39.84,39.84
0-6ч,2026-08-09T16:31:44Z,2026-08-09T21:00:00Z,4.5,26.56,37.5,87.5,-10.94,10.94
0-6ч,2026-08-09T22:39:09Z,2026-08-10T00:00:00Z,1.3,96.88,37.5,37.5,59.38,59.38
0-6ч,2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,92.19,87.5,37.5,4.69,4.69
0-6ч,2026-08-10T05:20:42Z,2026-08-10T06:00:00Z,0.7,96.09,87.5,87.5,8.59,8.59
0-6ч,2026-08-10T05:20:42Z,2026-08-10T09:00:00Z,3.7,76.56,87.5,87.5,-10.94,10.94
0-6ч,2026-08-10T10:53:28Z,2026-08-10T12:00:00Z,1.1,75.0,87.5,87.5,-12.5,12.5
0-6ч,2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,57.03,87.5,87.5,-30.47,30.47
0-6ч,2026-08-10T16:52:05Z,2026-08-10T18:00:00Z,1.1,44.53,75.0,87.5,-30.47,30.47
0-6ч,2026-08-10T16:52:05Z,2026-08-10T21:00:00Z,4.1,59.38,100.0,87.5,-40.62,40.62
0-6ч,2026-08-10T22:47:13Z,2026-08-11T00:00:00Z,1.2,8.59,100.0,100.0,-91.41,91.41
0-6ч,2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,30.47,12.5,100.0,17.97,17.97
0-6ч,2026-08-11T05:01:49Z,2026-08-11T06:00:00Z,1.0,7.81,75.0,12.5,-67.19,67.19
0-6ч,2026-08-11T05:01:49Z,2026-08-11T09:00:00Z,4.0,66.41,87.5,12.5,-21.09,21.09
0-6ч,2026-08-11T10:38:45Z,2026-08-11T12:00:00Z,1.4,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,100.0,100.0,87.5,0.0,0.0
0-6ч,2026-08-12T06:05:22Z,2026-08-12T09:00:00Z,2.9,90.62,100.0,100.0,-9.38,9.38
0-6ч,2026-08-12T06:05:22Z,2026-08-12T12:00:00Z,5.9,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T10:47:03Z,2026-08-12T12:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T10:47:03Z,2026-08-12T15:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T16:54:57Z,2026-08-12T18:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T16:54:57Z,2026-08-12T21:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T22:50:47Z,2026-08-13T00:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-12T22:50:47Z,2026-08-13T03:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T05:30:08Z,2026-08-13T06:00:00Z,0.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T05:30:08Z,2026-08-13T09:00:00Z,3.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T10:49:01Z,2026-08-13T12:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T10:49:01Z,2026-08-13T15:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:36:10Z,2026-08-13T18:00:00Z,1.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:36:10Z,2026-08-13T21:00:00Z,4.4,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:42:24Z,2026-08-13T18:00:00Z,1.3,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:42:24Z,2026-08-13T21:00:00Z,4.3,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:54:22Z,2026-08-13T18:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T16:54:22Z,2026-08-13T21:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T22:52:17Z,2026-08-14T00:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-13T22:52:17Z,2026-08-14T03:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-14T05:28:14Z,2026-08-14T06:00:00Z,0.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-14T05:28:14Z,2026-08-14T09:00:00Z,3.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-14T10:44:54Z,2026-08-14T12:00:00Z,1.3,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-14T10:44:54Z,2026-08-14T15:00:00Z,4.3,88.28,87.5,100.0,0.78,0.78
0-6ч,2026-08-14T16:48:33Z,2026-08-14T18:00:00Z,1.2,99.22,87.5,87.5,11.72,11.72
0-6ч,2026-08-14T16:48:33Z,2026-08-14T21:00:00Z,4.2,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-14T22:30:55Z,2026-08-15T00:00:00Z,1.5,98.44,100.0,87.5,-1.56,1.56
0-6ч,2026-08-14T22:30:55Z,2026-08-15T03:00:00Z,4.5,100.0,87.5,87.5,12.5,12.5
0-6ч,2026-08-15T04:24:15Z,2026-08-15T06:00:00Z,1.6,100.0,100.0,87.5,0.0,0.0
0-6ч,2026-08-15T04:24:15Z,2026-08-15T09:00:00Z,4.6,100.0,100.0,87.5,0.0,0.0
0-6ч,2026-08-15T10:09:15Z,2026-08-15T12:00:00Z,1.8,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-15T10:09:15Z,2026-08-15T15:00:00Z,4.8,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-15T16:20:39Z,2026-08-15T18:00:00Z,1.7,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-15T16:20:39Z,2026-08-15T21:00:00Z,4.7,90.62,100.0,100.0,-9.38,9.38
0-6ч,2026-08-15T22:29:33Z,2026-08-16T00:00:00Z,1.5,100.0,87.5,100.0,12.5,12.5
0-6ч,2026-08-15T22:29:33Z,2026-08-16T03:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-16T04:29:41Z,2026-08-16T06:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-16T04:29:41Z,2026-08-16T09:00:00Z,4.5,99.22,100.0,100.0,-0.78,0.78
0-6ч,2026-08-16T07:21:44Z,2026-08-16T09:00:00Z,1.6,100.0,100.0,100.0,0.0,0.0
0-6ч,2026-08-16T07:21:44Z,2026-08-16T12:00:00Z,4.6,100.0,87.5,100.0,12.5,12.5
0-6ч,2026-08-16T10:09:47Z,2026-08-16T12:00:00Z,1.8,100.0,87.5,100.0,12.5,12.5
0-6ч,2026-08-16T10:09:47Z,2026-08-16T15:00:00Z,4.8,99.22,87.5,100.0,11.72,11.72
0-6ч,2026-08-16T16:21:00Z,2026-08-16T18:00:00Z,1.6,78.12,25.0,87.5,53.12,53.12
0-6ч,2026-08-16T16:21:00Z,2026-08-16T21:00:00Z,4.7,49.22,25.0,87.5,24.22,24.22
0-6ч,2026-08-16T22:29:34Z,2026-08-17T00:00:00Z,1.5,0.0,12.5,25.0,-12.5,12.5
0-6ч,2026-08-16T22:29:34Z,2026-08-17T03:00:00Z,4.5,0.78,12.5,25.0,-11.72,11.72
0-6ч,2026-08-17T04:35:30Z,2026-08-17T06:00:00Z,1.4,0.0,75.0,12.5,-75.0,75.0
