# Архангельск / Температура / 3-5 дней / Apple Погода
# n=73, MAE=0.678, RMSE=0.839, bias=+0.051
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.839/3.953)^2 = 0.9550  (RMSE_персистентности по 73 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,16.58,16.7,15.4,-0.12,0.12
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,15.97,17.0,15.5,-1.03,1.03
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,13.87,13.7,14.4,0.17,0.17
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,12.61,10.4,13.6,2.21,2.21
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,12.8,10.8,13.1,2.0,2.0
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,14.39,12.6,11.9,1.79,1.79
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,18.05,16.9,15.2,1.15,1.15
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,21.2,20.6,16.5,0.6,0.6
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,22.25,22.3,16.7,-0.05,0.05
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,20.77,21.8,17.0,-1.03,1.03
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,17.47,18.4,13.7,-0.93,0.93
2026-08-06T11:36:01Z,2026-08-10T21:00:00Z,105.4,15.54,15.0,10.4,0.54,0.54
2026-08-06T11:36:01Z,2026-08-11T00:00:00Z,108.4,14.67,15.3,10.8,-0.63,0.63
2026-08-06T11:36:01Z,2026-08-11T03:00:00Z,111.4,15.3,15.0,12.6,0.3,0.3
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,16.58,16.7,15.4,-0.12,0.12
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,15.97,17.0,15.5,-1.03,1.03
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,13.87,13.7,14.4,0.17,0.17
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,12.61,10.4,13.6,2.21,2.21
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,12.8,10.8,13.1,2.0,2.0
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,14.39,12.6,11.9,1.79,1.79
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,18.05,16.9,15.2,1.15,1.15
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,21.2,20.6,16.5,0.6,0.6
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,22.25,22.3,16.7,-0.05,0.05
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,20.77,21.8,17.0,-1.03,1.03
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,17.47,18.4,13.7,-0.93,0.93
2026-08-06T11:44:08Z,2026-08-10T21:00:00Z,105.3,15.54,15.0,10.4,0.54,0.54
2026-08-06T11:44:08Z,2026-08-11T00:00:00Z,108.3,14.67,15.3,10.8,-0.63,0.63
2026-08-06T11:44:08Z,2026-08-11T03:00:00Z,111.3,15.3,15.0,12.6,0.3,0.3
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,12.68,12.6,11.9,0.08,0.08
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,17.08,16.9,15.2,0.18,0.18
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,20.11,20.6,16.5,-0.49,0.49
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,21.25,22.3,16.7,-1.05,1.05
2026-08-07T01:31:32Z,2026-08-10T15:00:00Z,85.5,21.12,21.8,17.0,-0.68,0.68
2026-08-07T01:31:32Z,2026-08-10T18:00:00Z,88.5,17.59,18.4,13.7,-0.81,0.81
2026-08-07T01:31:32Z,2026-08-10T21:00:00Z,91.5,15.57,15.0,10.4,0.57,0.57
2026-08-07T01:31:32Z,2026-08-11T00:00:00Z,94.5,14.71,15.3,10.8,-0.59,0.59
2026-08-07T01:31:32Z,2026-08-11T03:00:00Z,97.5,15.83,15.0,12.6,0.83,0.83
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,17.16,16.9,15.2,0.26,0.26
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,20.66,20.6,16.5,0.06,0.06
2026-08-07T05:36:00Z,2026-08-10T12:00:00Z,78.4,21.96,22.3,16.7,-0.34,0.34
2026-08-07T05:36:00Z,2026-08-10T15:00:00Z,81.4,21.2,21.8,17.0,-0.6,0.6
2026-08-07T05:36:00Z,2026-08-10T18:00:00Z,84.4,17.82,18.4,13.7,-0.58,0.58
2026-08-07T05:36:00Z,2026-08-10T21:00:00Z,87.4,15.54,15.0,10.4,0.54,0.54
2026-08-07T05:36:00Z,2026-08-11T00:00:00Z,90.4,14.54,15.3,10.8,-0.76,0.76
2026-08-07T05:36:00Z,2026-08-11T03:00:00Z,93.4,15.76,15.0,12.6,0.76,0.76
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,20.6,20.6,16.5,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T12:00:00Z,77.7,21.88,22.3,16.7,-0.42,0.42
2026-08-07T06:18:59Z,2026-08-10T15:00:00Z,80.7,21.49,21.8,17.0,-0.31,0.31
2026-08-07T06:18:59Z,2026-08-10T18:00:00Z,83.7,17.88,18.4,13.7,-0.52,0.52
2026-08-07T06:18:59Z,2026-08-10T21:00:00Z,86.7,15.48,15.0,10.4,0.48,0.48
2026-08-07T06:18:59Z,2026-08-11T00:00:00Z,89.7,14.54,15.3,10.8,-0.76,0.76
2026-08-07T06:18:59Z,2026-08-11T03:00:00Z,92.7,15.74,15.0,12.6,0.74,0.74
2026-08-07T07:13:52Z,2026-08-10T09:00:00Z,73.8,20.93,20.6,16.5,0.33,0.33
2026-08-07T07:13:52Z,2026-08-10T12:00:00Z,76.8,22.54,22.3,16.7,0.24,0.24
2026-08-07T07:13:52Z,2026-08-10T15:00:00Z,79.8,21.3,21.8,17.0,-0.5,0.5
2026-08-07T07:13:52Z,2026-08-10T18:00:00Z,82.8,17.65,18.4,13.7,-0.75,0.75
2026-08-07T07:13:52Z,2026-08-10T21:00:00Z,85.8,15.3,15.0,10.4,0.3,0.3
2026-08-07T07:13:52Z,2026-08-11T00:00:00Z,88.8,14.35,15.3,10.8,-0.95,0.95
2026-08-07T07:13:52Z,2026-08-11T03:00:00Z,91.8,15.7,15.0,12.6,0.7,0.7
2026-08-07T10:39:14Z,2026-08-10T12:00:00Z,73.3,22.55,22.3,16.7,0.25,0.25
2026-08-07T10:39:14Z,2026-08-10T15:00:00Z,76.3,21.21,21.8,17.0,-0.59,0.59
2026-08-07T10:39:14Z,2026-08-10T18:00:00Z,79.3,17.51,18.4,13.7,-0.89,0.89
2026-08-07T10:39:14Z,2026-08-10T21:00:00Z,82.3,15.58,15.0,10.4,0.58,0.58
2026-08-07T10:39:14Z,2026-08-11T00:00:00Z,85.3,14.88,15.3,10.8,-0.42,0.42
2026-08-07T10:39:14Z,2026-08-11T03:00:00Z,88.3,15.69,15.0,12.6,0.69,0.69
2026-08-07T16:51:54Z,2026-08-10T18:00:00Z,73.1,17.75,18.4,13.7,-0.65,0.65
2026-08-07T16:51:54Z,2026-08-10T21:00:00Z,76.1,15.44,15.0,10.4,0.44,0.44
2026-08-07T16:51:54Z,2026-08-11T00:00:00Z,79.1,14.54,15.3,10.8,-0.76,0.76
2026-08-07T16:51:54Z,2026-08-11T03:00:00Z,82.1,15.57,15.0,12.6,0.57,0.57
2026-08-07T22:45:57Z,2026-08-11T00:00:00Z,73.2,14.43,15.3,10.8,-0.87,0.87
2026-08-07T22:45:57Z,2026-08-11T03:00:00Z,76.2,15.3,15.0,12.6,0.3,0.3
2026-08-07T23:19:23Z,2026-08-11T00:00:00Z,72.7,14.28,15.3,10.8,-1.02,1.02
2026-08-07T23:19:23Z,2026-08-11T03:00:00Z,75.7,15.22,15.0,12.6,0.22,0.22
