# Архангельск / Ветер / 1-2 дня / Apple Погода
# n=644, MAE=1.248, RMSE=1.466, bias=+1.216
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.466/1.222)^2 = -0.4408  (RMSE_персистентности по 644 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,3.047,1.0,1.0,2.047,2.047
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,1.683,1.0,1.0,0.683,0.683
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,2.203,1.0,1.0,1.203,1.203
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,1.731,1.0,1.0,0.731,0.731
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,1.283,1.0,1.0,0.283,0.283
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,1.167,1.0,3.0,0.167,0.167
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,1.108,1.0,3.0,0.108,0.108
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,1.458,1.0,1.0,0.458,0.458
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,3.047,1.0,1.0,2.047,2.047
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,1.683,1.0,1.0,0.683,0.683
2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,2.203,1.0,1.0,1.203,1.203
2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,1.731,1.0,1.0,0.731,0.731
2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,1.283,1.0,1.0,0.283,0.283
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,1.167,1.0,3.0,0.167,0.167
2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,1.108,1.0,3.0,0.108,0.108
2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,1.458,1.0,1.0,0.458,0.458
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,1.808,1.0,3.0,0.808,0.808
2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,1.85,1.0,3.0,0.85,0.85
2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,1.75,1.0,1.0,0.75,0.75
2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,1.789,2.0,1.0,-0.211,0.211
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,1.997,1.0,1.0,0.997,0.997
2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,1.989,1.0,1.0,0.989,0.989
2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,2.453,2.0,1.0,0.453,0.453
2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,2.497,2.0,1.0,0.497,0.497
2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,1.958,1.0,3.0,0.958,0.958
2026-08-07T05:36:00Z,2026-08-08T09:00:00Z,27.4,2.019,1.0,1.0,1.019,1.019
2026-08-07T05:36:00Z,2026-08-08T12:00:00Z,30.4,1.947,2.0,1.0,-0.053,0.053
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,2.417,1.0,1.0,1.417,1.417
2026-08-07T05:36:00Z,2026-08-08T18:00:00Z,36.4,2.308,1.0,1.0,1.308,1.308
2026-08-07T05:36:00Z,2026-08-08T21:00:00Z,39.4,2.306,2.0,1.0,0.306,0.306
2026-08-07T05:36:00Z,2026-08-09T00:00:00Z,42.4,2.142,2.0,1.0,0.142,0.142
2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,1.611,2.0,1.0,-0.389,0.389
2026-08-07T06:18:59Z,2026-08-08T09:00:00Z,26.7,2.039,1.0,1.0,1.039,1.039
2026-08-07T06:18:59Z,2026-08-08T12:00:00Z,29.7,1.872,2.0,1.0,-0.128,0.128
2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,2.011,1.0,1.0,1.011,1.011
2026-08-07T06:18:59Z,2026-08-08T18:00:00Z,35.7,2.039,1.0,1.0,1.039,1.039
2026-08-07T06:18:59Z,2026-08-08T21:00:00Z,38.7,2.097,2.0,1.0,0.097,0.097
2026-08-07T06:18:59Z,2026-08-09T00:00:00Z,41.7,1.883,2.0,1.0,-0.117,0.117
2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,1.761,2.0,1.0,-0.239,0.239
2026-08-07T06:18:59Z,2026-08-09T06:00:00Z,47.7,2.35,2.0,1.0,0.35,0.35
2026-08-07T07:13:52Z,2026-08-08T09:00:00Z,25.8,2.392,1.0,1.0,1.392,1.392
2026-08-07T07:13:52Z,2026-08-08T12:00:00Z,28.8,2.072,2.0,1.0,0.072,0.072
2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,1.872,1.0,1.0,0.872,0.872
2026-08-07T07:13:52Z,2026-08-08T18:00:00Z,34.8,2.197,1.0,1.0,1.197,1.197
2026-08-07T07:13:52Z,2026-08-08T21:00:00Z,37.8,2.211,2.0,1.0,0.211,0.211
2026-08-07T07:13:52Z,2026-08-09T00:00:00Z,40.8,1.711,2.0,1.0,-0.289,0.289
2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,1.997,2.0,1.0,-0.003,0.003
2026-08-07T07:13:52Z,2026-08-09T06:00:00Z,46.8,1.578,2.0,1.0,-0.422,0.422
2026-08-07T10:39:14Z,2026-08-08T12:00:00Z,25.3,1.658,2.0,1.0,-0.342,0.342
2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,1.478,1.0,1.0,0.478,0.478
2026-08-07T10:39:14Z,2026-08-08T18:00:00Z,31.3,1.628,1.0,1.0,0.628,0.628
2026-08-07T10:39:14Z,2026-08-08T21:00:00Z,34.3,2.192,2.0,1.0,0.192,0.192
2026-08-07T10:39:14Z,2026-08-09T00:00:00Z,37.3,1.833,2.0,1.0,-0.167,0.167
2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,2.033,2.0,1.0,0.033,0.033
2026-08-07T10:39:14Z,2026-08-09T06:00:00Z,43.3,1.833,2.0,1.0,-0.167,0.167
2026-08-07T10:39:14Z,2026-08-09T09:00:00Z,46.3,1.911,3.0,1.0,-1.089,1.089
2026-08-07T16:51:54Z,2026-08-08T18:00:00Z,25.1,1.275,1.0,1.0,0.275,0.275
2026-08-07T16:51:54Z,2026-08-08T21:00:00Z,28.1,1.308,2.0,1.0,-0.692,0.692
2026-08-07T16:51:54Z,2026-08-09T00:00:00Z,31.1,1.433,2.0,1.0,-0.567,0.567
2026-08-07T16:51:54Z,2026-08-09T03:00:00Z,34.1,2.203,2.0,1.0,0.203,0.203
2026-08-07T16:51:54Z,2026-08-09T06:00:00Z,37.1,2.764,2.0,1.0,0.764,0.764
2026-08-07T16:51:54Z,2026-08-09T09:00:00Z,40.1,2.828,3.0,1.0,-0.172,0.172
2026-08-07T16:51:54Z,2026-08-09T12:00:00Z,43.1,3.436,2.0,2.0,1.436,1.436
2026-08-07T16:51:54Z,2026-08-09T15:00:00Z,46.1,2.869,2.0,1.0,0.869,0.869
2026-08-07T22:45:57Z,2026-08-09T00:00:00Z,25.2,2.156,2.0,1.0,0.156,0.156
2026-08-07T22:45:57Z,2026-08-09T03:00:00Z,28.2,2.214,2.0,1.0,0.214,0.214
2026-08-07T22:45:57Z,2026-08-09T06:00:00Z,31.2,2.867,2.0,1.0,0.867,0.867
2026-08-07T22:45:57Z,2026-08-09T09:00:00Z,34.2,3.256,3.0,1.0,0.256,0.256
2026-08-07T22:45:57Z,2026-08-09T12:00:00Z,37.2,3.397,2.0,2.0,1.397,1.397
2026-08-07T22:45:57Z,2026-08-09T15:00:00Z,40.2,2.781,2.0,1.0,0.781,0.781
2026-08-07T22:45:57Z,2026-08-09T18:00:00Z,43.2,1.436,0.0,1.0,1.436,1.436
2026-08-07T22:45:57Z,2026-08-09T21:00:00Z,46.2,1.731,1.0,2.0,0.731,0.731
2026-08-07T23:19:23Z,2026-08-09T00:00:00Z,24.7,2.053,2.0,1.0,0.053,0.053
2026-08-07T23:19:23Z,2026-08-09T03:00:00Z,27.7,2.311,2.0,1.0,0.311,0.311
2026-08-07T23:19:23Z,2026-08-09T06:00:00Z,30.7,3.128,2.0,1.0,1.128,1.128
2026-08-07T23:19:23Z,2026-08-09T09:00:00Z,33.7,3.453,3.0,1.0,0.453,0.453
2026-08-07T23:19:23Z,2026-08-09T12:00:00Z,36.7,3.603,2.0,2.0,1.603,1.603
2026-08-07T23:19:23Z,2026-08-09T15:00:00Z,39.7,2.819,2.0,1.0,0.819,0.819
2026-08-07T23:19:23Z,2026-08-09T18:00:00Z,42.7,1.192,0.0,1.0,1.192,1.192
2026-08-07T23:19:23Z,2026-08-09T21:00:00Z,45.7,1.806,1.0,2.0,0.806,0.806
2026-08-08T04:50:53Z,2026-08-09T06:00:00Z,25.2,2.906,2.0,1.0,0.906,0.906
2026-08-08T04:50:53Z,2026-08-09T09:00:00Z,28.2,3.392,3.0,1.0,0.392,0.392
2026-08-08T04:50:53Z,2026-08-09T12:00:00Z,31.2,3.964,2.0,2.0,1.964,1.964
2026-08-08T04:50:53Z,2026-08-09T15:00:00Z,34.2,3.114,2.0,1.0,1.114,1.114
2026-08-08T04:50:53Z,2026-08-09T18:00:00Z,37.2,1.45,0.0,1.0,1.45,1.45
2026-08-08T04:50:53Z,2026-08-09T21:00:00Z,40.2,1.786,1.0,2.0,0.786,0.786
2026-08-08T04:50:53Z,2026-08-10T00:00:00Z,43.2,2.417,1.0,2.0,1.417,1.417
2026-08-08T04:50:53Z,2026-08-10T03:00:00Z,46.2,3.208,2.0,2.0,1.208,1.208
2026-08-08T10:18:13Z,2026-08-09T12:00:00Z,25.7,3.728,2.0,2.0,1.728,1.728
2026-08-08T10:18:13Z,2026-08-09T15:00:00Z,28.7,2.936,2.0,1.0,0.936,0.936
2026-08-08T10:18:13Z,2026-08-09T18:00:00Z,31.7,1.239,0.0,1.0,1.239,1.239
2026-08-08T10:18:13Z,2026-08-09T21:00:00Z,34.7,1.739,1.0,2.0,0.739,0.739
2026-08-08T10:18:13Z,2026-08-10T00:00:00Z,37.7,2.417,1.0,2.0,1.417,1.417
2026-08-08T10:18:13Z,2026-08-10T03:00:00Z,40.7,2.978,2.0,2.0,0.978,0.978
2026-08-08T10:18:13Z,2026-08-10T06:00:00Z,43.7,3.964,3.0,2.0,0.964,0.964
2026-08-08T10:18:13Z,2026-08-10T09:00:00Z,46.7,4.572,3.0,3.0,1.572,1.572
2026-08-08T22:37:20Z,2026-08-10T00:00:00Z,25.4,2.308,1.0,2.0,1.308,1.308
2026-08-08T22:37:20Z,2026-08-10T03:00:00Z,28.4,3.047,2.0,2.0,1.047,1.047
2026-08-08T22:37:20Z,2026-08-10T06:00:00Z,31.4,3.358,3.0,2.0,0.358,0.358
2026-08-08T22:37:20Z,2026-08-10T09:00:00Z,34.4,4.828,3.0,3.0,1.828,1.828
2026-08-08T22:37:20Z,2026-08-10T12:00:00Z,37.4,4.492,2.0,2.0,2.492,2.492
2026-08-08T22:37:20Z,2026-08-10T15:00:00Z,40.4,3.431,2.0,2.0,1.431,1.431
2026-08-08T22:37:20Z,2026-08-10T18:00:00Z,43.4,3.0,2.0,0.0,1.0,1.0
2026-08-08T22:37:20Z,2026-08-10T21:00:00Z,46.4,3.739,2.0,1.0,1.739,1.739
2026-08-09T04:59:03Z,2026-08-10T06:00:00Z,25.0,3.503,3.0,2.0,0.503,0.503
2026-08-09T04:59:03Z,2026-08-10T09:00:00Z,28.0,4.936,3.0,3.0,1.936,1.936
2026-08-09T04:59:03Z,2026-08-10T12:00:00Z,31.0,4.375,2.0,2.0,2.375,2.375
2026-08-09T04:59:03Z,2026-08-10T15:00:00Z,34.0,3.231,2.0,2.0,1.231,1.231
2026-08-09T04:59:03Z,2026-08-10T18:00:00Z,37.0,2.9,2.0,0.0,0.9,0.9
2026-08-09T04:59:03Z,2026-08-10T21:00:00Z,40.0,3.544,2.0,1.0,1.544,1.544
2026-08-09T04:59:03Z,2026-08-11T00:00:00Z,43.0,3.639,2.0,1.0,1.639,1.639
2026-08-09T04:59:03Z,2026-08-11T03:00:00Z,46.0,4.103,2.0,2.0,2.103,2.103
2026-08-09T10:19:29Z,2026-08-10T12:00:00Z,25.7,4.222,2.0,2.0,2.222,2.222
2026-08-09T10:19:29Z,2026-08-10T15:00:00Z,28.7,3.342,2.0,2.0,1.342,1.342
2026-08-09T10:19:29Z,2026-08-10T18:00:00Z,31.7,2.911,2.0,0.0,0.911,0.911
2026-08-09T10:19:29Z,2026-08-10T21:00:00Z,34.7,3.561,2.0,1.0,1.561,1.561
2026-08-09T10:19:29Z,2026-08-11T00:00:00Z,37.7,3.711,2.0,1.0,1.711,1.711
2026-08-09T10:19:29Z,2026-08-11T03:00:00Z,40.7,4.108,2.0,2.0,2.108,2.108
2026-08-09T10:19:29Z,2026-08-11T06:00:00Z,43.7,4.689,3.0,3.0,1.689,1.689
2026-08-09T10:19:29Z,2026-08-11T09:00:00Z,46.7,5.247,4.0,3.0,1.247,1.247
2026-08-09T12:41:38Z,2026-08-10T15:00:00Z,26.3,3.4,2.0,2.0,1.4,1.4
