# Архангельск / Облачность / 3-5 дней / GEM (Канада)
# n=63, MAE=36.310, RMSE=39.083, bias=-33.421
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (39.083/24.650)^2 = -1.5138  (RMSE_персистентности по 63 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,88.0,75.0,87.5,13.0,13.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,44.0,87.5,87.5,-43.5,43.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,44.0,75.0,87.5,-31.0,31.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,8.0,37.5,87.5,-29.5,29.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,12.0,37.5,87.5,-25.5,25.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,48.0,87.5,87.5,-39.5,39.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,88.0,75.0,87.5,13.0,13.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,44.0,87.5,87.5,-43.5,43.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,44.0,75.0,87.5,-31.0,31.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,8.0,37.5,87.5,-29.5,29.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,12.0,37.5,87.5,-25.5,25.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,48.0,87.5,87.5,-39.5,39.5
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,88.0,75.0,87.5,13.0,13.0
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,44.0,87.5,87.5,-43.5,43.5
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,44.0,75.0,87.5,-31.0,31.0
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,8.0,37.5,87.5,-29.5,29.5
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,12.0,37.5,87.5,-25.5,25.5
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,48.0,87.5,87.5,-39.5,39.5
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,88.0,75.0,87.5,13.0,13.0
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,44.0,87.5,87.5,-43.5,43.5
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,44.0,75.0,87.5,-31.0,31.0
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,8.0,37.5,87.5,-29.5,29.5
