# Архангельск / Осадки / 5-10 дней / ECMWF AIFS
# n=77, порог дождя = 0.2 мм
# POD=0.9285714285714286, FAR=0.09722222222222222, CSI=0.8441558441558441, MAE=13.621 мм, bias=-11.366 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,9.9,0.1,9.8
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,9.9,0.1,9.8
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,9.9,0.1,9.8
2026-08-06T10:47:54Z,2026-08-11T15:00:00Z,124.2,9.9,0.1,9.8
2026-08-06T11:30:42Z,2026-08-11T15:00:00Z,123.5,9.9,0.1,9.8
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,9.9,0.1,9.8
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,3.9,0.1,3.8
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,3.3,5.0,-1.7
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,3.3,5.0,-1.7
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,3.3,5.0,-1.7
2026-08-06T10:47:54Z,2026-08-12T03:00:00Z,136.2,3.3,5.0,-1.7
2026-08-06T11:30:42Z,2026-08-12T03:00:00Z,135.5,3.3,5.0,-1.7
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,3.3,5.0,-1.7
2026-08-06T11:44:08Z,2026-08-12T03:00:00Z,135.3,5.4,5.0,0.4
2026-08-07T01:31:32Z,2026-08-12T03:00:00Z,121.5,6.0,5.0,1.0
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,3.9,4.0,-0.1
2026-08-06T09:59:18Z,2026-08-12T15:00:00Z,149.0,3.9,4.0,-0.1
2026-08-06T10:08:26Z,2026-08-12T15:00:00Z,148.9,3.9,4.0,-0.1
2026-08-06T10:47:54Z,2026-08-12T15:00:00Z,148.2,3.9,4.0,-0.1
2026-08-06T11:30:42Z,2026-08-12T15:00:00Z,147.5,3.9,4.0,-0.1
2026-08-06T11:36:01Z,2026-08-12T15:00:00Z,147.4,3.9,4.0,-0.1
2026-08-06T11:44:08Z,2026-08-12T15:00:00Z,147.3,4.5,4.0,0.5
2026-08-07T01:31:32Z,2026-08-12T15:00:00Z,133.5,6.3,4.0,2.3
2026-08-07T05:36:00Z,2026-08-12T15:00:00Z,129.4,6.3,4.0,2.3
2026-08-07T06:18:59Z,2026-08-12T15:00:00Z,128.7,9.9,4.0,5.9
2026-08-07T07:13:52Z,2026-08-12T15:00:00Z,127.8,9.9,4.0,5.9
2026-08-07T10:39:14Z,2026-08-12T15:00:00Z,124.3,9.9,4.0,5.9
2026-08-06T09:50:07Z,2026-08-13T03:00:00Z,161.2,0.6,5.0,-4.4
2026-08-06T09:59:18Z,2026-08-13T03:00:00Z,161.0,0.6,5.0,-4.4
2026-08-06T10:08:26Z,2026-08-13T03:00:00Z,160.9,0.6,5.0,-4.4
2026-08-06T10:47:54Z,2026-08-13T03:00:00Z,160.2,0.6,5.0,-4.4
2026-08-06T11:30:42Z,2026-08-13T03:00:00Z,159.5,0.6,5.0,-4.4
2026-08-06T11:36:01Z,2026-08-13T03:00:00Z,159.4,0.6,5.0,-4.4
2026-08-06T11:44:08Z,2026-08-13T03:00:00Z,159.3,0.6,5.0,-4.4
2026-08-07T01:31:32Z,2026-08-13T03:00:00Z,145.5,1.5,5.0,-3.5
2026-08-07T05:36:00Z,2026-08-13T03:00:00Z,141.4,1.5,5.0,-3.5
2026-08-07T06:18:59Z,2026-08-13T03:00:00Z,140.7,4.5,5.0,-0.5
2026-08-07T07:13:52Z,2026-08-13T03:00:00Z,139.8,4.5,5.0,-0.5
2026-08-07T10:39:14Z,2026-08-13T03:00:00Z,136.3,4.5,5.0,-0.5
2026-08-07T16:51:54Z,2026-08-13T03:00:00Z,130.1,1.5,5.0,-3.5
2026-08-07T22:45:57Z,2026-08-13T03:00:00Z,124.2,1.5,5.0,-3.5
2026-08-07T23:19:23Z,2026-08-13T03:00:00Z,123.7,1.5,5.0,-3.5
2026-08-06T09:50:07Z,2026-08-13T15:00:00Z,173.2,5.1,31.0,-25.9
2026-08-06T09:59:18Z,2026-08-13T15:00:00Z,173.0,5.1,31.0,-25.9
2026-08-06T10:08:26Z,2026-08-13T15:00:00Z,172.9,5.1,31.0,-25.9
2026-08-06T10:47:54Z,2026-08-13T15:00:00Z,172.2,5.1,31.0,-25.9
2026-08-06T11:30:42Z,2026-08-13T15:00:00Z,171.5,5.1,31.0,-25.9
2026-08-06T11:36:01Z,2026-08-13T15:00:00Z,171.4,5.1,31.0,-25.9
2026-08-06T11:44:08Z,2026-08-13T15:00:00Z,171.3,2.1,31.0,-28.9
2026-08-07T01:31:32Z,2026-08-13T15:00:00Z,157.5,0.9,31.0,-30.1
2026-08-07T05:36:00Z,2026-08-13T15:00:00Z,153.4,0.9,31.0,-30.1
2026-08-07T06:18:59Z,2026-08-13T15:00:00Z,152.7,1.2,31.0,-29.8
2026-08-07T07:13:52Z,2026-08-13T15:00:00Z,151.8,1.2,31.0,-29.8
2026-08-07T10:39:14Z,2026-08-13T15:00:00Z,148.3,1.2,31.0,-29.8
2026-08-07T16:51:54Z,2026-08-13T15:00:00Z,142.1,2.4,31.0,-28.6
2026-08-07T22:45:57Z,2026-08-13T15:00:00Z,136.2,1.5,31.0,-29.5
2026-08-07T23:19:23Z,2026-08-13T15:00:00Z,135.7,1.5,31.0,-29.5
2026-08-08T04:50:53Z,2026-08-13T15:00:00Z,130.2,0.0,31.0,-31.0
2026-08-08T10:18:13Z,2026-08-13T15:00:00Z,124.7,0.0,31.0,-31.0
2026-08-06T09:50:07Z,2026-08-14T03:00:00Z,185.2,0.9,24.0,-23.1
2026-08-06T09:59:18Z,2026-08-14T03:00:00Z,185.0,0.9,24.0,-23.1
2026-08-06T10:08:26Z,2026-08-14T03:00:00Z,184.9,0.9,24.0,-23.1
2026-08-06T10:47:54Z,2026-08-14T03:00:00Z,184.2,0.9,24.0,-23.1
2026-08-06T11:30:42Z,2026-08-14T03:00:00Z,183.5,0.9,24.0,-23.1
2026-08-06T11:36:01Z,2026-08-14T03:00:00Z,183.4,0.9,24.0,-23.1
2026-08-06T11:44:08Z,2026-08-14T03:00:00Z,183.3,0.6,24.0,-23.4
2026-08-07T01:31:32Z,2026-08-14T03:00:00Z,169.5,1.2,24.0,-22.8
2026-08-07T05:36:00Z,2026-08-14T03:00:00Z,165.4,1.2,24.0,-22.8
2026-08-07T06:18:59Z,2026-08-14T03:00:00Z,164.7,1.2,24.0,-22.8
2026-08-07T07:13:52Z,2026-08-14T03:00:00Z,163.8,1.2,24.0,-22.8
2026-08-07T10:39:14Z,2026-08-14T03:00:00Z,160.3,1.2,24.0,-22.8
2026-08-07T16:51:54Z,2026-08-14T03:00:00Z,154.1,1.5,24.0,-22.5
2026-08-07T22:45:57Z,2026-08-14T03:00:00Z,148.2,0.3,24.0,-23.7
2026-08-07T23:19:23Z,2026-08-14T03:00:00Z,147.7,0.3,24.0,-23.7
2026-08-08T04:50:53Z,2026-08-14T03:00:00Z,142.2,0.0,24.0,-24.0
2026-08-08T10:18:13Z,2026-08-14T03:00:00Z,136.7,0.0,24.0,-24.0
2026-08-08T22:37:20Z,2026-08-14T03:00:00Z,124.4,0.0,24.0,-24.0
