# Архангельск / Осадки / 3-5 дней / Tomorrow.io
# n=105, порог дождя = 0.2 мм
# POD=0.5555555555555556, FAR=0.47368421052631576, CSI=0.37037037037037035, MAE=3.854 мм, bias=-2.686 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-09T12:48:15Z,2026-08-12T15:00:00Z,74.2,0.75,4.0,-3.25
2026-08-09T12:48:15Z,2026-08-13T03:00:00Z,86.2,5.33,5.0,0.33
2026-08-09T16:31:44Z,2026-08-13T03:00:00Z,82.5,5.33,5.0,0.33
2026-08-09T22:39:09Z,2026-08-13T03:00:00Z,76.3,2.99,5.0,-2.01
2026-08-09T12:48:15Z,2026-08-13T15:00:00Z,98.2,3.45,31.0,-27.55
2026-08-09T16:31:44Z,2026-08-13T15:00:00Z,94.5,3.45,31.0,-27.55
2026-08-09T22:39:09Z,2026-08-13T15:00:00Z,88.3,6.16,31.0,-24.84
2026-08-10T05:20:42Z,2026-08-13T15:00:00Z,81.7,6.58,31.0,-24.42
2026-08-10T10:53:28Z,2026-08-13T15:00:00Z,76.1,12.1,31.0,-18.9
2026-08-09T12:48:15Z,2026-08-14T03:00:00Z,110.2,0.0,24.0,-24.0
2026-08-09T16:31:44Z,2026-08-14T03:00:00Z,106.5,0.0,24.0,-24.0
2026-08-09T22:39:09Z,2026-08-14T03:00:00Z,100.3,1.1,24.0,-22.9
2026-08-10T05:20:42Z,2026-08-14T03:00:00Z,93.7,1.1,24.0,-22.9
2026-08-10T10:53:28Z,2026-08-14T03:00:00Z,88.1,4.38,24.0,-19.62
2026-08-10T16:52:05Z,2026-08-14T03:00:00Z,82.1,13.05,24.0,-10.95
2026-08-10T22:47:13Z,2026-08-14T03:00:00Z,76.2,13.28,24.0,-10.72
2026-08-09T16:31:44Z,2026-08-14T15:00:00Z,118.5,0.0,7.0,-7.0
2026-08-09T22:39:09Z,2026-08-14T15:00:00Z,112.3,0.0,7.0,-7.0
2026-08-10T05:20:42Z,2026-08-14T15:00:00Z,105.7,0.0,7.0,-7.0
2026-08-10T10:53:28Z,2026-08-14T15:00:00Z,100.1,0.25,7.0,-6.75
2026-08-10T16:52:05Z,2026-08-14T15:00:00Z,94.1,0.25,7.0,-6.75
2026-08-10T22:47:13Z,2026-08-14T15:00:00Z,88.2,0.0,7.0,-7.0
2026-08-11T05:01:49Z,2026-08-14T15:00:00Z,82.0,0.01,7.0,-6.99
2026-08-11T10:38:45Z,2026-08-14T15:00:00Z,76.4,0.0,7.0,-7.0
2026-08-10T05:20:42Z,2026-08-15T03:00:00Z,117.7,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-15T03:00:00Z,112.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-15T03:00:00Z,106.1,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-15T03:00:00Z,100.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-15T03:00:00Z,94.0,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-15T03:00:00Z,88.4,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-15T15:00:00Z,118.1,0.04,0.0,0.04
2026-08-10T22:47:13Z,2026-08-15T15:00:00Z,112.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-15T15:00:00Z,106.0,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-15T15:00:00Z,100.4,0.0,0.0,0.0
2026-08-12T06:05:22Z,2026-08-15T15:00:00Z,80.9,0.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-15T15:00:00Z,76.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-16T03:00:00Z,118.0,0.0,4.0,-4.0
2026-08-11T10:38:45Z,2026-08-16T03:00:00Z,112.4,0.0,4.0,-4.0
2026-08-12T06:05:22Z,2026-08-16T03:00:00Z,92.9,0.0,4.0,-4.0
2026-08-12T10:47:03Z,2026-08-16T03:00:00Z,88.2,0.0,4.0,-4.0
2026-08-12T16:54:57Z,2026-08-16T03:00:00Z,82.1,0.0,4.0,-4.0
2026-08-12T22:50:47Z,2026-08-16T03:00:00Z,76.2,0.92,4.0,-3.08
2026-08-12T06:05:22Z,2026-08-16T15:00:00Z,104.9,0.03,0.4,-0.37
2026-08-12T10:47:03Z,2026-08-16T15:00:00Z,100.2,0.0,0.4,-0.4
2026-08-12T16:54:57Z,2026-08-16T15:00:00Z,94.1,0.0,0.4,-0.4
2026-08-12T22:50:47Z,2026-08-16T15:00:00Z,88.2,0.72,0.4,0.32
2026-08-13T05:30:08Z,2026-08-16T15:00:00Z,81.5,1.11,0.4,0.71
2026-08-13T10:49:01Z,2026-08-16T15:00:00Z,76.2,1.89,0.4,1.49
2026-08-12T06:05:22Z,2026-08-17T03:00:00Z,116.9,0.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-17T03:00:00Z,112.2,0.69,0.0,0.69
2026-08-12T16:54:57Z,2026-08-17T03:00:00Z,106.1,0.69,0.0,0.69
2026-08-12T22:50:47Z,2026-08-17T03:00:00Z,100.2,0.01,0.0,0.01
2026-08-13T05:30:08Z,2026-08-17T03:00:00Z,93.5,0.01,0.0,0.01
2026-08-13T10:49:01Z,2026-08-17T03:00:00Z,88.2,0.06,0.0,0.06
2026-08-13T16:36:10Z,2026-08-17T03:00:00Z,82.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-17T03:00:00Z,82.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-17T03:00:00Z,82.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-17T03:00:00Z,76.1,0.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-17T15:00:00Z,118.1,0.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-17T15:00:00Z,112.2,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-17T15:00:00Z,105.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-17T15:00:00Z,100.2,0.03,0.0,0.03
2026-08-13T16:36:10Z,2026-08-17T15:00:00Z,94.4,0.03,0.0,0.03
2026-08-13T16:42:24Z,2026-08-17T15:00:00Z,94.3,0.03,0.0,0.03
2026-08-13T16:54:22Z,2026-08-17T15:00:00Z,94.1,0.03,0.0,0.03
2026-08-13T22:52:17Z,2026-08-17T15:00:00Z,88.1,0.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-17T15:00:00Z,81.5,0.0,0.0,0.0
2026-08-14T10:44:54Z,2026-08-17T15:00:00Z,76.3,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-18T03:00:00Z,117.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-18T03:00:00Z,112.2,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-18T03:00:00Z,106.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-18T03:00:00Z,106.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-18T03:00:00Z,106.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-18T03:00:00Z,100.1,13.64,0.0,13.64
2026-08-14T05:28:14Z,2026-08-18T03:00:00Z,93.5,13.64,0.0,13.64
2026-08-14T10:44:54Z,2026-08-18T03:00:00Z,88.3,0.0,0.0,0.0
2026-08-14T16:48:33Z,2026-08-18T03:00:00Z,82.2,0.0,0.0,0.0
2026-08-14T22:30:55Z,2026-08-18T03:00:00Z,76.5,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-18T15:00:00Z,118.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-18T15:00:00Z,118.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-18T15:00:00Z,118.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-18T15:00:00Z,112.1,0.28,0.0,0.28
2026-08-14T05:28:14Z,2026-08-18T15:00:00Z,105.5,0.28,0.0,0.28
2026-08-14T10:44:54Z,2026-08-18T15:00:00Z,100.3,1.55,0.0,1.55
2026-08-14T16:48:33Z,2026-08-18T15:00:00Z,94.2,1.55,0.0,1.55
2026-08-14T22:30:55Z,2026-08-18T15:00:00Z,88.5,0.06,0.0,0.06
2026-08-15T04:24:15Z,2026-08-18T15:00:00Z,82.6,0.0,0.0,0.0
2026-08-15T10:09:15Z,2026-08-18T15:00:00Z,76.8,0.37,0.0,0.37
2026-08-14T05:28:14Z,2026-08-19T03:00:00Z,117.5,0.0,0.0,0.0
2026-08-14T10:44:54Z,2026-08-19T03:00:00Z,112.3,0.07,0.0,0.07
2026-08-14T16:48:33Z,2026-08-19T03:00:00Z,106.2,0.07,0.0,0.07
2026-08-14T22:30:55Z,2026-08-19T03:00:00Z,100.5,0.0,0.0,0.0
2026-08-15T04:24:15Z,2026-08-19T03:00:00Z,94.6,0.0,0.0,0.0
2026-08-15T10:09:15Z,2026-08-19T03:00:00Z,88.8,0.53,0.0,0.53
2026-08-15T16:20:39Z,2026-08-19T03:00:00Z,82.7,0.0,0.0,0.0
2026-08-15T22:29:33Z,2026-08-19T03:00:00Z,76.5,0.0,0.0,0.0
2026-08-14T16:48:33Z,2026-08-19T15:00:00Z,118.2,0.0,0.0,0.0
2026-08-14T22:30:55Z,2026-08-19T15:00:00Z,112.5,0.28,0.0,0.28
2026-08-15T04:24:15Z,2026-08-19T15:00:00Z,106.6,0.28,0.0,0.28
2026-08-15T10:09:15Z,2026-08-19T15:00:00Z,100.8,9.91,0.0,9.91
2026-08-15T16:20:39Z,2026-08-19T15:00:00Z,94.7,9.91,0.0,9.91
2026-08-15T22:29:33Z,2026-08-19T15:00:00Z,88.5,1.47,0.0,1.47
2026-08-16T04:29:41Z,2026-08-19T15:00:00Z,82.5,1.08,0.0,1.08
2026-08-16T07:21:44Z,2026-08-19T15:00:00Z,79.6,0.79,0.0,0.79
2026-08-16T10:09:47Z,2026-08-19T15:00:00Z,76.8,0.79,0.0,0.79
