# Архангельск / Облачность / 5-10 дней / UKMO (Британия)
# n=330, MAE=13.158, RMSE=29.158, bias=-10.515
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (29.158/16.196)^2 = -2.2412  (RMSE_персистентности по 330 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,100.0,100.0,75.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,100.0,100.0,100.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,94.0,100.0,100.0,-6.0,6.0
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,97.0,100.0,12.5,-3.0,3.0
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,100.0,100.0,75.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,99.0,100.0,100.0,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,98.0,100.0,100.0,-2.0,2.0
2026-08-06T09:50:07Z,2026-08-12T21:00:00Z,155.2,99.0,100.0,100.0,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,100.0,100.0,100.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,100.0,100.0,75.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,100.0,100.0,100.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,94.0,100.0,100.0,-6.0,6.0
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,97.0,100.0,12.5,-3.0,3.0
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,100.0,100.0,75.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,100.0,100.0,87.5,0.0,0.0
