# Архангельск / Температура / 5-10 дней / GFS (США)
# n=63, MAE=6.371, RMSE=7.021, bias=-6.117
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (7.021/2.959)^2 = -4.6306  (RMSE_персистентности по 63 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,14.5,24.1,16.3,-9.6,9.6
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,12.7,19.2,16.3,-6.5,6.5
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,8.0,16.8,16.3,-8.8,8.8
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,6.7,16.3,16.3,-9.6,9.6
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,6.3,15.2,16.3,-8.9,8.9
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,8.8,14.5,16.3,-5.7,5.7
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,13.3,14.7,16.3,-1.4,1.4
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,16.8,15.2,16.3,1.6,1.6
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,14.5,24.1,16.3,-9.6,9.6
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,12.7,19.2,16.3,-6.5,6.5
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,8.0,16.8,16.3,-8.8,8.8
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,6.7,16.3,16.3,-9.6,9.6
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,6.3,15.2,16.3,-8.9,8.9
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,8.8,14.5,16.3,-5.7,5.7
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,13.3,14.7,16.3,-1.4,1.4
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,16.8,15.2,16.3,1.6,1.6
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,14.5,24.1,16.3,-9.6,9.6
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,12.7,19.2,16.3,-6.5,6.5
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,8.0,16.8,16.3,-8.8,8.8
2026-08-06T10:08:26Z,2026-08-11T21:00:00Z,130.9,6.7,16.3,16.3,-9.6,9.6
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,6.3,15.2,16.3,-8.9,8.9
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,8.8,14.5,16.3,-5.7,5.7
