# Архангельск / Облачность / 2-3 дня / Tomorrow.io
# n=205, MAE=15.377, RMSE=28.639, bias=-10.232
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (28.639/27.910)^2 = -0.0529  (RMSE_персистентности по 205 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,67.19,100.0,87.5,-32.81,32.81
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,29.69,87.5,87.5,-57.81,57.81
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,97.66,100.0,87.5,-2.34,2.34
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,100.0,87.5,100.0,12.5,12.5
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,85.16,100.0,100.0,-14.84,14.84
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,100.0,100.0,100.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,64.06,75.0,100.0,-10.94,10.94
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,80.47,100.0,100.0,-19.53,19.53
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,99.22,75.0,100.0,24.22,24.22
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,95.31,75.0,100.0,20.31,20.31
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,14.84,87.5,87.5,-72.66,72.66
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,1.56,75.0,100.0,-73.44,73.44
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,19.53,37.5,87.5,-17.97,17.97
2026-08-07T01:31:32Z,2026-08-10T00:00:00Z,70.5,75.0,37.5,87.5,37.5,37.5
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,80.47,100.0,100.0,-19.53,19.53
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,99.22,75.0,100.0,24.22,24.22
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,95.31,75.0,100.0,20.31,20.31
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,14.84,87.5,87.5,-72.66,72.66
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,1.56,75.0,100.0,-73.44,73.44
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,19.53,37.5,87.5,-17.97,17.97
2026-08-07T05:36:00Z,2026-08-10T00:00:00Z,66.4,75.0,37.5,87.5,37.5,37.5
2026-08-07T05:36:00Z,2026-08-10T03:00:00Z,69.4,84.38,87.5,100.0,-3.12,3.12
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,88.28,75.0,100.0,13.28,13.28
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,94.53,75.0,100.0,19.53,19.53
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,40.62,87.5,87.5,-46.88,46.88
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,1.56,75.0,100.0,-73.44,73.44
2026-08-07T06:18:59Z,2026-08-09T21:00:00Z,62.7,19.53,37.5,87.5,-17.97,17.97
2026-08-07T06:18:59Z,2026-08-10T00:00:00Z,65.7,75.0,37.5,87.5,37.5,37.5
2026-08-07T06:18:59Z,2026-08-10T03:00:00Z,68.7,84.38,87.5,100.0,-3.12,3.12
2026-08-07T06:18:59Z,2026-08-10T06:00:00Z,71.7,84.38,87.5,100.0,-3.12,3.12
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,88.28,75.0,100.0,13.28,13.28
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,94.53,75.0,100.0,19.53,19.53
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,40.62,87.5,87.5,-46.88,46.88
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,5.47,75.0,100.0,-69.53,69.53
2026-08-07T07:13:52Z,2026-08-09T21:00:00Z,61.8,6.25,37.5,87.5,-31.25,31.25
2026-08-07T07:13:52Z,2026-08-10T00:00:00Z,64.8,15.62,37.5,87.5,-21.88,21.88
2026-08-07T07:13:52Z,2026-08-10T03:00:00Z,67.8,71.09,87.5,100.0,-16.41,16.41
2026-08-07T07:13:52Z,2026-08-10T06:00:00Z,70.8,89.06,87.5,100.0,1.56,1.56
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,94.53,75.0,100.0,19.53,19.53
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,40.62,87.5,87.5,-46.88,46.88
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,5.47,75.0,100.0,-69.53,69.53
2026-08-07T10:39:14Z,2026-08-09T21:00:00Z,58.3,6.25,37.5,87.5,-31.25,31.25
2026-08-07T10:39:14Z,2026-08-10T00:00:00Z,61.3,15.62,37.5,87.5,-21.88,21.88
2026-08-07T10:39:14Z,2026-08-10T03:00:00Z,64.3,71.09,87.5,100.0,-16.41,16.41
2026-08-07T10:39:14Z,2026-08-10T06:00:00Z,67.3,89.06,87.5,100.0,1.56,1.56
2026-08-07T10:39:14Z,2026-08-10T09:00:00Z,70.3,91.41,87.5,75.0,3.91,3.91
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,15.62,75.0,100.0,-59.38,59.38
2026-08-07T16:51:54Z,2026-08-09T21:00:00Z,52.1,38.28,37.5,87.5,0.78,0.78
2026-08-07T16:51:54Z,2026-08-10T00:00:00Z,55.1,62.5,37.5,87.5,25.0,25.0
2026-08-07T16:51:54Z,2026-08-10T03:00:00Z,58.1,56.25,87.5,100.0,-31.25,31.25
2026-08-07T16:51:54Z,2026-08-10T06:00:00Z,61.1,96.88,87.5,100.0,9.38,9.38
2026-08-07T16:51:54Z,2026-08-10T09:00:00Z,64.1,100.0,87.5,75.0,12.5,12.5
2026-08-07T16:51:54Z,2026-08-10T12:00:00Z,67.1,75.78,87.5,75.0,-11.72,11.72
2026-08-07T16:51:54Z,2026-08-10T15:00:00Z,70.1,75.78,87.5,87.5,-11.72,11.72
2026-08-07T22:45:57Z,2026-08-10T00:00:00Z,49.2,35.94,37.5,87.5,-1.56,1.56
2026-08-07T22:45:57Z,2026-08-10T03:00:00Z,52.2,59.38,87.5,100.0,-28.12,28.12
2026-08-07T22:45:57Z,2026-08-10T06:00:00Z,55.2,77.34,87.5,100.0,-10.16,10.16
2026-08-07T22:45:57Z,2026-08-10T09:00:00Z,58.2,91.41,87.5,75.0,3.91,3.91
2026-08-07T22:45:57Z,2026-08-10T12:00:00Z,61.2,86.72,87.5,75.0,-0.78,0.78
2026-08-07T22:45:57Z,2026-08-10T15:00:00Z,64.2,91.41,87.5,87.5,3.91,3.91
2026-08-07T22:45:57Z,2026-08-10T18:00:00Z,67.2,23.44,75.0,75.0,-51.56,51.56
2026-08-07T22:45:57Z,2026-08-10T21:00:00Z,70.2,2.34,100.0,37.5,-97.66,97.66
2026-08-07T23:19:23Z,2026-08-10T00:00:00Z,48.7,35.94,37.5,87.5,-1.56,1.56
2026-08-07T23:19:23Z,2026-08-10T03:00:00Z,51.7,59.38,87.5,100.0,-28.12,28.12
2026-08-07T23:19:23Z,2026-08-10T06:00:00Z,54.7,77.34,87.5,100.0,-10.16,10.16
2026-08-07T23:19:23Z,2026-08-10T09:00:00Z,57.7,91.41,87.5,75.0,3.91,3.91
2026-08-07T23:19:23Z,2026-08-10T12:00:00Z,60.7,86.72,87.5,75.0,-0.78,0.78
2026-08-07T23:19:23Z,2026-08-10T15:00:00Z,63.7,91.41,87.5,87.5,3.91,3.91
2026-08-07T23:19:23Z,2026-08-10T18:00:00Z,66.7,23.44,75.0,75.0,-51.56,51.56
2026-08-07T23:19:23Z,2026-08-10T21:00:00Z,69.7,2.34,100.0,37.5,-97.66,97.66
2026-08-08T04:50:53Z,2026-08-10T06:00:00Z,49.2,75.78,87.5,100.0,-11.72,11.72
2026-08-08T04:50:53Z,2026-08-10T09:00:00Z,52.2,82.81,87.5,75.0,-4.69,4.69
2026-08-08T04:50:53Z,2026-08-10T12:00:00Z,55.2,86.72,87.5,75.0,-0.78,0.78
2026-08-08T04:50:53Z,2026-08-10T15:00:00Z,58.2,67.97,87.5,87.5,-19.53,19.53
2026-08-08T04:50:53Z,2026-08-10T18:00:00Z,61.2,39.06,75.0,75.0,-35.94,35.94
2026-08-08T04:50:53Z,2026-08-10T21:00:00Z,64.2,5.47,100.0,37.5,-94.53,94.53
2026-08-08T04:50:53Z,2026-08-11T00:00:00Z,67.2,53.91,100.0,37.5,-46.09,46.09
2026-08-08T04:50:53Z,2026-08-11T03:00:00Z,70.2,10.94,12.5,87.5,-1.56,1.56
