# Архангельск / Облачность / 2-3 дня / Tomorrow.io
# n=37, MAE=31.863, RMSE=39.859, bias=-21.052
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (39.859/26.236)^2 = -1.3081  (RMSE_персистентности по 37 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,67.19,100.0,87.5,-32.81,32.81
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,29.69,87.5,87.5,-57.81,57.81
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,97.66,100.0,87.5,-2.34,2.34
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,100.0,87.5,100.0,12.5,12.5
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,85.16,100.0,100.0,-14.84,14.84
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,100.0,100.0,100.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,64.06,75.0,100.0,-10.94,10.94
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,80.47,100.0,100.0,-19.53,19.53
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,99.22,75.0,100.0,24.22,24.22
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,95.31,75.0,100.0,20.31,20.31
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,14.84,87.5,87.5,-72.66,72.66
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,1.56,75.0,100.0,-73.44,73.44
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,19.53,37.5,87.5,-17.97,17.97
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,80.47,100.0,100.0,-19.53,19.53
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,99.22,75.0,100.0,24.22,24.22
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,95.31,75.0,100.0,20.31,20.31
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,14.84,87.5,87.5,-72.66,72.66
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,1.56,75.0,100.0,-73.44,73.44
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,19.53,37.5,87.5,-17.97,17.97
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,88.28,75.0,100.0,13.28,13.28
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,94.53,75.0,100.0,19.53,19.53
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,40.62,87.5,87.5,-46.88,46.88
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,1.56,75.0,100.0,-73.44,73.44
2026-08-07T06:18:59Z,2026-08-09T21:00:00Z,62.7,19.53,37.5,87.5,-17.97,17.97
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,88.28,75.0,100.0,13.28,13.28
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,94.53,75.0,100.0,19.53,19.53
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,40.62,87.5,87.5,-46.88,46.88
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,5.47,75.0,100.0,-69.53,69.53
2026-08-07T07:13:52Z,2026-08-09T21:00:00Z,61.8,6.25,37.5,87.5,-31.25,31.25
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,94.53,75.0,100.0,19.53,19.53
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,40.62,87.5,87.5,-46.88,46.88
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,5.47,75.0,100.0,-69.53,69.53
2026-08-07T10:39:14Z,2026-08-09T21:00:00Z,58.3,6.25,37.5,87.5,-31.25,31.25
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,15.62,75.0,100.0,-59.38,59.38
2026-08-07T16:51:54Z,2026-08-09T21:00:00Z,52.1,38.28,37.5,87.5,0.78,0.78
