# Архангельск / Облачность / 0-6ч / Яндекс.Погода
# n=41, MAE=18.598, RMSE=25.191, bias=-9.695
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (25.191/22.086)^2 = -0.3009  (RMSE_персистентности по 41 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-16T07:21:44Z,2026-08-16T12:00:00Z,4.6,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-16T12:00:00Z,1.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T16:21:00Z,2026-08-16T18:00:00Z,1.6,55.0,25.0,87.5,30.0,30.0
2026-08-17T04:35:30Z,2026-08-17T06:00:00Z,1.4,5.0,75.0,12.5,-70.0,70.0
2026-08-17T10:18:11Z,2026-08-17T12:00:00Z,1.7,25.0,75.0,75.0,-50.0,50.0
2026-08-17T16:23:45Z,2026-08-17T18:00:00Z,1.6,25.0,87.5,75.0,-62.5,62.5
2026-08-18T04:30:05Z,2026-08-18T06:00:00Z,1.5,55.0,87.5,37.5,-32.5,32.5
2026-08-18T10:14:55Z,2026-08-18T12:00:00Z,1.8,95.0,100.0,87.5,-5.0,5.0
2026-08-18T16:27:50Z,2026-08-18T18:00:00Z,1.5,55.0,25.0,75.0,30.0,30.0
2026-08-19T04:31:14Z,2026-08-19T06:00:00Z,1.5,95.0,100.0,100.0,-5.0,5.0
2026-08-19T10:14:48Z,2026-08-19T12:00:00Z,1.8,55.0,87.5,87.5,-32.5,32.5
2026-08-19T16:28:17Z,2026-08-19T18:00:00Z,1.5,95.0,100.0,100.0,-5.0,5.0
2026-08-20T04:31:56Z,2026-08-20T06:00:00Z,1.5,95.0,100.0,75.0,-5.0,5.0
2026-08-20T10:16:10Z,2026-08-20T12:00:00Z,1.7,95.0,87.5,100.0,7.5,7.5
2026-08-20T16:31:45Z,2026-08-20T18:00:00Z,1.5,95.0,100.0,87.5,-5.0,5.0
2026-08-21T04:32:20Z,2026-08-21T06:00:00Z,1.5,55.0,62.5,87.5,-7.5,7.5
2026-08-21T10:16:50Z,2026-08-21T12:00:00Z,1.7,55.0,87.5,75.0,-32.5,32.5
2026-08-21T16:30:34Z,2026-08-21T18:00:00Z,1.5,55.0,100.0,87.5,-45.0,45.0
2026-08-22T04:26:43Z,2026-08-22T06:00:00Z,1.6,95.0,100.0,100.0,-5.0,5.0
2026-08-22T10:09:41Z,2026-08-22T12:00:00Z,1.8,95.0,75.0,87.5,20.0,20.0
2026-08-22T16:20:08Z,2026-08-22T18:00:00Z,1.7,55.0,87.5,87.5,-32.5,32.5
2026-08-23T04:31:06Z,2026-08-23T06:00:00Z,1.5,55.0,87.5,37.5,-32.5,32.5
2026-08-23T10:10:14Z,2026-08-23T12:00:00Z,1.8,95.0,100.0,87.5,-5.0,5.0
2026-08-23T16:21:17Z,2026-08-23T18:00:00Z,1.6,95.0,100.0,100.0,-5.0,5.0
2026-08-24T04:38:48Z,2026-08-24T06:00:00Z,1.4,95.0,100.0,100.0,-5.0,5.0
2026-08-24T10:24:38Z,2026-08-24T12:00:00Z,1.6,95.0,100.0,100.0,-5.0,5.0
2026-08-24T16:34:00Z,2026-08-24T18:00:00Z,1.4,95.0,100.0,100.0,-5.0,5.0
2026-08-25T04:33:15Z,2026-08-25T06:00:00Z,1.4,95.0,100.0,100.0,-5.0,5.0
2026-08-25T10:18:20Z,2026-08-25T12:00:00Z,1.7,95.0,87.5,100.0,7.5,7.5
2026-08-25T16:33:53Z,2026-08-25T18:00:00Z,1.4,95.0,87.5,87.5,7.5,7.5
2026-08-26T04:34:15Z,2026-08-26T06:00:00Z,1.4,55.0,87.5,87.5,-32.5,32.5
2026-08-26T10:21:58Z,2026-08-26T12:00:00Z,1.6,95.0,100.0,100.0,-5.0,5.0
2026-08-26T16:46:17Z,2026-08-26T18:00:00Z,1.2,25.0,12.5,25.0,12.5,12.5
2026-08-27T03:02:51Z,2026-08-27T06:00:00Z,3.0,55.0,87.5,87.5,-32.5,32.5
2026-08-27T14:55:44Z,2026-08-27T18:00:00Z,3.1,55.0,87.5,75.0,-32.5,32.5
2026-08-27T20:01:22Z,2026-08-28T00:00:00Z,4.0,95.0,100.0,87.5,-5.0,5.0
2026-08-28T00:44:37Z,2026-08-28T06:00:00Z,5.3,95.0,87.5,100.0,7.5,7.5
2026-08-28T06:03:31Z,2026-08-28T12:00:00Z,5.9,95.0,75.0,87.5,20.0,20.0
2026-08-28T15:51:06Z,2026-08-28T18:00:00Z,2.1,25.0,0.0,25.0,25.0,25.0
2026-08-29T00:23:24Z,2026-08-29T06:00:00Z,5.6,5.0,12.5,0.0,-7.5,7.5
2026-08-29T03:37:28Z,2026-08-29T06:00:00Z,2.4,5.0,12.5,0.0,-7.5,7.5
