# Нови-Сад / Температура / 5-10 дней / Yr (Норвегия)
# n=177, MAE=2.066, RMSE=2.610, bias=+1.201
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.610/3.063)^2 = 0.2735  (RMSE_персистентности по 177 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,34.4,36.7,34.1,-2.3,2.3
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,31.1,33.0,31.8,-1.9,1.9
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,25.1,27.7,25.5,-2.6,2.6
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,27.1,23.6,26.8,3.5,3.5
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,36.2,32.1,36.7,4.1,4.1
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,32.0,28.4,33.0,3.6,3.6
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,26.9,23.3,27.7,3.6,3.6
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,26.8,20.2,23.6,6.6,6.6
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,35.6,29.4,32.1,6.2,6.2
2026-08-06T09:50:07Z,2026-08-13T18:00:00Z,176.2,31.5,27.7,28.4,3.8,3.8
2026-08-06T09:50:07Z,2026-08-14T00:00:00Z,182.2,25.9,22.0,23.3,3.9,3.9
2026-08-06T09:50:07Z,2026-08-14T06:00:00Z,188.2,26.0,23.4,20.2,2.6,2.6
2026-08-06T09:50:07Z,2026-08-14T12:00:00Z,194.2,35.5,31.8,29.4,3.7,3.7
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,34.4,36.7,34.1,-2.3,2.3
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,31.1,33.0,31.8,-1.9,1.9
