# Нови-Сад / Температура / 3-5 дней / Apple Погода
# n=109, MAE=1.651, RMSE=2.106, bias=-1.614
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.106/2.104)^2 = -0.0019  (RMSE_персистентности по 109 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,32.35,32.4,31.4,-0.05,0.05
2026-08-06T11:36:01Z,2026-08-09T13:00:00Z,73.4,32.73,32.7,32.0,0.03,0.03
2026-08-06T11:36:01Z,2026-08-09T14:00:00Z,74.4,32.87,33.2,31.3,-0.33,0.33
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,32.24,33.1,32.0,-0.86,0.86
2026-08-06T11:36:01Z,2026-08-09T16:00:00Z,76.4,30.98,32.2,31.3,-1.22,1.22
2026-08-06T11:36:01Z,2026-08-09T17:00:00Z,77.4,29.15,30.8,30.0,-1.65,1.65
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,27.17,29.7,29.2,-2.53,2.53
2026-08-06T11:36:01Z,2026-08-09T19:00:00Z,79.4,25.53,28.3,28.4,-2.77,2.77
2026-08-06T11:36:01Z,2026-08-09T20:00:00Z,80.4,23.89,27.3,27.6,-3.41,3.41
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,22.53,26.6,26.6,-4.07,4.07
2026-08-06T11:36:01Z,2026-08-09T22:00:00Z,82.4,21.38,24.9,25.4,-3.52,3.52
2026-08-06T11:36:01Z,2026-08-09T23:00:00Z,83.4,20.44,24.0,24.9,-3.56,3.56
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,19.69,23.3,24.2,-3.61,3.61
2026-08-06T11:36:01Z,2026-08-10T01:00:00Z,85.4,18.97,22.9,23.8,-3.93,3.93
2026-08-06T11:36:01Z,2026-08-10T02:00:00Z,86.4,18.44,23.1,22.8,-4.66,4.66
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,18.66,22.6,21.3,-3.94,3.94
2026-08-06T11:36:01Z,2026-08-10T04:00:00Z,88.4,20.08,21.3,20.7,-1.22,1.22
2026-08-06T11:36:01Z,2026-08-10T05:00:00Z,89.4,22.18,24.9,21.8,-2.72,2.72
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,24.25,26.2,23.2,-1.95,1.95
2026-08-06T11:36:01Z,2026-08-10T07:00:00Z,91.4,26.77,28.3,24.7,-1.53,1.53
2026-08-06T11:36:01Z,2026-08-10T08:00:00Z,92.4,29.59,30.6,27.1,-1.01,1.01
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,31.8,32.5,28.8,-0.7,0.7
2026-08-06T11:36:01Z,2026-08-10T10:00:00Z,94.4,33.09,32.7,30.1,0.39,0.39
2026-08-06T11:36:01Z,2026-08-10T11:00:00Z,95.4,33.44,33.2,30.8,0.24,0.24
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,33.87,34.1,32.4,-0.23,0.23
2026-08-06T11:36:01Z,2026-08-10T13:00:00Z,97.4,34.06,34.1,32.7,-0.04,0.04
2026-08-06T11:36:01Z,2026-08-10T14:00:00Z,98.4,34.13,34.6,33.2,-0.47,0.47
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,33.38,34.7,33.1,-1.32,1.32
2026-08-06T11:36:01Z,2026-08-10T16:00:00Z,100.4,31.86,34.0,32.2,-2.14,2.14
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,32.48,32.4,31.4,0.08,0.08
2026-08-06T11:44:08Z,2026-08-09T13:00:00Z,73.3,32.88,32.7,32.0,0.18,0.18
2026-08-06T11:44:08Z,2026-08-09T14:00:00Z,74.3,32.88,33.2,31.3,-0.32,0.32
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,32.37,33.1,32.0,-0.73,0.73
2026-08-06T11:44:08Z,2026-08-09T16:00:00Z,76.3,30.98,32.2,31.3,-1.22,1.22
2026-08-06T11:44:08Z,2026-08-09T17:00:00Z,77.3,29.16,30.8,30.0,-1.64,1.64
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,27.22,29.7,29.2,-2.48,2.48
2026-08-06T11:44:08Z,2026-08-09T19:00:00Z,79.3,25.51,28.3,28.4,-2.79,2.79
2026-08-06T11:44:08Z,2026-08-09T20:00:00Z,80.3,23.97,27.3,27.6,-3.33,3.33
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,22.53,26.6,26.6,-4.07,4.07
2026-08-06T11:44:08Z,2026-08-09T22:00:00Z,82.3,21.36,24.9,25.4,-3.54,3.54
2026-08-06T11:44:08Z,2026-08-09T23:00:00Z,83.3,20.4,24.0,24.9,-3.6,3.6
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,19.65,23.3,24.2,-3.65,3.65
2026-08-06T11:44:08Z,2026-08-10T01:00:00Z,85.3,18.91,22.9,23.8,-3.99,3.99
2026-08-06T11:44:08Z,2026-08-10T02:00:00Z,86.3,18.36,23.1,22.8,-4.74,4.74
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,18.67,22.6,21.3,-3.93,3.93
2026-08-06T11:44:08Z,2026-08-10T04:00:00Z,88.3,20.02,21.3,20.7,-1.28,1.28
2026-08-06T11:44:08Z,2026-08-10T05:00:00Z,89.3,22.06,24.9,21.8,-2.84,2.84
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,24.44,26.2,23.2,-1.76,1.76
2026-08-06T11:44:08Z,2026-08-10T07:00:00Z,91.3,27.0,28.3,24.7,-1.3,1.3
2026-08-06T11:44:08Z,2026-08-10T08:00:00Z,92.3,29.61,30.6,27.1,-0.99,0.99
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,31.7,32.5,28.8,-0.8,0.8
2026-08-06T11:44:08Z,2026-08-10T10:00:00Z,94.3,32.99,32.7,30.1,0.29,0.29
2026-08-06T11:44:08Z,2026-08-10T11:00:00Z,95.3,33.34,33.2,30.8,0.14,0.14
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,33.76,34.1,32.4,-0.34,0.34
2026-08-06T11:44:08Z,2026-08-10T13:00:00Z,97.3,34.13,34.1,32.7,0.03,0.03
2026-08-06T11:44:08Z,2026-08-10T14:00:00Z,98.3,34.25,34.6,33.2,-0.35,0.35
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,33.38,34.7,33.1,-1.32,1.32
2026-08-06T11:44:08Z,2026-08-10T16:00:00Z,100.3,31.86,34.0,32.2,-2.14,2.14
2026-08-07T01:31:32Z,2026-08-10T02:00:00Z,72.5,18.21,23.1,22.8,-4.89,4.89
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,18.27,22.6,21.3,-4.33,4.33
2026-08-07T01:31:32Z,2026-08-10T04:00:00Z,74.5,19.18,21.3,20.7,-2.12,2.12
2026-08-07T01:31:32Z,2026-08-10T05:00:00Z,75.5,21.18,24.9,21.8,-3.72,3.72
