# Нови-Сад / Ветер / 1-2 дня / ARPEGE (Франция)
# n=1356, MAE=1.524, RMSE=1.954, bias=+1.166
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.954/1.238)^2 = -1.4911  (RMSE_персистентности по 1356 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T10:00:00Z,24.2,3.22,1.0,2.0,2.22,2.22
2026-08-06T09:50:07Z,2026-08-07T11:00:00Z,25.2,3.89,2.0,2.0,1.89,1.89
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,4.53,2.0,2.0,2.53,2.53
2026-08-06T09:50:07Z,2026-08-07T13:00:00Z,27.2,3.74,2.0,2.0,1.74,1.74
2026-08-06T09:50:07Z,2026-08-07T14:00:00Z,28.2,4.47,2.0,2.0,2.47,2.47
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,3.25,2.0,2.0,1.25,1.25
2026-08-06T09:50:07Z,2026-08-07T16:00:00Z,30.2,4.32,2.0,2.0,2.32,2.32
2026-08-06T09:50:07Z,2026-08-07T17:00:00Z,31.2,2.61,4.0,2.0,-1.39,1.39
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,5.45,4.0,2.0,1.45,1.45
2026-08-06T09:50:07Z,2026-08-07T19:00:00Z,33.2,4.06,3.0,2.0,1.06,1.06
2026-08-06T09:50:07Z,2026-08-07T20:00:00Z,34.2,5.66,1.0,2.0,4.66,4.66
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,5.48,2.0,2.0,3.48,3.48
2026-08-06T09:50:07Z,2026-08-07T22:00:00Z,36.2,4.74,2.0,2.0,2.74,2.74
2026-08-06T09:50:07Z,2026-08-07T23:00:00Z,37.2,3.37,1.0,2.0,2.37,2.37
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,2.8,1.0,2.0,1.8,1.8
2026-08-06T09:50:07Z,2026-08-08T01:00:00Z,39.2,2.47,2.0,2.0,0.47,0.47
2026-08-06T09:50:07Z,2026-08-08T02:00:00Z,40.2,2.28,2.0,2.0,0.28,0.28
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,2.12,3.0,2.0,-0.88,0.88
2026-08-06T09:50:07Z,2026-08-08T04:00:00Z,42.2,4.65,3.0,2.0,1.65,1.65
2026-08-06T09:50:07Z,2026-08-08T05:00:00Z,43.2,4.18,1.0,2.0,3.18,3.18
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,3.7,2.0,2.0,1.7,1.7
2026-08-06T09:50:07Z,2026-08-08T07:00:00Z,45.2,2.88,2.0,2.0,0.88,0.88
2026-08-06T09:50:07Z,2026-08-08T08:00:00Z,46.2,3.33,2.0,2.0,1.33,1.33
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,3.22,1.0,2.0,2.22,2.22
2026-08-06T09:59:18Z,2026-08-07T10:00:00Z,24.0,3.22,1.0,2.0,2.22,2.22
2026-08-06T09:59:18Z,2026-08-07T11:00:00Z,25.0,3.89,2.0,2.0,1.89,1.89
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,4.53,2.0,2.0,2.53,2.53
2026-08-06T09:59:18Z,2026-08-07T13:00:00Z,27.0,3.74,2.0,2.0,1.74,1.74
2026-08-06T09:59:18Z,2026-08-07T14:00:00Z,28.0,4.47,2.0,2.0,2.47,2.47
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,3.25,2.0,2.0,1.25,1.25
2026-08-06T09:59:18Z,2026-08-07T16:00:00Z,30.0,4.32,2.0,2.0,2.32,2.32
2026-08-06T09:59:18Z,2026-08-07T17:00:00Z,31.0,2.61,4.0,2.0,-1.39,1.39
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,5.45,4.0,2.0,1.45,1.45
2026-08-06T09:59:18Z,2026-08-07T19:00:00Z,33.0,4.06,3.0,2.0,1.06,1.06
2026-08-06T09:59:18Z,2026-08-07T20:00:00Z,34.0,5.66,1.0,2.0,4.66,4.66
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,5.48,2.0,2.0,3.48,3.48
2026-08-06T09:59:18Z,2026-08-07T22:00:00Z,36.0,4.74,2.0,2.0,2.74,2.74
2026-08-06T09:59:18Z,2026-08-07T23:00:00Z,37.0,3.37,1.0,2.0,2.37,2.37
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,2.8,1.0,2.0,1.8,1.8
2026-08-06T09:59:18Z,2026-08-08T01:00:00Z,39.0,2.47,2.0,2.0,0.47,0.47
2026-08-06T09:59:18Z,2026-08-08T02:00:00Z,40.0,2.28,2.0,2.0,0.28,0.28
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,2.12,3.0,2.0,-0.88,0.88
2026-08-06T09:59:18Z,2026-08-08T04:00:00Z,42.0,4.65,3.0,2.0,1.65,1.65
2026-08-06T09:59:18Z,2026-08-08T05:00:00Z,43.0,4.18,1.0,2.0,3.18,3.18
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,3.7,2.0,2.0,1.7,1.7
2026-08-06T09:59:18Z,2026-08-08T07:00:00Z,45.0,2.88,2.0,2.0,0.88,0.88
2026-08-06T09:59:18Z,2026-08-08T08:00:00Z,46.0,3.33,2.0,2.0,1.33,1.33
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,3.22,1.0,2.0,2.22,2.22
2026-08-06T10:08:26Z,2026-08-07T11:00:00Z,24.9,3.89,2.0,3.0,1.89,1.89
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,4.53,2.0,3.0,2.53,2.53
2026-08-06T10:08:26Z,2026-08-07T13:00:00Z,26.9,3.74,2.0,3.0,1.74,1.74
2026-08-06T10:08:26Z,2026-08-07T14:00:00Z,27.9,4.47,2.0,3.0,2.47,2.47
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,3.25,2.0,3.0,1.25,1.25
2026-08-06T10:08:26Z,2026-08-07T16:00:00Z,29.9,4.32,2.0,3.0,2.32,2.32
2026-08-06T10:08:26Z,2026-08-07T17:00:00Z,30.9,2.61,4.0,3.0,-1.39,1.39
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,5.45,4.0,3.0,1.45,1.45
2026-08-06T10:08:26Z,2026-08-07T19:00:00Z,32.9,4.06,3.0,3.0,1.06,1.06
2026-08-06T10:08:26Z,2026-08-07T20:00:00Z,33.9,5.66,1.0,3.0,4.66,4.66
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,5.48,2.0,3.0,3.48,3.48
2026-08-06T10:08:26Z,2026-08-07T22:00:00Z,35.9,4.74,2.0,3.0,2.74,2.74
2026-08-06T10:08:26Z,2026-08-07T23:00:00Z,36.9,3.37,1.0,3.0,2.37,2.37
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,2.8,1.0,3.0,1.8,1.8
2026-08-06T10:08:26Z,2026-08-08T01:00:00Z,38.9,2.47,2.0,3.0,0.47,0.47
2026-08-06T10:08:26Z,2026-08-08T02:00:00Z,39.9,2.28,2.0,3.0,0.28,0.28
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,2.12,3.0,3.0,-0.88,0.88
2026-08-06T10:08:26Z,2026-08-08T04:00:00Z,41.9,4.65,3.0,3.0,1.65,1.65
2026-08-06T10:08:26Z,2026-08-08T05:00:00Z,42.9,4.18,1.0,3.0,3.18,3.18
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,3.7,2.0,3.0,1.7,1.7
2026-08-06T10:08:26Z,2026-08-08T07:00:00Z,44.9,2.88,2.0,3.0,0.88,0.88
2026-08-06T10:08:26Z,2026-08-08T08:00:00Z,45.9,3.33,2.0,3.0,1.33,1.33
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,3.22,1.0,3.0,2.22,2.22
2026-08-06T10:08:26Z,2026-08-08T10:00:00Z,47.9,2.85,2.0,3.0,0.85,0.85
2026-08-06T10:47:54Z,2026-08-07T11:00:00Z,24.2,4.62,2.0,3.0,2.62,2.62
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,4.67,2.0,3.0,2.67,2.67
2026-08-06T10:47:54Z,2026-08-07T13:00:00Z,26.2,4.84,2.0,3.0,2.84,2.84
2026-08-06T10:47:54Z,2026-08-07T14:00:00Z,27.2,5.42,2.0,3.0,3.42,3.42
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,5.51,2.0,3.0,3.51,3.51
2026-08-06T10:47:54Z,2026-08-07T16:00:00Z,29.2,6.26,2.0,3.0,4.26,4.26
2026-08-06T10:47:54Z,2026-08-07T17:00:00Z,30.2,6.87,4.0,3.0,2.87,2.87
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,5.06,4.0,3.0,1.06,1.06
2026-08-06T10:47:54Z,2026-08-07T19:00:00Z,32.2,5.9,3.0,3.0,2.9,2.9
2026-08-06T10:47:54Z,2026-08-07T20:00:00Z,33.2,6.36,1.0,3.0,5.36,5.36
2026-08-06T10:47:54Z,2026-08-07T21:00:00Z,34.2,6.28,2.0,3.0,4.28,4.28
2026-08-06T10:47:54Z,2026-08-07T22:00:00Z,35.2,5.68,2.0,3.0,3.68,3.68
2026-08-06T10:47:54Z,2026-08-07T23:00:00Z,36.2,5.13,1.0,3.0,4.13,4.13
2026-08-06T10:47:54Z,2026-08-08T00:00:00Z,37.2,4.63,1.0,3.0,3.63,3.63
2026-08-06T10:47:54Z,2026-08-08T01:00:00Z,38.2,4.3,2.0,3.0,2.3,2.3
2026-08-06T10:47:54Z,2026-08-08T02:00:00Z,39.2,3.3,2.0,3.0,1.3,1.3
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,3.86,3.0,3.0,0.86,0.86
2026-08-06T10:47:54Z,2026-08-08T04:00:00Z,41.2,4.25,3.0,3.0,1.25,1.25
2026-08-06T10:47:54Z,2026-08-08T05:00:00Z,42.2,3.89,1.0,3.0,2.89,2.89
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,4.41,2.0,3.0,2.41,2.41
2026-08-06T10:47:54Z,2026-08-08T07:00:00Z,44.2,3.91,2.0,3.0,1.91,1.91
2026-08-06T10:47:54Z,2026-08-08T08:00:00Z,45.2,4.27,2.0,3.0,2.27,2.27
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,4.2,1.0,3.0,3.2,3.2
2026-08-06T10:47:54Z,2026-08-08T10:00:00Z,47.2,3.58,2.0,3.0,1.58,1.58
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,4.67,2.0,3.0,2.67,2.67
2026-08-06T11:30:42Z,2026-08-07T13:00:00Z,25.5,4.84,2.0,3.0,2.84,2.84
2026-08-06T11:30:42Z,2026-08-07T14:00:00Z,26.5,5.42,2.0,3.0,3.42,3.42
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,5.51,2.0,3.0,3.51,3.51
2026-08-06T11:30:42Z,2026-08-07T16:00:00Z,28.5,6.26,2.0,3.0,4.26,4.26
2026-08-06T11:30:42Z,2026-08-07T17:00:00Z,29.5,6.87,4.0,3.0,2.87,2.87
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,5.06,4.0,3.0,1.06,1.06
2026-08-06T11:30:42Z,2026-08-07T19:00:00Z,31.5,5.9,3.0,3.0,2.9,2.9
2026-08-06T11:30:42Z,2026-08-07T20:00:00Z,32.5,6.36,1.0,3.0,5.36,5.36
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,6.28,2.0,3.0,4.28,4.28
2026-08-06T11:30:42Z,2026-08-07T22:00:00Z,34.5,5.68,2.0,3.0,3.68,3.68
2026-08-06T11:30:42Z,2026-08-07T23:00:00Z,35.5,5.13,1.0,3.0,4.13,4.13
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,4.63,1.0,3.0,3.63,3.63
2026-08-06T11:30:42Z,2026-08-08T01:00:00Z,37.5,4.3,2.0,3.0,2.3,2.3
2026-08-06T11:30:42Z,2026-08-08T02:00:00Z,38.5,3.3,2.0,3.0,1.3,1.3
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,3.86,3.0,3.0,0.86,0.86
2026-08-06T11:30:42Z,2026-08-08T04:00:00Z,40.5,4.25,3.0,3.0,1.25,1.25
2026-08-06T11:30:42Z,2026-08-08T05:00:00Z,41.5,3.89,1.0,3.0,2.89,2.89
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,4.41,2.0,3.0,2.41,2.41
2026-08-06T11:30:42Z,2026-08-08T07:00:00Z,43.5,3.91,2.0,3.0,1.91,1.91
2026-08-06T11:30:42Z,2026-08-08T08:00:00Z,44.5,4.27,2.0,3.0,2.27,2.27
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,4.2,1.0,3.0,3.2,3.2
2026-08-06T11:30:42Z,2026-08-08T10:00:00Z,46.5,3.58,2.0,3.0,1.58,1.58
2026-08-06T11:30:42Z,2026-08-08T11:00:00Z,47.5,3.2,2.0,3.0,1.2,1.2
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,4.67,2.0,3.0,2.67,2.67
2026-08-06T11:36:01Z,2026-08-07T13:00:00Z,25.4,4.84,2.0,3.0,2.84,2.84
2026-08-06T11:36:01Z,2026-08-07T14:00:00Z,26.4,5.42,2.0,3.0,3.42,3.42
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,5.51,2.0,3.0,3.51,3.51
2026-08-06T11:36:01Z,2026-08-07T16:00:00Z,28.4,6.26,2.0,3.0,4.26,4.26
