# Нови-Сад / Температура / 2-3 дня / Яндекс.Погода
# n=112, MAE=1.496, RMSE=1.763, bias=-1.230
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.763/3.713)^2 = 0.7747  (RMSE_персистентности по 112 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-15T19:00:00Z,50.4,28.0,26.6,27.2,1.4,1.4
2026-08-13T16:36:10Z,2026-08-16T01:00:00Z,56.4,22.0,22.2,22.9,-0.2,0.2
2026-08-13T16:36:10Z,2026-08-16T07:00:00Z,62.4,25.0,26.0,25.7,-1.0,1.0
2026-08-13T16:36:10Z,2026-08-16T13:00:00Z,68.4,33.0,33.6,32.0,-0.6,0.6
2026-08-13T16:42:24Z,2026-08-15T19:00:00Z,50.3,28.0,26.6,27.2,1.4,1.4
2026-08-13T16:42:24Z,2026-08-16T01:00:00Z,56.3,22.0,22.2,22.9,-0.2,0.2
2026-08-13T16:42:24Z,2026-08-16T07:00:00Z,62.3,25.0,26.0,25.7,-1.0,1.0
2026-08-13T16:42:24Z,2026-08-16T13:00:00Z,68.3,33.0,33.6,32.0,-0.6,0.6
2026-08-13T16:54:22Z,2026-08-15T19:00:00Z,50.1,28.0,26.6,27.2,1.4,1.4
2026-08-13T16:54:22Z,2026-08-16T01:00:00Z,56.1,22.0,22.2,22.9,-0.2,0.2
2026-08-13T16:54:22Z,2026-08-16T07:00:00Z,62.1,25.0,26.0,25.7,-1.0,1.0
2026-08-13T16:54:22Z,2026-08-16T13:00:00Z,68.1,33.0,33.6,32.0,-0.6,0.6
2026-08-13T22:52:17Z,2026-08-16T01:00:00Z,50.1,21.0,22.2,22.9,-1.2,1.2
2026-08-13T22:52:17Z,2026-08-16T07:00:00Z,56.1,25.0,26.0,25.7,-1.0,1.0
2026-08-13T22:52:17Z,2026-08-16T13:00:00Z,62.1,33.0,33.6,32.0,-0.6,0.6
2026-08-13T22:52:17Z,2026-08-16T19:00:00Z,68.1,29.0,28.5,26.6,0.5,0.5
2026-08-14T05:28:14Z,2026-08-16T07:00:00Z,49.5,25.0,26.0,25.7,-1.0,1.0
2026-08-14T05:28:14Z,2026-08-16T13:00:00Z,55.5,33.0,33.6,32.0,-0.6,0.6
2026-08-14T05:28:14Z,2026-08-16T19:00:00Z,61.5,29.0,28.5,26.6,0.5,0.5
2026-08-14T05:28:14Z,2026-08-17T01:00:00Z,67.5,22.0,23.9,22.2,-1.9,1.9
2026-08-14T10:44:54Z,2026-08-16T13:00:00Z,50.3,33.0,33.6,32.0,-0.6,0.6
2026-08-14T10:44:54Z,2026-08-16T19:00:00Z,56.3,29.0,28.5,26.6,0.5,0.5
2026-08-14T10:44:54Z,2026-08-17T01:00:00Z,62.3,21.0,23.9,22.2,-2.9,2.9
2026-08-14T10:44:54Z,2026-08-17T07:00:00Z,68.3,26.0,27.7,26.0,-1.7,1.7
2026-08-14T16:48:33Z,2026-08-16T19:00:00Z,50.2,29.0,28.5,26.6,0.5,0.5
2026-08-14T16:48:33Z,2026-08-17T01:00:00Z,56.2,21.0,23.9,22.2,-2.9,2.9
2026-08-14T16:48:33Z,2026-08-17T07:00:00Z,62.2,26.0,27.7,26.0,-1.7,1.7
2026-08-14T16:48:33Z,2026-08-17T13:00:00Z,68.2,34.0,35.6,33.6,-1.6,1.6
2026-08-14T22:30:55Z,2026-08-17T01:00:00Z,50.5,21.0,23.9,22.2,-2.9,2.9
2026-08-14T22:30:55Z,2026-08-17T07:00:00Z,56.5,26.0,27.7,26.0,-1.7,1.7
2026-08-14T22:30:55Z,2026-08-17T13:00:00Z,62.5,34.0,35.6,33.6,-1.6,1.6
2026-08-14T22:30:55Z,2026-08-17T19:00:00Z,68.5,27.0,30.3,28.5,-3.3,3.3
2026-08-15T04:24:15Z,2026-08-17T07:00:00Z,50.6,26.0,27.7,26.0,-1.7,1.7
2026-08-15T04:24:15Z,2026-08-17T13:00:00Z,56.6,35.0,35.6,33.6,-0.6,0.6
2026-08-15T04:24:15Z,2026-08-17T19:00:00Z,62.6,28.0,30.3,28.5,-2.3,2.3
2026-08-15T04:24:15Z,2026-08-18T01:00:00Z,68.6,20.0,23.1,23.9,-3.1,3.1
2026-08-15T10:09:15Z,2026-08-17T13:00:00Z,50.8,34.0,35.6,33.6,-1.6,1.6
2026-08-15T10:09:15Z,2026-08-17T19:00:00Z,56.8,28.0,30.3,28.5,-2.3,2.3
2026-08-15T10:09:15Z,2026-08-18T01:00:00Z,62.8,20.0,23.1,23.9,-3.1,3.1
2026-08-15T10:09:15Z,2026-08-18T07:00:00Z,68.8,20.0,19.6,27.7,0.4,0.4
2026-08-15T16:20:39Z,2026-08-17T19:00:00Z,50.7,29.0,30.3,28.5,-1.3,1.3
2026-08-15T16:20:39Z,2026-08-18T01:00:00Z,56.7,20.0,23.1,23.9,-3.1,3.1
2026-08-15T16:20:39Z,2026-08-18T07:00:00Z,62.7,20.0,19.6,27.7,0.4,0.4
2026-08-15T16:20:39Z,2026-08-18T13:00:00Z,68.7,26.0,28.4,35.6,-2.4,2.4
