# Нови-Сад / Облачность / 3-5 дней / Apple Погода
# n=41, MAE=3.146, RMSE=4.859, bias=+1.683
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (4.859/3.904)^2 = -0.5488  (RMSE_персистентности по 41 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:36:01Z,2026-08-09T13:00:00Z,73.4,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:36:01Z,2026-08-09T14:00:00Z,74.4,3.0,0.0,12.5,3.0,3.0
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,2.0,0.0,12.5,2.0,2.0
2026-08-06T11:36:01Z,2026-08-09T16:00:00Z,76.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-09T17:00:00Z,77.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T07:00:00Z,91.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-10T08:00:00Z,92.4,8.0,0.0,0.0,8.0,8.0
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:36:01Z,2026-08-10T10:00:00Z,94.4,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:44:08Z,2026-08-09T13:00:00Z,73.3,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:44:08Z,2026-08-09T14:00:00Z,74.3,3.0,0.0,12.5,3.0,3.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,2.0,0.0,12.5,2.0,2.0
2026-08-06T11:44:08Z,2026-08-09T16:00:00Z,76.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-09T17:00:00Z,77.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T07:00:00Z,91.3,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:44:08Z,2026-08-10T08:00:00Z,92.3,8.0,0.0,0.0,8.0,8.0
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:44:08Z,2026-08-10T10:00:00Z,94.3,11.0,0.0,0.0,11.0,11.0
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T07:00:00Z,77.5,2.0,0.0,0.0,2.0,2.0
2026-08-07T01:31:32Z,2026-08-10T08:00:00Z,78.5,4.0,0.0,0.0,4.0,4.0
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,5.0,0.0,0.0,5.0,5.0
2026-08-07T01:31:32Z,2026-08-10T10:00:00Z,80.5,6.0,0.0,0.0,6.0,6.0
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T07:00:00Z,73.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T08:00:00Z,74.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T10:00:00Z,76.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T07:00:00Z,72.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T08:00:00Z,73.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T10:00:00Z,75.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-10T08:00:00Z,72.8,0.0,0.0,0.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-10T09:00:00Z,73.8,0.0,0.0,0.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-10T10:00:00Z,74.8,0.0,0.0,0.0,0.0,0.0
