# Нови-Сад / Облачность / 3-5 дней / Apple Погода
# n=717, MAE=7.060, RMSE=13.834, bias=+0.163
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (13.834/22.143)^2 = 0.6097  (RMSE_персистентности по 717 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:36:01Z,2026-08-09T13:00:00Z,73.4,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:36:01Z,2026-08-09T14:00:00Z,74.4,3.0,0.0,12.5,3.0,3.0
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,2.0,0.0,12.5,2.0,2.0
2026-08-06T11:36:01Z,2026-08-09T16:00:00Z,76.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-09T17:00:00Z,77.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T07:00:00Z,91.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-10T08:00:00Z,92.4,8.0,0.0,0.0,8.0,8.0
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:36:01Z,2026-08-10T10:00:00Z,94.4,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:36:01Z,2026-08-10T11:00:00Z,95.4,10.0,12.5,0.0,-2.5,2.5
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,9.0,0.0,12.5,9.0,9.0
2026-08-06T11:36:01Z,2026-08-10T13:00:00Z,97.4,8.0,0.0,12.5,8.0,8.0
2026-08-06T11:36:01Z,2026-08-10T14:00:00Z,98.4,5.0,0.0,0.0,5.0,5.0
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-10T16:00:00Z,100.4,2.0,0.0,0.0,2.0,2.0
2026-08-06T11:36:01Z,2026-08-10T17:00:00Z,101.4,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T06:00:00Z,114.4,2.0,0.0,0.0,2.0,2.0
2026-08-06T11:36:01Z,2026-08-11T07:00:00Z,115.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-11T08:00:00Z,116.4,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:36:01Z,2026-08-11T09:00:00Z,117.4,5.0,0.0,0.0,5.0,5.0
2026-08-06T11:36:01Z,2026-08-11T10:00:00Z,118.4,9.0,0.0,0.0,9.0,9.0
2026-08-06T11:36:01Z,2026-08-11T11:00:00Z,119.4,14.0,0.0,12.5,14.0,14.0
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:44:08Z,2026-08-09T13:00:00Z,73.3,5.0,12.5,12.5,-7.5,7.5
2026-08-06T11:44:08Z,2026-08-09T14:00:00Z,74.3,3.0,0.0,12.5,3.0,3.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,2.0,0.0,12.5,2.0,2.0
2026-08-06T11:44:08Z,2026-08-09T16:00:00Z,76.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-09T17:00:00Z,77.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T07:00:00Z,91.3,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:44:08Z,2026-08-10T08:00:00Z,92.3,8.0,0.0,0.0,8.0,8.0
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:44:08Z,2026-08-10T10:00:00Z,94.3,11.0,0.0,0.0,11.0,11.0
2026-08-06T11:44:08Z,2026-08-10T11:00:00Z,95.3,10.0,12.5,0.0,-2.5,2.5
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,9.0,0.0,12.5,9.0,9.0
2026-08-06T11:44:08Z,2026-08-10T13:00:00Z,97.3,7.0,0.0,12.5,7.0,7.0
2026-08-06T11:44:08Z,2026-08-10T14:00:00Z,98.3,5.0,0.0,0.0,5.0,5.0
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:44:08Z,2026-08-10T16:00:00Z,100.3,2.0,0.0,0.0,2.0,2.0
2026-08-06T11:44:08Z,2026-08-10T17:00:00Z,101.3,1.0,0.0,0.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T06:00:00Z,114.3,2.0,0.0,0.0,2.0,2.0
2026-08-06T11:44:08Z,2026-08-11T07:00:00Z,115.3,3.0,0.0,0.0,3.0,3.0
2026-08-06T11:44:08Z,2026-08-11T08:00:00Z,116.3,5.0,0.0,0.0,5.0,5.0
2026-08-06T11:44:08Z,2026-08-11T09:00:00Z,117.3,7.0,0.0,0.0,7.0,7.0
2026-08-06T11:44:08Z,2026-08-11T10:00:00Z,118.3,10.0,0.0,0.0,10.0,10.0
2026-08-06T11:44:08Z,2026-08-11T11:00:00Z,119.3,15.0,0.0,12.5,15.0,15.0
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T07:00:00Z,77.5,2.0,0.0,0.0,2.0,2.0
2026-08-07T01:31:32Z,2026-08-10T08:00:00Z,78.5,4.0,0.0,0.0,4.0,4.0
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,5.0,0.0,0.0,5.0,5.0
2026-08-07T01:31:32Z,2026-08-10T10:00:00Z,80.5,6.0,0.0,0.0,6.0,6.0
2026-08-07T01:31:32Z,2026-08-10T11:00:00Z,81.5,6.0,12.5,0.0,-6.5,6.5
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,7.0,0.0,12.5,7.0,7.0
2026-08-07T01:31:32Z,2026-08-10T13:00:00Z,83.5,10.0,0.0,12.5,10.0,10.0
2026-08-07T01:31:32Z,2026-08-10T14:00:00Z,84.5,4.0,0.0,0.0,4.0,4.0
2026-08-07T01:31:32Z,2026-08-10T15:00:00Z,85.5,1.0,0.0,0.0,1.0,1.0
2026-08-07T01:31:32Z,2026-08-10T16:00:00Z,86.5,1.0,0.0,0.0,1.0,1.0
2026-08-07T01:31:32Z,2026-08-10T17:00:00Z,87.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T18:00:00Z,88.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T06:00:00Z,100.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T07:00:00Z,101.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T08:00:00Z,102.5,1.0,0.0,0.0,1.0,1.0
2026-08-07T01:31:32Z,2026-08-11T09:00:00Z,103.5,2.0,0.0,0.0,2.0,2.0
2026-08-07T01:31:32Z,2026-08-11T10:00:00Z,104.5,8.0,0.0,0.0,8.0,8.0
2026-08-07T01:31:32Z,2026-08-11T11:00:00Z,105.5,16.0,0.0,12.5,16.0,16.0
2026-08-07T01:31:32Z,2026-08-11T12:00:00Z,106.5,22.0,0.0,0.0,22.0,22.0
2026-08-07T01:31:32Z,2026-08-11T13:00:00Z,107.5,28.0,0.0,0.0,28.0,28.0
2026-08-07T01:31:32Z,2026-08-11T14:00:00Z,108.5,33.0,0.0,0.0,33.0,33.0
2026-08-07T01:31:32Z,2026-08-11T15:00:00Z,109.5,38.0,0.0,0.0,38.0,38.0
2026-08-07T01:31:32Z,2026-08-11T16:00:00Z,110.5,39.0,0.0,0.0,39.0,39.0
2026-08-07T01:31:32Z,2026-08-11T17:00:00Z,111.5,32.0,0.0,0.0,32.0,32.0
2026-08-07T01:31:32Z,2026-08-11T18:00:00Z,112.5,22.0,0.0,0.0,22.0,22.0
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T07:00:00Z,73.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T08:00:00Z,74.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T10:00:00Z,76.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T11:00:00Z,77.4,0.0,12.5,0.0,-12.5,12.5
2026-08-07T05:36:00Z,2026-08-10T12:00:00Z,78.4,1.0,0.0,12.5,1.0,1.0
2026-08-07T05:36:00Z,2026-08-10T13:00:00Z,79.4,6.0,0.0,12.5,6.0,6.0
2026-08-07T05:36:00Z,2026-08-10T14:00:00Z,80.4,1.0,0.0,0.0,1.0,1.0
2026-08-07T05:36:00Z,2026-08-10T15:00:00Z,81.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T16:00:00Z,82.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T17:00:00Z,83.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T18:00:00Z,84.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T06:00:00Z,96.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T07:00:00Z,97.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T08:00:00Z,98.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T09:00:00Z,99.4,1.0,0.0,0.0,1.0,1.0
2026-08-07T05:36:00Z,2026-08-11T10:00:00Z,100.4,4.0,0.0,0.0,4.0,4.0
2026-08-07T05:36:00Z,2026-08-11T11:00:00Z,101.4,7.0,0.0,12.5,7.0,7.0
2026-08-07T05:36:00Z,2026-08-11T12:00:00Z,102.4,10.0,0.0,0.0,10.0,10.0
2026-08-07T05:36:00Z,2026-08-11T13:00:00Z,103.4,12.0,0.0,0.0,12.0,12.0
2026-08-07T05:36:00Z,2026-08-11T14:00:00Z,104.4,13.0,0.0,0.0,13.0,13.0
2026-08-07T05:36:00Z,2026-08-11T15:00:00Z,105.4,18.0,0.0,0.0,18.0,18.0
2026-08-07T05:36:00Z,2026-08-11T16:00:00Z,106.4,24.0,0.0,0.0,24.0,24.0
2026-08-07T05:36:00Z,2026-08-11T17:00:00Z,107.4,27.0,0.0,0.0,27.0,27.0
2026-08-07T05:36:00Z,2026-08-11T18:00:00Z,108.4,24.0,0.0,0.0,24.0,24.0
2026-08-07T06:18:59Z,2026-08-10T07:00:00Z,72.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T08:00:00Z,73.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,0.0,0.0,0.0,0.0,0.0
