# Нови-Сад / Ветер / 1-2 дня / Яндекс.Погода
# n=287, MAE=1.325, RMSE=1.590, bias=+1.052
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.590/1.622)^2 = 0.0388  (RMSE_персистентности по 287 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-14T19:00:00Z,26.4,2.0,1.0,0.0,1.0,1.0
2026-08-13T16:36:10Z,2026-08-15T01:00:00Z,32.4,2.7,4.0,1.0,-1.3,1.3
2026-08-13T16:36:10Z,2026-08-15T07:00:00Z,38.4,5.3,4.0,3.0,1.3,1.3
2026-08-13T16:36:10Z,2026-08-15T13:00:00Z,44.4,4.6,3.0,2.0,1.6,1.6
2026-08-13T16:42:24Z,2026-08-14T19:00:00Z,26.3,2.0,1.0,0.0,1.0,1.0
2026-08-13T16:42:24Z,2026-08-15T01:00:00Z,32.3,2.7,4.0,1.0,-1.3,1.3
2026-08-13T16:42:24Z,2026-08-15T07:00:00Z,38.3,5.3,4.0,3.0,1.3,1.3
2026-08-13T16:42:24Z,2026-08-15T13:00:00Z,44.3,4.6,3.0,2.0,1.6,1.6
2026-08-13T16:54:22Z,2026-08-14T19:00:00Z,26.1,2.0,1.0,0.0,1.0,1.0
2026-08-13T16:54:22Z,2026-08-15T01:00:00Z,32.1,2.7,4.0,1.0,-1.3,1.3
2026-08-13T16:54:22Z,2026-08-15T07:00:00Z,38.1,5.4,4.0,3.0,1.4,1.4
2026-08-13T16:54:22Z,2026-08-15T13:00:00Z,44.1,4.6,3.0,2.0,1.6,1.6
2026-08-13T22:52:17Z,2026-08-15T01:00:00Z,26.1,2.5,4.0,1.0,-1.5,1.5
2026-08-13T22:52:17Z,2026-08-15T07:00:00Z,32.1,5.3,4.0,3.0,1.3,1.3
2026-08-13T22:52:17Z,2026-08-15T13:00:00Z,38.1,4.6,3.0,2.0,1.6,1.6
2026-08-13T22:52:17Z,2026-08-15T19:00:00Z,44.1,4.1,2.0,1.0,2.1,2.1
