# Нови-Сад / Ветер / 1-2 дня / Яндекс.Погода
# n=26, MAE=1.423, RMSE=1.461, bias=+1.008
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.461/1.414)^2 = -0.0673  (RMSE_персистентности по 26 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-14T19:00:00Z,26.4,2.0,1.0,3.0,1.0,1.0
2026-08-13T16:36:10Z,2026-08-15T01:00:00Z,32.4,2.7,4.0,3.0,-1.3,1.3
2026-08-13T16:36:10Z,2026-08-15T07:00:00Z,38.4,5.3,4.0,3.0,1.3,1.3
2026-08-13T16:36:10Z,2026-08-15T13:00:00Z,44.4,4.6,3.0,3.0,1.6,1.6
2026-08-13T16:42:24Z,2026-08-14T19:00:00Z,26.3,2.0,1.0,3.0,1.0,1.0
2026-08-13T16:42:24Z,2026-08-15T01:00:00Z,32.3,2.7,4.0,3.0,-1.3,1.3
2026-08-13T16:42:24Z,2026-08-15T07:00:00Z,38.3,5.3,4.0,3.0,1.3,1.3
2026-08-13T16:42:24Z,2026-08-15T13:00:00Z,44.3,4.6,3.0,3.0,1.6,1.6
2026-08-13T16:54:22Z,2026-08-14T19:00:00Z,26.1,2.0,1.0,3.0,1.0,1.0
2026-08-13T16:54:22Z,2026-08-15T01:00:00Z,32.1,2.7,4.0,3.0,-1.3,1.3
2026-08-13T16:54:22Z,2026-08-15T07:00:00Z,38.1,5.4,4.0,3.0,1.4,1.4
2026-08-13T16:54:22Z,2026-08-15T13:00:00Z,44.1,4.6,3.0,3.0,1.6,1.6
2026-08-13T22:52:17Z,2026-08-15T01:00:00Z,26.1,2.5,4.0,2.0,-1.5,1.5
2026-08-13T22:52:17Z,2026-08-15T07:00:00Z,32.1,5.3,4.0,2.0,1.3,1.3
2026-08-13T22:52:17Z,2026-08-15T13:00:00Z,38.1,4.6,3.0,2.0,1.6,1.6
2026-08-13T22:52:17Z,2026-08-15T19:00:00Z,44.1,4.1,2.0,2.0,2.1,2.1
2026-08-14T05:28:14Z,2026-08-15T07:00:00Z,25.5,5.4,4.0,1.0,1.4,1.4
2026-08-14T05:28:14Z,2026-08-15T13:00:00Z,31.5,4.8,3.0,1.0,1.8,1.8
2026-08-14T05:28:14Z,2026-08-15T19:00:00Z,37.5,3.9,2.0,1.0,1.9,1.9
2026-08-14T05:28:14Z,2026-08-16T01:00:00Z,43.5,3.0,2.0,1.0,1.0,1.0
2026-08-14T10:44:54Z,2026-08-15T13:00:00Z,26.3,4.5,3.0,1.0,1.5,1.5
2026-08-14T10:44:54Z,2026-08-15T19:00:00Z,32.3,4.0,2.0,1.0,2.0,2.0
2026-08-14T10:44:54Z,2026-08-16T01:00:00Z,38.3,3.0,2.0,1.0,1.0,1.0
2026-08-14T16:48:33Z,2026-08-15T19:00:00Z,26.2,4.0,2.0,2.0,2.0,2.0
2026-08-14T16:48:33Z,2026-08-16T01:00:00Z,32.2,3.2,2.0,2.0,1.2,1.2
2026-08-14T22:30:55Z,2026-08-16T01:00:00Z,26.5,3.0,2.0,4.0,1.0,1.0
