# Нови-Сад / Облачность / 1-2 дня / Yr (Норвегия)
# n=548, MAE=8.642, RMSE=17.963, bias=+0.312
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (17.963/22.604)^2 = 0.3685  (RMSE_персистентности по 548 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T10:00:00Z,24.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-07T11:00:00Z,25.2,4.7,0.0,12.5,4.7,4.7
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,19.5,0.0,25.0,19.5,19.5
2026-08-06T09:50:07Z,2026-08-07T13:00:00Z,27.2,65.6,12.5,50.0,53.1,53.1
2026-08-06T09:50:07Z,2026-08-07T14:00:00Z,28.2,92.2,25.0,62.5,67.2,67.2
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,16.4,25.0,87.5,-8.6,8.6
2026-08-06T09:50:07Z,2026-08-07T16:00:00Z,30.2,9.4,37.5,87.5,-28.1,28.1
2026-08-06T09:50:07Z,2026-08-07T17:00:00Z,31.2,40.6,12.5,87.5,28.1,28.1
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,58.6,75.0,75.0,-16.4,16.4
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,0.8,0.0,12.5,0.8,0.8
2026-08-06T09:50:07Z,2026-08-08T07:00:00Z,45.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T08:00:00Z,46.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-07T10:00:00Z,24.0,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-07T11:00:00Z,25.0,4.7,0.0,12.5,4.7,4.7
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,19.5,0.0,25.0,19.5,19.5
2026-08-06T09:59:18Z,2026-08-07T13:00:00Z,27.0,65.6,12.5,50.0,53.1,53.1
2026-08-06T09:59:18Z,2026-08-07T14:00:00Z,28.0,92.2,25.0,62.5,67.2,67.2
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,16.4,25.0,87.5,-8.6,8.6
2026-08-06T09:59:18Z,2026-08-07T16:00:00Z,30.0,9.4,37.5,87.5,-28.1,28.1
2026-08-06T09:59:18Z,2026-08-07T17:00:00Z,31.0,40.6,12.5,87.5,28.1,28.1
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,58.6,75.0,75.0,-16.4,16.4
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,0.8,0.0,12.5,0.8,0.8
2026-08-06T09:59:18Z,2026-08-08T07:00:00Z,45.0,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T08:00:00Z,46.0,0.8,0.0,0.0,0.8,0.8
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-07T11:00:00Z,24.9,4.7,0.0,12.5,4.7,4.7
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,19.5,0.0,25.0,19.5,19.5
2026-08-06T10:08:26Z,2026-08-07T13:00:00Z,26.9,65.6,12.5,50.0,53.1,53.1
2026-08-06T10:08:26Z,2026-08-07T14:00:00Z,27.9,92.2,25.0,62.5,67.2,67.2
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,16.4,25.0,87.5,-8.6,8.6
2026-08-06T10:08:26Z,2026-08-07T16:00:00Z,29.9,9.4,37.5,87.5,-28.1,28.1
2026-08-06T10:08:26Z,2026-08-07T17:00:00Z,30.9,40.6,12.5,87.5,28.1,28.1
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,58.6,75.0,75.0,-16.4,16.4
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,0.8,0.0,12.5,0.8,0.8
2026-08-06T10:08:26Z,2026-08-08T07:00:00Z,44.9,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-08T08:00:00Z,45.9,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:08:26Z,2026-08-08T10:00:00Z,47.9,10.9,0.0,0.0,10.9,10.9
2026-08-06T10:47:54Z,2026-08-07T11:00:00Z,24.2,4.7,0.0,12.5,4.7,4.7
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,19.5,0.0,25.0,19.5,19.5
2026-08-06T10:47:54Z,2026-08-07T13:00:00Z,26.2,65.6,12.5,50.0,53.1,53.1
2026-08-06T10:47:54Z,2026-08-07T14:00:00Z,27.2,92.2,25.0,62.5,67.2,67.2
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,16.4,25.0,87.5,-8.6,8.6
2026-08-06T10:47:54Z,2026-08-07T16:00:00Z,29.2,9.4,37.5,87.5,-28.1,28.1
2026-08-06T10:47:54Z,2026-08-07T17:00:00Z,30.2,40.6,12.5,87.5,28.1,28.1
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,58.6,75.0,75.0,-16.4,16.4
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,0.8,0.0,12.5,0.8,0.8
2026-08-06T10:47:54Z,2026-08-08T07:00:00Z,44.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-08T08:00:00Z,45.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,0.8,0.0,0.0,0.8,0.8
2026-08-06T10:47:54Z,2026-08-08T10:00:00Z,47.2,10.9,0.0,0.0,10.9,10.9
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,19.5,0.0,25.0,19.5,19.5
2026-08-06T11:30:42Z,2026-08-07T13:00:00Z,25.5,65.6,12.5,50.0,53.1,53.1
2026-08-06T11:30:42Z,2026-08-07T14:00:00Z,26.5,92.2,25.0,62.5,67.2,67.2
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,16.4,25.0,87.5,-8.6,8.6
2026-08-06T11:30:42Z,2026-08-07T16:00:00Z,28.5,9.4,37.5,87.5,-28.1,28.1
2026-08-06T11:30:42Z,2026-08-07T17:00:00Z,29.5,40.6,12.5,87.5,28.1,28.1
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,58.6,75.0,75.0,-16.4,16.4
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,0.8,0.0,12.5,0.8,0.8
2026-08-06T11:30:42Z,2026-08-08T07:00:00Z,43.5,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:30:42Z,2026-08-08T08:00:00Z,44.5,0.8,0.0,0.0,0.8,0.8
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,0.8,0.0,0.0,0.8,0.8
2026-08-06T11:30:42Z,2026-08-08T10:00:00Z,46.5,10.9,0.0,0.0,10.9,10.9
2026-08-06T11:30:42Z,2026-08-08T11:00:00Z,47.5,13.3,12.5,0.0,0.8,0.8
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,19.5,0.0,25.0,19.5,19.5
2026-08-06T11:36:01Z,2026-08-07T13:00:00Z,25.4,65.6,12.5,50.0,53.1,53.1
2026-08-06T11:36:01Z,2026-08-07T14:00:00Z,26.4,92.2,25.0,62.5,67.2,67.2
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,16.4,25.0,87.5,-8.6,8.6
2026-08-06T11:36:01Z,2026-08-07T16:00:00Z,28.4,9.4,37.5,87.5,-28.1,28.1
2026-08-06T11:36:01Z,2026-08-07T17:00:00Z,29.4,40.6,12.5,87.5,28.1,28.1
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,58.6,75.0,75.0,-16.4,16.4
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,0.8,0.0,12.5,0.8,0.8
2026-08-06T11:36:01Z,2026-08-08T07:00:00Z,43.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-08T08:00:00Z,44.4,0.8,0.0,0.0,0.8,0.8
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,0.8,0.0,0.0,0.8,0.8
2026-08-06T11:36:01Z,2026-08-08T10:00:00Z,46.4,10.9,0.0,0.0,10.9,10.9
2026-08-06T11:36:01Z,2026-08-08T11:00:00Z,47.4,13.3,12.5,0.0,0.8,0.8
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,19.5,0.0,25.0,19.5,19.5
