# Нови-Сад / Ветер / 2-3 дня / Tomorrow.io
# n=221, MAE=0.888, RMSE=1.127, bias=-0.296
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.127/0.932)^2 = -0.4632  (RMSE_персистентности по 221 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,3.0,2.0,3.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-08T13:00:00Z,49.3,3.0,2.0,3.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-08T14:00:00Z,50.3,3.1,2.0,3.0,1.1,1.1
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,3.2,2.0,3.0,1.2,1.2
2026-08-06T11:44:08Z,2026-08-08T16:00:00Z,52.3,3.1,2.0,3.0,1.1,1.1
2026-08-06T11:44:08Z,2026-08-08T17:00:00Z,53.3,2.3,2.0,3.0,0.3,0.3
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,2.1,1.0,3.0,1.1,1.1
2026-08-06T11:44:08Z,2026-08-08T19:00:00Z,55.3,3.1,1.0,3.0,2.1,2.1
2026-08-06T11:44:08Z,2026-08-08T20:00:00Z,56.3,2.9,1.0,3.0,1.9,1.9
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,2.7,1.0,3.0,1.7,1.7
2026-08-06T11:44:08Z,2026-08-08T22:00:00Z,58.3,2.6,3.0,3.0,-0.4,0.4
2026-08-06T11:44:08Z,2026-08-08T23:00:00Z,59.3,2.3,2.0,3.0,0.3,0.3
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,1.8,3.0,3.0,-1.2,1.2
2026-08-06T11:44:08Z,2026-08-09T01:00:00Z,61.3,1.6,2.0,3.0,-0.4,0.4
2026-08-06T11:44:08Z,2026-08-09T02:00:00Z,62.3,1.4,1.0,3.0,0.4,0.4
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,1.3,1.0,3.0,0.3,0.3
2026-08-06T11:44:08Z,2026-08-09T04:00:00Z,64.3,1.0,1.0,3.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T05:00:00Z,65.3,0.9,1.0,3.0,-0.1,0.1
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,1.0,1.0,3.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T07:00:00Z,67.3,1.1,1.0,3.0,0.1,0.1
2026-08-06T11:44:08Z,2026-08-09T08:00:00Z,68.3,1.4,1.0,3.0,0.4,0.4
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,2.0,2.0,3.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T10:00:00Z,70.3,2.4,2.0,3.0,0.4,0.4
2026-08-06T11:44:08Z,2026-08-09T11:00:00Z,71.3,2.5,2.0,3.0,0.5,0.5
2026-08-07T01:31:32Z,2026-08-09T02:00:00Z,48.5,1.5,1.0,1.0,0.5,0.5
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,1.4,1.0,1.0,0.4,0.4
2026-08-07T01:31:32Z,2026-08-09T04:00:00Z,50.5,1.3,1.0,1.0,0.3,0.3
2026-08-07T01:31:32Z,2026-08-09T05:00:00Z,51.5,1.2,1.0,1.0,0.2,0.2
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,1.5,1.0,1.0,0.5,0.5
2026-08-07T01:31:32Z,2026-08-09T07:00:00Z,53.5,1.5,1.0,1.0,0.5,0.5
