# Нови-Сад / Температура / 5-10 дней / Apple Погода
# n=354, MAE=1.755, RMSE=2.135, bias=-0.800
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.135/3.523)^2 = 0.6326  (RMSE_персистентности по 354 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,35.77,36.7,34.1,-0.93,0.93
2026-08-06T11:36:01Z,2026-08-11T13:00:00Z,121.4,35.62,37.1,34.1,-1.48,1.48
2026-08-06T11:36:01Z,2026-08-11T14:00:00Z,122.4,35.3,37.7,34.6,-2.4,2.4
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,34.56,37.3,34.7,-2.74,2.74
2026-08-06T11:36:01Z,2026-08-11T16:00:00Z,124.4,33.12,36.2,34.0,-3.08,3.08
2026-08-06T11:36:01Z,2026-08-11T17:00:00Z,125.4,31.31,34.9,32.8,-3.59,3.59
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,29.71,33.0,31.8,-3.29,3.29
2026-08-06T11:36:01Z,2026-08-11T19:00:00Z,127.4,28.32,31.2,29.7,-2.88,2.88
2026-08-06T11:36:01Z,2026-08-11T20:00:00Z,128.4,26.94,29.6,29.3,-2.66,2.66
2026-08-06T11:36:01Z,2026-08-11T21:00:00Z,129.4,25.61,28.3,27.1,-2.69,2.69
2026-08-06T11:36:01Z,2026-08-11T22:00:00Z,130.4,24.34,29.1,26.6,-4.76,4.76
2026-08-06T11:36:01Z,2026-08-11T23:00:00Z,131.4,23.3,29.2,26.2,-5.9,5.9
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,22.56,27.7,25.5,-5.14,5.14
2026-08-06T11:36:01Z,2026-08-12T01:00:00Z,133.4,21.99,26.2,23.9,-4.21,4.21
2026-08-06T11:36:01Z,2026-08-12T02:00:00Z,134.4,21.53,25.1,23.2,-3.57,3.57
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,21.8,24.0,22.4,-2.2,2.2
2026-08-06T11:36:01Z,2026-08-12T04:00:00Z,136.4,22.3,23.2,22.2,-0.9,0.9
2026-08-06T11:36:01Z,2026-08-12T05:00:00Z,137.4,23.22,23.3,24.5,-0.08,0.08
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,24.24,23.6,26.8,0.64,0.64
2026-08-06T11:36:01Z,2026-08-12T07:00:00Z,139.4,25.89,24.2,29.0,1.69,1.69
2026-08-06T11:36:01Z,2026-08-12T08:00:00Z,140.4,27.84,24.7,30.6,3.14,3.14
2026-08-06T11:36:01Z,2026-08-12T09:00:00Z,141.4,29.88,27.9,32.0,1.98,1.98
2026-08-06T11:36:01Z,2026-08-12T10:00:00Z,142.4,31.68,29.8,34.7,1.88,1.88
2026-08-06T11:36:01Z,2026-08-12T11:00:00Z,143.4,33.1,31.5,35.7,1.6,1.6
2026-08-06T11:36:01Z,2026-08-12T12:00:00Z,144.4,34.14,32.1,36.7,2.04,2.04
2026-08-06T11:36:01Z,2026-08-12T13:00:00Z,145.4,34.25,33.2,37.1,1.05,1.05
2026-08-06T11:36:01Z,2026-08-12T14:00:00Z,146.4,33.78,32.9,37.7,0.88,0.88
2026-08-06T11:36:01Z,2026-08-12T15:00:00Z,147.4,32.88,32.4,37.3,0.48,0.48
2026-08-06T11:36:01Z,2026-08-12T16:00:00Z,148.4,31.82,31.3,36.2,0.52,0.52
2026-08-06T11:36:01Z,2026-08-12T17:00:00Z,149.4,30.59,30.0,34.9,0.59,0.59
2026-08-06T11:36:01Z,2026-08-12T18:00:00Z,150.4,29.16,28.4,33.0,0.76,0.76
2026-08-06T11:36:01Z,2026-08-12T19:00:00Z,151.4,27.88,27.0,31.2,0.88,0.88
2026-08-06T11:36:01Z,2026-08-12T20:00:00Z,152.4,26.43,26.3,29.6,0.13,0.13
2026-08-06T11:36:01Z,2026-08-12T21:00:00Z,153.4,24.99,25.5,28.3,-0.51,0.51
2026-08-06T11:36:01Z,2026-08-12T22:00:00Z,154.4,23.55,24.8,29.1,-1.25,1.25
2026-08-06T11:36:01Z,2026-08-12T23:00:00Z,155.4,22.22,23.8,29.2,-1.58,1.58
2026-08-06T11:36:01Z,2026-08-13T00:00:00Z,156.4,21.13,23.3,27.7,-2.17,2.17
2026-08-06T11:36:01Z,2026-08-13T01:00:00Z,157.4,21.68,22.0,26.2,-0.32,0.32
2026-08-06T11:36:01Z,2026-08-13T02:00:00Z,158.4,21.19,20.5,25.1,0.69,0.69
2026-08-06T11:36:01Z,2026-08-13T03:00:00Z,159.4,21.09,19.9,24.0,1.19,1.19
