# Нови-Сад / Осадки / 3-5 дней / Tomorrow.io
# n=464, порог дождя = 0.2 мм
# POD=0.3888888888888889, FAR=0.7878787878787878, CSI=0.1590909090909091, MAE=0.167 мм, bias=+0.147 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-09T12:48:15Z,2026-08-12T18:00:00Z,77.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-12T18:00:00Z,73.5,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-13T06:00:00Z,89.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-13T06:00:00Z,85.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-13T06:00:00Z,79.3,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-13T06:00:00Z,72.7,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-13T18:00:00Z,101.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-13T18:00:00Z,97.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-13T18:00:00Z,91.3,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-13T18:00:00Z,84.7,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-13T18:00:00Z,79.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-13T18:00:00Z,73.1,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-14T06:00:00Z,113.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-14T06:00:00Z,109.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-14T06:00:00Z,103.3,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-14T06:00:00Z,96.7,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-14T06:00:00Z,91.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-14T06:00:00Z,85.1,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-14T06:00:00Z,79.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-14T06:00:00Z,73.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-14T12:00:00Z,115.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-14T12:00:00Z,109.3,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-14T12:00:00Z,102.7,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-14T12:00:00Z,97.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-14T12:00:00Z,91.1,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-14T12:00:00Z,85.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-14T12:00:00Z,79.0,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-14T12:00:00Z,73.4,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-14T18:00:00Z,115.3,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-14T18:00:00Z,108.7,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-14T18:00:00Z,103.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-14T18:00:00Z,97.1,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-14T18:00:00Z,91.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-14T18:00:00Z,85.0,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-14T18:00:00Z,79.4,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-15T06:00:00Z,115.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-15T06:00:00Z,109.1,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-15T06:00:00Z,103.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-15T06:00:00Z,97.0,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-15T06:00:00Z,91.4,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-15T18:00:00Z,115.2,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-15T18:00:00Z,109.0,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-15T18:00:00Z,103.4,0.0,0.0,0.0
2026-08-12T06:05:22Z,2026-08-15T18:00:00Z,83.9,0.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-15T18:00:00Z,79.2,0.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-15T18:00:00Z,73.1,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-16T06:00:00Z,115.4,0.0,0.0,0.0
2026-08-12T06:05:22Z,2026-08-16T06:00:00Z,95.9,0.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-16T06:00:00Z,91.2,0.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-16T06:00:00Z,85.1,0.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-16T06:00:00Z,79.2,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-16T06:00:00Z,72.5,0.0,0.0,0.0
2026-08-12T06:05:22Z,2026-08-16T18:00:00Z,107.9,0.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-16T18:00:00Z,103.2,0.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-16T18:00:00Z,97.1,0.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-16T18:00:00Z,91.2,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-16T18:00:00Z,84.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-16T18:00:00Z,79.2,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-16T18:00:00Z,73.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-16T18:00:00Z,73.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-16T18:00:00Z,73.1,0.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-17T06:00:00Z,115.2,0.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-17T06:00:00Z,109.1,0.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-17T06:00:00Z,103.2,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-17T06:00:00Z,96.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-17T06:00:00Z,91.2,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-17T06:00:00Z,85.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-17T06:00:00Z,85.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-17T06:00:00Z,85.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-17T06:00:00Z,79.1,0.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-17T06:00:00Z,72.5,0.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-17T12:00:00Z,115.1,0.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-17T12:00:00Z,109.2,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-17T12:00:00Z,102.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-17T12:00:00Z,97.2,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-17T12:00:00Z,91.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-17T12:00:00Z,91.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-17T12:00:00Z,91.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-17T12:00:00Z,85.1,0.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-17T12:00:00Z,78.5,0.0,0.0,0.0
2026-08-14T10:44:54Z,2026-08-17T12:00:00Z,73.3,0.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-17T18:00:00Z,115.2,0.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-17T18:00:00Z,108.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-17T18:00:00Z,103.2,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-17T18:00:00Z,97.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-17T18:00:00Z,97.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-17T18:00:00Z,97.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-17T18:00:00Z,91.1,0.32,0.0,0.32
2026-08-14T05:28:14Z,2026-08-17T18:00:00Z,84.5,0.32,0.0,0.32
2026-08-14T10:44:54Z,2026-08-17T18:00:00Z,79.3,3.88,0.0,3.88
2026-08-14T16:48:33Z,2026-08-17T18:00:00Z,73.2,0.93,0.0,0.93
2026-08-13T10:49:01Z,2026-08-18T06:00:00Z,115.2,0.0,0.6,-0.6
2026-08-13T16:36:10Z,2026-08-18T06:00:00Z,109.4,0.0,0.6,-0.6
2026-08-13T16:42:24Z,2026-08-18T06:00:00Z,109.3,0.0,0.6,-0.6
2026-08-13T16:54:22Z,2026-08-18T06:00:00Z,109.1,0.0,0.6,-0.6
2026-08-13T22:52:17Z,2026-08-18T06:00:00Z,103.1,12.88,0.6,12.28
2026-08-14T05:28:14Z,2026-08-18T06:00:00Z,96.5,12.88,0.6,12.28
2026-08-14T10:44:54Z,2026-08-18T06:00:00Z,91.3,5.16,0.6,4.56
2026-08-14T16:48:33Z,2026-08-18T06:00:00Z,85.2,1.42,0.6,0.82
