# Нови-Сад / Ветер / 2-3 дня / Яндекс.Погода
# n=12, MAE=1.500, RMSE=1.575, bias=+1.500
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.575/1.354)^2 = -0.3527  (RMSE_персистентности по 12 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-15T19:00:00Z,50.4,4.3,2.0,3.0,2.3,2.3
2026-08-13T16:36:10Z,2026-08-16T01:00:00Z,56.4,3.2,2.0,3.0,1.2,1.2
2026-08-13T16:36:10Z,2026-08-16T07:00:00Z,62.4,5.4,4.0,3.0,1.4,1.4
2026-08-13T16:42:24Z,2026-08-15T19:00:00Z,50.3,4.3,2.0,3.0,2.3,2.3
2026-08-13T16:42:24Z,2026-08-16T01:00:00Z,56.3,3.2,2.0,3.0,1.2,1.2
2026-08-13T16:42:24Z,2026-08-16T07:00:00Z,62.3,5.4,4.0,3.0,1.4,1.4
2026-08-13T16:54:22Z,2026-08-15T19:00:00Z,50.1,4.3,2.0,3.0,2.3,2.3
2026-08-13T16:54:22Z,2026-08-16T01:00:00Z,56.1,3.2,2.0,3.0,1.2,1.2
2026-08-13T16:54:22Z,2026-08-16T07:00:00Z,62.1,5.4,4.0,3.0,1.4,1.4
2026-08-13T22:52:17Z,2026-08-16T01:00:00Z,50.1,3.0,2.0,2.0,1.0,1.0
2026-08-13T22:52:17Z,2026-08-16T07:00:00Z,56.1,5.3,4.0,2.0,1.3,1.3
2026-08-14T05:28:14Z,2026-08-16T07:00:00Z,49.5,5.0,4.0,1.0,1.0,1.0
