# Нови-Сад / Облачность / 0-6ч / Yr (Норвегия)
# n=355, MAE=17.015, RMSE=27.258, bias=-5.981
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (27.258/31.678)^2 = 0.2596  (RMSE_персистентности по 355 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T10:00:00Z,0.2,3.9,0.0,0.0,3.9,3.9
2026-08-06T09:50:07Z,2026-08-06T11:00:00Z,1.2,4.7,12.5,0.0,-7.8,7.8
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,3.9,25.0,0.0,-21.1,21.1
2026-08-06T09:50:07Z,2026-08-06T13:00:00Z,3.2,17.2,50.0,0.0,-32.8,32.8
2026-08-06T09:50:07Z,2026-08-06T14:00:00Z,4.2,20.3,62.5,12.5,-42.2,42.2
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,55.5,87.5,37.5,-32.0,32.0
2026-08-06T09:59:18Z,2026-08-06T10:00:00Z,0.0,3.9,0.0,0.0,3.9,3.9
2026-08-06T09:59:18Z,2026-08-06T11:00:00Z,1.0,4.7,12.5,0.0,-7.8,7.8
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,3.9,25.0,0.0,-21.1,21.1
2026-08-06T09:59:18Z,2026-08-06T13:00:00Z,3.0,17.2,50.0,0.0,-32.8,32.8
2026-08-06T09:59:18Z,2026-08-06T14:00:00Z,4.0,20.3,62.5,12.5,-42.2,42.2
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,55.5,87.5,37.5,-32.0,32.0
2026-08-06T10:08:26Z,2026-08-06T11:00:00Z,0.9,4.7,12.5,0.0,-7.8,7.8
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,3.9,25.0,0.0,-21.1,21.1
2026-08-06T10:08:26Z,2026-08-06T13:00:00Z,2.9,17.2,50.0,0.0,-32.8,32.8
2026-08-06T10:08:26Z,2026-08-06T14:00:00Z,3.9,20.3,62.5,12.5,-42.2,42.2
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,55.5,87.5,37.5,-32.0,32.0
2026-08-06T10:08:26Z,2026-08-06T16:00:00Z,5.9,26.6,87.5,50.0,-60.9,60.9
2026-08-06T10:47:54Z,2026-08-06T11:00:00Z,0.2,4.7,12.5,0.0,-7.8,7.8
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,3.9,25.0,0.0,-21.1,21.1
2026-08-06T10:47:54Z,2026-08-06T13:00:00Z,2.2,17.2,50.0,0.0,-32.8,32.8
