# Нови-Сад / Ветер / 3-5 дней / GFS (США)
# n=338, MAE=0.989, RMSE=1.179, bias=+0.873
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.179/0.858)^2 = -0.8865  (RMSE_персистентности по 338 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T10:00:00Z,72.2,2.5,2.0,2.0,0.5,0.5
2026-08-06T09:50:07Z,2026-08-09T11:00:00Z,73.2,2.37,2.0,2.0,0.37,0.37
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,2.12,2.0,2.0,0.12,0.12
2026-08-06T09:50:07Z,2026-08-09T13:00:00Z,75.2,2.01,2.0,2.0,0.01,0.01
2026-08-06T09:50:07Z,2026-08-09T14:00:00Z,76.2,1.91,2.0,2.0,-0.09,0.09
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,1.99,2.0,2.0,-0.01,0.01
2026-08-06T09:50:07Z,2026-08-09T16:00:00Z,78.2,2.56,1.0,2.0,1.56,1.56
2026-08-06T09:50:07Z,2026-08-09T17:00:00Z,79.2,3.18,1.0,2.0,2.18,2.18
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,3.19,1.0,1.0,2.19,2.19
2026-08-06T09:50:07Z,2026-08-09T19:00:00Z,81.2,3.09,1.0,1.0,2.09,2.09
2026-08-06T09:50:07Z,2026-08-09T20:00:00Z,82.2,2.67,2.0,1.0,0.67,0.67
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,2.4,1.0,1.0,1.4,1.4
2026-08-06T09:50:07Z,2026-08-09T22:00:00Z,84.2,1.94,1.0,3.0,0.94,0.94
2026-08-06T09:50:07Z,2026-08-09T23:00:00Z,85.2,2.06,1.0,2.0,1.06,1.06
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,2.28,1.0,3.0,1.28,1.28
2026-08-06T09:50:07Z,2026-08-10T01:00:00Z,87.2,2.01,1.0,2.0,1.01,1.01
2026-08-06T09:50:07Z,2026-08-10T02:00:00Z,88.2,1.8,1.0,1.0,0.8,0.8
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,1.87,0.0,1.0,1.87,1.87
2026-08-06T09:50:07Z,2026-08-10T04:00:00Z,90.2,2.2,1.0,1.0,1.2,1.2
2026-08-06T09:50:07Z,2026-08-10T05:00:00Z,91.2,1.63,2.0,1.0,-0.37,0.37
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,1.66,3.0,1.0,-1.34,1.34
2026-08-06T09:50:07Z,2026-08-10T07:00:00Z,93.2,1.9,2.0,1.0,-0.1,0.1
2026-08-06T09:50:07Z,2026-08-10T08:00:00Z,94.2,2.34,2.0,1.0,0.34,0.34
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,3.16,2.0,2.0,1.16,1.16
2026-08-06T09:50:07Z,2026-08-10T10:00:00Z,96.2,3.48,3.0,2.0,0.48,0.48
2026-08-06T09:50:07Z,2026-08-10T11:00:00Z,97.2,3.61,2.0,2.0,1.61,1.61
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,3.7,2.0,2.0,1.7,1.7
2026-08-06T09:50:07Z,2026-08-10T13:00:00Z,99.2,3.64,3.0,2.0,0.64,0.64
