# Нови-Сад / Облачность / 2-3 дня / GEM (Канада)
# n=118, MAE=15.547, RMSE=20.891, bias=+8.657
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (20.891/21.681)^2 = 0.0715  (RMSE_персистентности по 118 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,8.0,0.0,0.0,8.0,8.0
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,8.0,12.5,0.0,-4.5,4.5
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,0.0,12.5,0.0,-12.5,12.5
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,0.0,12.5,12.5,-12.5,12.5
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,0.0,12.5,25.0,-12.5,12.5
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,0.0,12.5,25.0,-12.5,12.5
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,12.0,0.0,37.5,12.0,12.0
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,32.0,0.0,12.5,32.0,32.0
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,20.0,0.0,75.0,20.0,20.0
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,32.0,0.0,0.0,32.0,32.0
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,36.0,0.0,0.0,36.0,36.0
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,20.0,0.0,0.0,20.0,20.0
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,0.0,0.0,0.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,8.0,0.0,0.0,8.0,8.0
2026-08-06T09:59:18Z,2026-08-08T11:00:00Z,49.0,8.0,12.5,0.0,-4.5,4.5
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,0.0,12.5,0.0,-12.5,12.5
2026-08-06T09:59:18Z,2026-08-08T13:00:00Z,51.0,0.0,12.5,12.5,-12.5,12.5
2026-08-06T09:59:18Z,2026-08-08T14:00:00Z,52.0,0.0,12.5,25.0,-12.5,12.5
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,0.0,12.5,25.0,-12.5,12.5
2026-08-06T09:59:18Z,2026-08-08T16:00:00Z,54.0,12.0,0.0,37.5,12.0,12.0
2026-08-06T09:59:18Z,2026-08-08T17:00:00Z,55.0,32.0,0.0,12.5,32.0,32.0
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,20.0,0.0,75.0,20.0,20.0
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,32.0,0.0,0.0,32.0,32.0
2026-08-06T09:59:18Z,2026-08-09T07:00:00Z,69.0,36.0,0.0,0.0,36.0,36.0
