# Нови-Сад / Ветер / 3-5 дней / Apple Погода
# n=282, MAE=0.700, RMSE=0.830, bias=-0.014
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.830/0.919)^2 = 0.1838  (RMSE_персистентности по 282 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,2.642,2.0,2.0,0.642,0.642
2026-08-06T11:36:01Z,2026-08-09T13:00:00Z,73.4,2.614,2.0,2.0,0.614,0.614
2026-08-06T11:36:01Z,2026-08-09T14:00:00Z,74.4,2.603,2.0,2.0,0.603,0.603
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,2.569,2.0,2.0,0.569,0.569
2026-08-06T11:36:01Z,2026-08-09T16:00:00Z,76.4,2.506,1.0,2.0,1.506,1.506
2026-08-06T11:36:01Z,2026-08-09T17:00:00Z,77.4,2.211,1.0,2.0,1.211,1.211
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,2.014,1.0,1.0,1.014,1.014
2026-08-06T11:36:01Z,2026-08-09T19:00:00Z,79.4,1.886,1.0,1.0,0.886,0.886
2026-08-06T11:36:01Z,2026-08-09T20:00:00Z,80.4,1.689,2.0,1.0,-0.311,0.311
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,1.567,1.0,1.0,0.567,0.567
2026-08-06T11:36:01Z,2026-08-09T22:00:00Z,82.4,1.483,1.0,3.0,0.483,0.483
2026-08-06T11:36:01Z,2026-08-09T23:00:00Z,83.4,1.475,1.0,2.0,0.475,0.475
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,1.497,1.0,3.0,0.497,0.497
2026-08-06T11:36:01Z,2026-08-10T01:00:00Z,85.4,1.458,1.0,2.0,0.458,0.458
2026-08-06T11:36:01Z,2026-08-10T02:00:00Z,86.4,1.433,1.0,1.0,0.433,0.433
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,1.461,0.0,1.0,1.461,1.461
2026-08-06T11:36:01Z,2026-08-10T04:00:00Z,88.4,1.558,1.0,1.0,0.558,0.558
2026-08-06T11:36:01Z,2026-08-10T05:00:00Z,89.4,1.592,2.0,1.0,-0.408,0.408
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,1.753,3.0,1.0,-1.247,1.247
2026-08-06T11:36:01Z,2026-08-10T07:00:00Z,91.4,1.947,2.0,1.0,-0.053,0.053
2026-08-06T11:36:01Z,2026-08-10T08:00:00Z,92.4,2.181,2.0,1.0,0.181,0.181
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,2.372,2.0,2.0,0.372,0.372
2026-08-06T11:36:01Z,2026-08-10T10:00:00Z,94.4,2.353,3.0,2.0,-0.647,0.647
2026-08-06T11:36:01Z,2026-08-10T11:00:00Z,95.4,2.169,2.0,2.0,0.169,0.169
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,1.994,2.0,2.0,-0.006,0.006
2026-08-06T11:36:01Z,2026-08-10T13:00:00Z,97.4,1.889,3.0,2.0,-1.111,1.111
2026-08-06T11:36:01Z,2026-08-10T14:00:00Z,98.4,1.831,3.0,2.0,-1.169,1.169
