# Нови-Сад / Ветер / 2-3 дня / JMA (Япония)
# n=335, MAE=0.718, RMSE=0.925, bias=+0.158
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.925/1.108)^2 = 0.3029  (RMSE_персистентности по 335 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T10:00:00Z,48.2,2.35,2.0,2.0,0.35,0.35
2026-08-06T09:50:07Z,2026-08-08T11:00:00Z,49.2,2.28,2.0,2.0,0.28,0.28
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,2.21,2.0,2.0,0.21,0.21
2026-08-06T09:50:07Z,2026-08-08T13:00:00Z,51.2,2.21,2.0,2.0,0.21,0.21
2026-08-06T09:50:07Z,2026-08-08T14:00:00Z,52.2,2.21,2.0,2.0,0.21,0.21
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,2.18,2.0,2.0,0.18,0.18
2026-08-06T09:50:07Z,2026-08-08T16:00:00Z,54.2,2.16,2.0,2.0,0.16,0.16
2026-08-06T09:50:07Z,2026-08-08T17:00:00Z,55.2,2.14,2.0,2.0,0.14,0.14
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,2.11,1.0,2.0,1.11,1.11
2026-08-06T09:50:07Z,2026-08-08T19:00:00Z,57.2,2.1,1.0,2.0,1.1,1.1
2026-08-06T09:50:07Z,2026-08-08T20:00:00Z,58.2,2.22,1.0,2.0,1.22,1.22
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,2.28,1.0,2.0,1.28,1.28
2026-08-06T09:50:07Z,2026-08-08T22:00:00Z,60.2,2.44,3.0,2.0,-0.56,0.56
2026-08-06T09:50:07Z,2026-08-08T23:00:00Z,61.2,2.55,2.0,2.0,0.55,0.55
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,2.59,3.0,2.0,-0.41,0.41
2026-08-06T09:50:07Z,2026-08-09T01:00:00Z,63.2,2.51,2.0,2.0,0.51,0.51
2026-08-06T09:50:07Z,2026-08-09T02:00:00Z,64.2,2.42,1.0,2.0,1.42,1.42
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,2.28,1.0,2.0,1.28,1.28
2026-08-06T09:50:07Z,2026-08-09T04:00:00Z,66.2,2.15,1.0,2.0,1.15,1.15
2026-08-06T09:50:07Z,2026-08-09T05:00:00Z,67.2,2.01,1.0,2.0,1.01,1.01
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,1.88,1.0,2.0,0.88,0.88
2026-08-06T09:50:07Z,2026-08-09T07:00:00Z,69.2,1.84,1.0,2.0,0.84,0.84
2026-08-06T09:50:07Z,2026-08-09T08:00:00Z,70.2,1.84,1.0,2.0,0.84,0.84
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,1.8,2.0,2.0,-0.2,0.2
2026-08-06T09:59:18Z,2026-08-08T10:00:00Z,48.0,2.35,2.0,2.0,0.35,0.35
