# Нови-Сад / Температура / 6-24ч / ECMWF AIFS
# n=312, MAE=1.651, RMSE=1.889, bias=-1.153
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.889/2.766)^2 = 0.5333  (RMSE_персистентности по 312 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T16:00:00Z,6.2,35.2,30.8,37.0,4.4,4.4
2026-08-06T09:50:07Z,2026-08-06T17:00:00Z,7.2,33.8,31.2,35.4,2.6,2.6
2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,32.5,30.4,33.6,2.1,2.1
2026-08-06T09:50:07Z,2026-08-06T19:00:00Z,9.2,31.1,28.6,31.3,2.5,2.5
2026-08-06T09:50:07Z,2026-08-06T20:00:00Z,10.2,29.5,28.8,30.3,0.7,0.7
2026-08-06T09:50:07Z,2026-08-06T21:00:00Z,11.2,27.8,27.6,29.3,0.2,0.2
2026-08-06T09:50:07Z,2026-08-06T22:00:00Z,12.2,26.2,27.1,28.5,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-06T23:00:00Z,13.2,24.9,26.3,28.0,-1.4,1.4
2026-08-06T09:50:07Z,2026-08-07T00:00:00Z,14.2,24.0,25.6,27.4,-1.6,1.6
2026-08-06T09:50:07Z,2026-08-07T01:00:00Z,15.2,23.6,25.3,27.2,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-07T02:00:00Z,16.2,23.4,24.8,26.5,-1.4,1.4
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,23.5,24.6,27.2,-1.1,1.1
2026-08-06T09:50:07Z,2026-08-07T04:00:00Z,18.2,23.9,24.9,27.5,-1.0,1.0
2026-08-06T09:50:07Z,2026-08-07T05:00:00Z,19.2,24.5,26.1,28.4,-1.6,1.6
2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,25.3,27.0,29.0,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-07T07:00:00Z,21.2,26.6,28.0,31.2,-1.4,1.4
2026-08-06T09:50:07Z,2026-08-07T08:00:00Z,22.2,28.4,30.5,33.8,-2.1,2.1
2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,30.5,33.0,35.7,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-06T16:00:00Z,6.0,35.2,30.8,37.0,4.4,4.4
2026-08-06T09:59:18Z,2026-08-06T17:00:00Z,7.0,33.8,31.2,35.4,2.6,2.6
2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,32.5,30.4,33.6,2.1,2.1
2026-08-06T09:59:18Z,2026-08-06T19:00:00Z,9.0,31.1,28.6,31.3,2.5,2.5
2026-08-06T09:59:18Z,2026-08-06T20:00:00Z,10.0,29.5,28.8,30.3,0.7,0.7
2026-08-06T09:59:18Z,2026-08-06T21:00:00Z,11.0,27.8,27.6,29.3,0.2,0.2
2026-08-06T09:59:18Z,2026-08-06T22:00:00Z,12.0,26.2,27.1,28.5,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-06T23:00:00Z,13.0,24.9,26.3,28.0,-1.4,1.4
2026-08-06T09:59:18Z,2026-08-07T00:00:00Z,14.0,24.0,25.6,27.4,-1.6,1.6
2026-08-06T09:59:18Z,2026-08-07T01:00:00Z,15.0,23.6,25.3,27.2,-1.7,1.7
2026-08-06T09:59:18Z,2026-08-07T02:00:00Z,16.0,23.4,24.8,26.5,-1.4,1.4
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,23.5,24.6,27.2,-1.1,1.1
2026-08-06T09:59:18Z,2026-08-07T04:00:00Z,18.0,23.9,24.9,27.5,-1.0,1.0
2026-08-06T09:59:18Z,2026-08-07T05:00:00Z,19.0,24.5,26.1,28.4,-1.6,1.6
2026-08-06T09:59:18Z,2026-08-07T06:00:00Z,20.0,25.3,27.0,29.0,-1.7,1.7
2026-08-06T09:59:18Z,2026-08-07T07:00:00Z,21.0,26.6,28.0,31.2,-1.4,1.4
2026-08-06T09:59:18Z,2026-08-07T08:00:00Z,22.0,28.4,30.5,33.8,-2.1,2.1
2026-08-06T09:59:18Z,2026-08-07T09:00:00Z,23.0,30.5,33.0,35.7,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-06T17:00:00Z,6.9,33.8,31.2,35.4,2.6,2.6
2026-08-06T10:08:26Z,2026-08-06T18:00:00Z,7.9,32.5,30.4,33.6,2.1,2.1
2026-08-06T10:08:26Z,2026-08-06T19:00:00Z,8.9,31.1,28.6,31.3,2.5,2.5
2026-08-06T10:08:26Z,2026-08-06T20:00:00Z,9.9,29.5,28.8,30.3,0.7,0.7
2026-08-06T10:08:26Z,2026-08-06T21:00:00Z,10.9,27.8,27.6,29.3,0.2,0.2
2026-08-06T10:08:26Z,2026-08-06T22:00:00Z,11.9,26.2,27.1,28.5,-0.9,0.9
2026-08-06T10:08:26Z,2026-08-06T23:00:00Z,12.9,24.9,26.3,28.0,-1.4,1.4
2026-08-06T10:08:26Z,2026-08-07T00:00:00Z,13.9,24.0,25.6,27.4,-1.6,1.6
2026-08-06T10:08:26Z,2026-08-07T01:00:00Z,14.9,23.6,25.3,27.2,-1.7,1.7
2026-08-06T10:08:26Z,2026-08-07T02:00:00Z,15.9,23.4,24.8,26.5,-1.4,1.4
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,23.5,24.6,27.2,-1.1,1.1
2026-08-06T10:08:26Z,2026-08-07T04:00:00Z,17.9,23.9,24.9,27.5,-1.0,1.0
2026-08-06T10:08:26Z,2026-08-07T05:00:00Z,18.9,24.5,26.1,28.4,-1.6,1.6
2026-08-06T10:08:26Z,2026-08-07T06:00:00Z,19.9,25.3,27.0,29.0,-1.7,1.7
2026-08-06T10:08:26Z,2026-08-07T07:00:00Z,20.9,26.6,28.0,31.2,-1.4,1.4
2026-08-06T10:08:26Z,2026-08-07T08:00:00Z,21.9,28.4,30.5,33.8,-2.1,2.1
2026-08-06T10:08:26Z,2026-08-07T09:00:00Z,22.9,30.5,33.0,35.7,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-07T10:00:00Z,23.9,32.5,35.0,37.2,-2.5,2.5
2026-08-06T10:47:54Z,2026-08-06T17:00:00Z,6.2,33.8,31.2,35.4,2.6,2.6
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,32.5,30.4,33.6,2.1,2.1
2026-08-06T10:47:54Z,2026-08-06T19:00:00Z,8.2,31.1,28.6,31.3,2.5,2.5
2026-08-06T10:47:54Z,2026-08-06T20:00:00Z,9.2,29.5,28.8,30.3,0.7,0.7
2026-08-06T10:47:54Z,2026-08-06T21:00:00Z,10.2,27.8,27.6,29.3,0.2,0.2
2026-08-06T10:47:54Z,2026-08-06T22:00:00Z,11.2,26.2,27.1,28.5,-0.9,0.9
2026-08-06T10:47:54Z,2026-08-06T23:00:00Z,12.2,24.9,26.3,28.0,-1.4,1.4
2026-08-06T10:47:54Z,2026-08-07T00:00:00Z,13.2,24.0,25.6,27.4,-1.6,1.6
2026-08-06T10:47:54Z,2026-08-07T01:00:00Z,14.2,23.6,25.3,27.2,-1.7,1.7
2026-08-06T10:47:54Z,2026-08-07T02:00:00Z,15.2,23.4,24.8,26.5,-1.4,1.4
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,23.5,24.6,27.2,-1.1,1.1
2026-08-06T10:47:54Z,2026-08-07T04:00:00Z,17.2,23.9,24.9,27.5,-1.0,1.0
2026-08-06T10:47:54Z,2026-08-07T05:00:00Z,18.2,24.5,26.1,28.4,-1.6,1.6
2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,25.3,27.0,29.0,-1.7,1.7
2026-08-06T10:47:54Z,2026-08-07T07:00:00Z,20.2,26.6,28.0,31.2,-1.4,1.4
2026-08-06T10:47:54Z,2026-08-07T08:00:00Z,21.2,28.4,30.5,33.8,-2.1,2.1
2026-08-06T10:47:54Z,2026-08-07T09:00:00Z,22.2,30.5,33.0,35.7,-2.5,2.5
2026-08-06T10:47:54Z,2026-08-07T10:00:00Z,23.2,32.5,35.0,37.2,-2.5,2.5
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,32.5,30.4,33.6,2.1,2.1
2026-08-06T11:30:42Z,2026-08-06T19:00:00Z,7.5,31.1,28.6,31.3,2.5,2.5
2026-08-06T11:30:42Z,2026-08-06T20:00:00Z,8.5,29.5,28.8,30.3,0.7,0.7
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,27.8,27.6,29.3,0.2,0.2
2026-08-06T11:30:42Z,2026-08-06T22:00:00Z,10.5,26.2,27.1,28.5,-0.9,0.9
2026-08-06T11:30:42Z,2026-08-06T23:00:00Z,11.5,24.9,26.3,28.0,-1.4,1.4
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,24.0,25.6,27.4,-1.6,1.6
2026-08-06T11:30:42Z,2026-08-07T01:00:00Z,13.5,23.6,25.3,27.2,-1.7,1.7
2026-08-06T11:30:42Z,2026-08-07T02:00:00Z,14.5,23.4,24.8,26.5,-1.4,1.4
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,23.5,24.6,27.2,-1.1,1.1
2026-08-06T11:30:42Z,2026-08-07T04:00:00Z,16.5,23.9,24.9,27.5,-1.0,1.0
2026-08-06T11:30:42Z,2026-08-07T05:00:00Z,17.5,24.5,26.1,28.4,-1.6,1.6
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,25.3,27.0,29.0,-1.7,1.7
2026-08-06T11:30:42Z,2026-08-07T07:00:00Z,19.5,26.6,28.0,31.2,-1.4,1.4
2026-08-06T11:30:42Z,2026-08-07T08:00:00Z,20.5,28.4,30.5,33.8,-2.1,2.1
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,30.5,33.0,35.7,-2.5,2.5
2026-08-06T11:30:42Z,2026-08-07T10:00:00Z,22.5,32.5,35.0,37.2,-2.5,2.5
