# Нови-Сад / Ветер / 3-5 дней / Яндекс.Погода
# n=12, MAE=0.700, RMSE=0.799, bias=+0.067
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.799/1.500)^2 = 0.7163  (RMSE_персистентности по 12 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-16T19:00:00Z,74.4,2.0,3.0,2.0,-1.0,1.0
2026-08-13T16:36:10Z,2026-08-17T01:00:00Z,80.4,2.5,3.0,2.0,-0.5,0.5
2026-08-13T16:36:10Z,2026-08-17T07:00:00Z,86.4,3.2,2.0,4.0,1.2,1.2
2026-08-13T16:42:24Z,2026-08-16T19:00:00Z,74.3,2.0,3.0,2.0,-1.0,1.0
2026-08-13T16:42:24Z,2026-08-17T01:00:00Z,80.3,2.5,3.0,2.0,-0.5,0.5
2026-08-13T16:42:24Z,2026-08-17T07:00:00Z,86.3,3.2,2.0,4.0,1.2,1.2
2026-08-13T16:54:22Z,2026-08-16T19:00:00Z,74.1,3.0,3.0,2.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-17T01:00:00Z,80.1,2.5,3.0,2.0,-0.5,0.5
2026-08-13T16:54:22Z,2026-08-17T07:00:00Z,86.1,3.2,2.0,4.0,1.2,1.2
2026-08-13T22:52:17Z,2026-08-17T01:00:00Z,74.1,2.7,3.0,2.0,-0.3,0.3
2026-08-13T22:52:17Z,2026-08-17T07:00:00Z,80.1,2.5,2.0,4.0,0.5,0.5
2026-08-14T05:28:14Z,2026-08-17T07:00:00Z,73.5,2.5,2.0,4.0,0.5,0.5
